"","Ductal","Cancer","Stroma","coordX","coordY"
"1x25",0.156111541001935,0.407988935776897,0.435899523221168,25,1
"1x26",0.170384086700593,0.462921219946465,0.366694693352941,26,1
"1x27",0.209502592299251,0.348783876245747,0.441713531455002,27,1
"1x28",0.238462984217062,0.405906950682584,0.355630065100354,28,1
"1x29",0.343055570469703,0.165790612824401,0.491153816705897,29,1
"1x30",0.15748340595723,0.346074643383478,0.496441950659292,30,1
"1x31",0.149047428263867,0.412245037289906,0.438707534446227,31,1
"1x32",0.215999787764449,0.322041551792392,0.461958660443159,32,1
"1x33",0.138119362018314,0.399817963988929,0.462062673992757,33,1
"1x34",0.217016340768847,0.301837296623347,0.481146362607806,34,1
"1x35",0.210951523609178,0.272101175317004,0.516947301073818,35,1
"1x36",0.230747604051365,0.348573671857583,0.420678724091052,36,1
"1x37",0.25471255870027,0.23839487870376,0.50689256259597,37,1
"1x38",0.206919148944083,0.304449868219061,0.488630982836857,38,1
"1x39",0.169571975749765,0.424763631887824,0.40566439236241,39,1
"1x40",0.131220552920169,0.25555725015925,0.613222196920581,40,1
"1x41",0.134297470088713,0.302434399815282,0.563268130096005,41,1
"1x42",0.235575640377821,0.286190395359462,0.478233964262717,42,1
"1x43",0.129529458874926,0.228647625239627,0.641822915885447,43,1
"1x44",0.209168175672436,0.215753156225035,0.575078668102529,44,1
"1x45",0.153810989644139,0.319577500934798,0.526611509421063,45,1
"1x46",0.215627543090508,0.358391525111043,0.425980931798449,46,1
"1x47",0.201278983866417,0.252398322431698,0.546322693701885,47,1
"1x48",0.359728146345391,0.307961386365558,0.332310467289051,48,1
"1x49",0.169993348261478,0.391243511260764,0.438763140477758,49,1
"2x0",0.115328981019487,0.707760644357152,0.176910374623361,0,2
"2x1",0.156391303692993,0.599459458771114,0.244149237535893,1,2
"2x2",0.194775758681372,0.633140168207567,0.172084073111061,2,2
"2x3",0.173802878193924,0.697923659009427,0.128273462796649,3,2
"2x4",0.269145861205755,0.574944071292075,0.15591006750217,4,2
"2x5",0.18116260344113,0.557361059939795,0.261476336619076,5,2
"2x6",0.20400890725222,0.662586674154923,0.133404418592857,6,2
"2x7",0.164266496267601,0.721217100913554,0.114516402818844,7,2
"2x8",0.151363749801243,0.684579959942659,0.164056290256098,8,2
"2x9",0.149788275370454,0.728359507929305,0.121852216700241,9,2
"2x10",0.183455223556224,0.673489390278505,0.143055386165271,10,2
"2x11",0.179457179721634,0.683600906855183,0.136941913423182,11,2
"2x12",0.111145524614939,0.754222255635687,0.134632219749374,12,2
"2x13",0.166060292059628,0.701938069298492,0.13200163864188,13,2
"2x14",0.173607573206684,0.679501909233424,0.146890517559892,14,2
"2x15",0.177397481711263,0.685244812417071,0.137357705871666,15,2
"2x16",0.107566286525551,0.550352514698865,0.342081198775584,16,2
"2x17",0.1365444032909,0.640440918233801,0.223014678475299,17,2
"2x18",0.0952640997433885,0.558282438188857,0.346453462067754,18,2
"2x19",0.262847684316373,0.464186671536757,0.27296564414687,19,2
"2x20",0.141640350359099,0.580369959802606,0.277989689838295,20,2
"2x21",0.212728304374566,0.434771901112319,0.352499794513115,21,2
"2x22",0.243631698437999,0.510597905619194,0.245770395942806,22,2
"2x23",0.191266410839177,0.427838586980647,0.380895002180177,23,2
"2x24",0.163647329953075,0.502256974937258,0.334095695109668,24,2
"2x25",0.149408653257774,0.483225332031697,0.367366014710529,25,2
"2x26",0.218558931749267,0.446675496850025,0.334765571400708,26,2
"2x27",0.116104763646481,0.436037170437674,0.447858065915845,27,2
"2x28",0.146582081727316,0.236297081347887,0.617120836924797,28,2
"2x29",0.256606323272832,0.39633665807459,0.347057018652578,29,2
"2x30",0.260621927388603,0.364564577808218,0.374813494803178,30,2
"2x31",0.170885064996227,0.30562505969158,0.523489875312193,31,2
"2x32",0.296794697811558,0.295036948883793,0.408168353304649,32,2
"2x33",0.17756058750951,0.333088996000324,0.489350416490166,33,2
"2x34",0.215303406500044,0.383449927457235,0.401246666042721,34,2
"2x35",0.196829707420183,0.469925779202517,0.3332445133773,35,2
"2x36",0.107918555629934,0.303489043026236,0.588592401343831,36,2
"2x37",0.379653795970104,0.284247997891746,0.336098206138149,37,2
"2x38",0.188338845999927,0.243985421052952,0.567675732947122,38,2
"2x39",0.325729471780503,0.246122135552186,0.428148392667311,39,2
"2x40",0.205695793482779,0.249195339071257,0.545108867445963,40,2
"2x41",0.322071474731089,0.245433921742723,0.432494603526187,41,2
"2x42",0.237041741819289,0.287491706412993,0.475466551767718,42,2
"2x43",0.18774766609885,0.212718390759514,0.599533943141636,43,2
"2x44",0.353362973520316,0.216073811097269,0.430563215382414,44,2
"2x45",0.270491855202465,0.277826328316084,0.451681816481452,45,2
"2x46",0.173916549180984,0.200381410745563,0.625702040073453,46,2
"2x47",0.162080658982527,0.182823662899672,0.6550956781178,47,2
"2x48",0.252724107215251,0.255272087481475,0.492003805303274,48,2
"2x49",0.30546165167098,0.247617266309161,0.446921082019859,49,2
"3x0",0.155690424590362,0.625558449097637,0.218751126312001,0,3
"3x1",0.268355469339987,0.635571369970444,0.0960731606895691,1,3
"3x2",0.14963247625651,0.710046241823275,0.140321281920215,2,3
"3x3",0.251581606713209,0.623042062530823,0.125376330755968,3,3
"3x4",0.18021302626677,0.681038113435973,0.138748860297258,4,3
"3x5",0.174683313602438,0.692451672551457,0.132865013846104,5,3
