"","Cancer","Ductal","Stroma","coordX","coordY"
"3x23",0.41413580221152,0.2774247442427,0.308439453545781,3,23
"3x24",0.284411483675491,0.315164951490824,0.400423564833685,3,24
"3x25",0.272607355606137,0.232431130782814,0.494961513611049,3,25
"3x26",0.282845620856013,0.293267283756698,0.423887095387289,3,26
"3x27",0.30317757812495,0.281381568637367,0.415440853237683,3,27
"3x28",0.308286998119464,0.380438777246453,0.311274224634083,3,28
"3x29",0.318931816042358,0.277403075627368,0.403665108330274,3,29
"3x30",0.266100942518828,0.249632607131719,0.484266450349453,3,30
"3x31",0.233936965959006,0.223183475774528,0.542879558266466,3,31
"3x32",0.283520159400954,0.298680741378034,0.417799099221012,3,32
"3x33",0.270734046415115,0.186376745237161,0.542889208347724,3,33
"3x34",0.211098802450869,0.181934468227399,0.606966729321732,3,34
"3x35",0.207883644602421,0.226879777916981,0.565236577480598,3,35
"3x36",0.302534068260083,0.235332712711698,0.462133219028219,3,36
"3x37",0.226572234128617,0.277861313371393,0.49556645249999,3,37
"3x38",0.283426280873597,0.224495386708958,0.492078332417444,3,38
"3x39",0.189137193984714,0.275973760149175,0.534889045866111,3,39
"3x40",0.226586162340371,0.189869122303216,0.583544715356413,3,40
"3x41",0.18757353072482,0.295334890435587,0.517091578839593,3,41
"3x42",0.273011937171344,0.229609072082583,0.497378990746072,3,42
"3x43",0.222434272350326,0.24328990791789,0.534275819731784,3,43
"3x44",0.239370823622419,0.334506206391025,0.426122969986556,3,44
"3x45",0.327959504844198,0.199138395895497,0.472902099260305,3,45
"3x46",0.279815899797196,0.234823848814577,0.485360251388228,3,46
"3x47",0.271022422497826,0.292921666283297,0.436055911218877,3,47
"3x48",0.319921628850471,0.249981902384444,0.430096468765085,3,48
"3x49",0.276025432994466,0.27135943844028,0.452615128565254,3,49
"4x0",0.455634562198421,0.357407324257541,0.186958113544038,4,0
"4x1",0.4049002392272,0.290344254484698,0.304755506288103,4,1
"4x2",0.460434607379516,0.298463309878287,0.241102082742197,4,2
"4x3",0.492528802361953,0.322549783441403,0.184921414196644,4,3
"4x4",0.505573270999562,0.363927933476848,0.13049879552359,4,4
"4x5",0.475794048231717,0.309717129420749,0.214488822347534,4,5
"4x6",0.507787545553315,0.339422446589441,0.152790007857244,4,6
"4x7",0.475142546994373,0.33995982458791,0.184897628417717,4,7
"4x8",0.517707370517762,0.321550928445859,0.160741701036379,4,8
"4x9",0.445846550451739,0.380342301396583,0.173811148151677,4,9
"4x10",0.444298971544905,0.367202944061342,0.188498084393753,4,10
"4x11",0.491959084555941,0.333927778489511,0.174113136954548,4,11
"4x12",0.438082872436319,0.381759825602247,0.180157301961434,4,12
"4x13",0.508424839456325,0.295937063693139,0.195638096850536,4,13
"4x14",0.442700397441518,0.362979197682149,0.194320404876333,4,14
"4x15",0.423086755563036,0.389303443743295,0.187609800693669,4,15
"4x16",0.492150547028884,0.348415246087799,0.159434206883316,4,16
"4x17",0.443268609255485,0.271054639510714,0.285676751233801,4,17
"4x18",0.371012589269006,0.344853069449837,0.284134341281158,4,18
"4x19",0.382404550284265,0.288489836033502,0.329105613682233,4,19
"4x20",0.457581296104989,0.350375276238459,0.192043427656552,4,20
"4x21",0.409374867160331,0.268778658519361,0.321846474320308,4,21
"4x22",0.401381652139521,0.339694501577521,0.258923846282958,4,22
"4x23",0.309286591488129,0.28839897156946,0.40231443694241,4,23
"4x24",0.262316705542995,0.371097259613351,0.366586034843654,4,24
"4x25",0.317025999587875,0.349138458855212,0.333835541556913,4,25
"4x26",0.239517155253619,0.247177048402629,0.513305796343752,4,26
"4x27",0.355291482692589,0.246899739255561,0.39780877805185,4,27
"4x28",0.230830913478962,0.331825475843784,0.437343610677254,4,28
"4x29",0.227561403598205,0.177947810366734,0.594490786035062,4,29
"4x30",0.248612439611847,0.256895554753664,0.494492005634489,4,30
"4x31",0.243128662018088,0.340315259404588,0.416556078577325,4,31
"4x32",0.242912747558838,0.180008116324914,0.577079136116248,4,32
"4x33",0.306319303280503,0.211988997770116,0.481691698949381,4,33
"4x34",0.267429895387695,0.233253894066372,0.499316210545933,4,34
"4x35",0.280360790393706,0.274342009255162,0.445297200351133,4,35
