"","mDCs","Macrophages","Mast","Monocytes"
"1x22",0.35149444716438,0.0430660779252945,0.513611189419589,0.0918282854907371
"1x23",0.40066973705268,0.0447148660140171,0.452860239147144,0.10175515778616
"1x24",0.338695594241288,0.0638232911978131,0.514753481755588,0.0827276328053106
"1x25",0.301655767405452,0.074256902936644,0.56757056619973,0.0565167634581741
"1x26",0.140522164801037,0.0845185430318089,0.559175750959037,0.215783541208117
"1x27",0.384978894053727,0.0235286490032094,0.443111543952625,0.148380912990439
"1x28",0.435010170986285,0.0765432228151717,0.41089396675963,0.0775526394389131
"1x29",0.371154993829014,0.0990321581100593,0.386081159844188,0.143731688216739
"1x30",0.381309185838833,0.200668228661138,0.378878737115974,0.0391438483840551
"1x31",0.30743330616876,0.0450798107655309,0.480984160302298,0.166502722763411
"1x32",0.396500447199183,0.093239196107696,0.428370925533881,0.0818894311592396
"1x33",0.452246876025861,0.0322075598831141,0.436248380923736,0.0792971831672886
"1x34",0.413326142815408,0.0359782386562167,0.439771343557631,0.110924274970744
"1x35",0.442329115031391,0.0921780880299865,0.423515212533054,0.0419775844055682
"1x36",0.403235619907985,0.121289932705236,0.417589380637347,0.0578850667494319
"1x37",0.397252246014208,0.0862998078765072,0.37162787615623,0.144820069953055
"1x38",0.396852365938353,0.0615373795445752,0.452863904579188,0.0887463499378842
"1x39",0.324753474042164,0.095269512891837,0.433201936487918,0.14677507657808
"1x40",0.470144689144135,0.0532648575606314,0.419921611349903,0.0566688419453301
"1x41",0.532688138981161,0.110430522284999,0.305953088786387,0.0509282499474528
"1x42",0.503503329052995,0.00435032289389626,0.390120004541491,0.102026343511617
"1x43",0.422115456079195,0.04839868110469,0.393561521584,0.135924341232115
"1x44",0.48824204326481,0.050595704969186,0.395297816614913,0.0658644351510915
"1x45",0.488191909606242,0.0662060467247505,0.310033008014803,0.135569035654204
"1x46",0.385959337375783,0.0781601537179799,0.386035290150561,0.149845218755676
"1x47",0.383736423738494,0.174225820512405,0.365910727038648,0.0761270287104535
"1x48",0.37032752466513,0.087806163938342,0.483735862103919,0.0581304492926091
"1x49",0.391641099085352,0.0595390456681271,0.435255300209228,0.113564555037292
"2x0",0.275306420667691,0.06219543505499,0.592331896662985,0.0701662476143338
"2x1",0.398167158340245,0.0500182299758234,0.504029092907232,0.0477855187766995
"2x2",0.372428063465287,0.105125859709578,0.494157799294669,0.0282882775304661
"2x3",0.337782080342596,0.0512309868104325,0.539211264389465,0.0717756684575059
"2x4",0.359223621888835,0.0354152917276177,0.479617132548884,0.125743953834664
"2x5",0.301737889714227,0.0620992774993527,0.574583852427595,0.0615789803588253
"2x6",0.520169798451565,0.0345624080366801,0.331620406828453,0.113647386683302
"2x7",0.414027082592944,0.0272164826499512,0.496351253503881,0.0624051812532235
"2x8",0.42568140241759,0,0.50643394065451,0.0678846569279001
