"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes"
"1x37",0.357676668413323,0.27452995800627,0.0452636244364325,0.0664074768450217,0.169419293229387,0.0867029790695663
"1x38",0.449632322785229,0.188044766408346,0.178061287568418,0.0110928912229359,0.135351421869932,0.0378173101451389
"1x39",0.69022226922565,0.0263996532459739,0,0.0499188549597277,0.173803962977901,0.0596552595907479
"1x40",0.346038621635899,0.0876942500124817,0.221479643070308,0.0588632325758779,0.251394889814113,0.0345293628913201
"1x41",0.301695660617918,0.10857021294072,0.327387591565594,0.0971473116143714,0.122659048563484,0.0425401746979126
"1x42",0.330846835650019,0.227225116083116,0.280553853164344,0,0.113815950339904,0.0475582447626163
"1x43",0.35343475132615,0.0653598464436247,0.264447056599662,0.0440692940576273,0.194303590838251,0.0783854607346852
"1x44",0.239867130469481,0.256396416379057,0.322755429860807,0.0139335044228296,0.148764380468398,0.0182831383994282
"1x45",0.444347745912292,0.163937893472565,0.241679056712131,0.0100063830541289,0.0541682581787782,0.0858606626701052
"1x46",0.480430178315045,0.217084890044501,0,0.0512352958133008,0.169552950137642,0.0816966856895107
"1x47",0.356018374921313,0.23018040591834,0.188209642549423,0.111273105815106,0.0764785998953825,0.0378398709004357
"1x48",0.395960526040913,0.386975461312731,0.0989302722710168,0.0320275326827579,0.0852172818173125,0.000888925875268914
"1x49",0.528144623122487,0.112818241656786,0.123393612476344,0.0245296620144962,0.182771014792751,0.0283428459371355
"2x0",0.849641996565557,0.000683153355001599,0,0.0194947685948291,0.129762361254826,0.000417720229787019
"2x1",0.885505222785394,0,0.057931572280701,0.00759184884433653,0.0489713560895685,0
"2x2",0.824790472941263,0.12222811189479,0,0.0370385870845478,0.0159428280793995,0
"2x3",0.897120576096813,0.0725519318547136,0,0,0.0303274920484737,0
"2x4",0.852444817766992,0.0808317969627859,0.00243442410141233,0,0.0602697017291543,0.00401925943965576
"2x5",0.757983049133292,0.0413177768781239,0.0838772073192439,0.00787540002849109,0.105466557745025,0.00348000889582379
"2x6",0.532440429513072,0.00302424300064653,0.204350026883717,0.042968142522565,0.165395671662106,0.051821486417894
"2x7",0.949010515220929,0.00434449312807516,0,0,0.0466449916509955,0
"2x8",0.974271833759683,0.000607366919837312,0,0,0.0154352821628874,0.00968551715759212
"2x9",0.899765895348809,0,0,0,0.100234104651191,0
"2x10",0.935116231853521,0.0130385403563374,0,0,0.0515675265625692,0.000277701227572005
"2x11",0.964819537685328,0,0,0,0.0309734710606052,0.00420699125406727
"2x12",1,0,0,0,0,0
"2x13",0.247130732388155,0.0993049777888425,0.314588743016446,0.0754774634187578,0.149145398584335,0.114352684803464
"2x14",0.966350946109354,0.00399156414834537,0,0,0.0296574897423005,0
"2x15",0.967224621449674,0.0327753785503258,0,0,0,0
"2x16",0.74659137043732,0,0.102896856496093,0.00911016517175196,0.105188324495905,0.0362132833989301
"2x17",0.841759996203744,0.0112353622952912,0.00529754704058807,0,0.141707094460377,0
"2x18",0.744951032351422,0.000962887569780188,0.0693059374033316,0.0502680960197655,0.121534798287089,0.0129772483686124
"2x19",0.57888647365267,0.27666548142962,0.0255787560978865,0,0.0834079335611214,0.0354613552587024
"2x20",0.860028404486942,0,0.0105828681708371,0.0191705703552217,0.0972431355030316,0.0129750214839672
"2x21",0.596041882848542,0.142238070122471,0,0.0435791837213523,0.215298646968472,0.00284221633916307
"2x22",0.703510620347451,0.134737678503721,0,0.0473592249504642,0.0992175107226211,0.0151749654757425
"2x23",0.668605677813992,0.0686293425928704,0.113682698213365,0.0536185484093734,0.0676658866011373,0.0277978463692626
"2x24",0.723848129493167,0.0370197912467334,0.00166447927473598,0.00869220863620664,0.20945573713102,0.0193196542181363
"2x25",0.554165197202549,0.142730412245597,0.185581685938106,0.00921213533548015,0.101899158946686,0.00641141033158156
"2x26",0.654885836139437,0.0826390003700524,0.115716168171867,0,0.134370953472996,0.0123880418456476
"2x27",0.62963045248288,0.0373185393146012,0.0146083732837684,0.118464744915396,0.157774017460064,0.042203872543291
"2x28",0.279182473254873,0.109406333126776,0.0451032611097913,0.0961766284740438,0.399565460987699,0.0705658430468172
"2x29",0.623865243355959,0.178098997457209,0.114424853414634,0.00642916828074948,0.0446035952069965,0.0325781422844524
"2x30",0.467534362948493,0.253404002665128,0,0.0649298966500223,0.148320762284253,0.0658109754521032
"2x31",0.399918463605385,0.148782122862533,0.181200192620057,0.010119887750275,0.178936176561358,0.0810431566003917
"2x32",0.376678344742898,0.291446949594287,0.130579043087537,0.0504556319569717,0.0726832860624546,0.0781567445558513
"2x33",0.420299779290551,0.186940130569055,0.0157425523685651,0.11056840235693,0.237658556880261,0.0287905785346382
"2x34",0.55094691849624,0.100137618366197,0.196142096413202,0,0.14348797162465,0.00928539509971026
"2x35",0.669644928242759,0.0598557733039362,0.162196290037842,0.0179825794315439,0.0623275878419862,0.0279928411419324
