"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes"
"0x49",0.36547653947949,0.246750832159176,0.226824675086819,0.0541932209015821,0.0940033011207939,0.0127514312521385
"1x0",0.473105962932519,0.343386456240346,0.0695476506011277,0.0269523579901383,0.087007572235869,0
"1x1",0.493062059786922,0.255978804007412,0.0937918882932335,0.0193974394266988,0.137769808485734,0
"1x2",0.519282346067922,0.178883095336089,0.16514152200311,0.0378508765260703,0.0988421600668087,0
"1x3",0.4805360385066,0.235758147186914,0.197448780247831,0.00291077392782928,0.0744410245917369,0.00890523553908844
"1x4",0.59586348883752,0.296124413681991,0.000738376576072773,0.0294941440428725,0.0670874745900841,0.0106921022714589
"1x5",0.517426108368331,0.300420001758602,0.0392028494685343,0,0.137309908644975,0.00564113175955746
"1x6",0.406082320141619,0.370213235185081,0.0679111427145758,0,0.152989116101331,0.00280418585739309
"1x7",0.478810966922232,0.365229721642589,0.0414369747806823,0,0.114522336654497,0
"1x8",0.531133070922734,0.278943333507318,0.019076206645997,0.0173344444769801,0.153512944446972,0
"1x9",0.534137619448774,0.315768367263546,0.000305279251749973,0.0316269674736003,0.11816176656233,0
"1x10",0.286232571212992,0.103670640509815,0.44588861768986,0.0529685639375412,0.0840256113754772,0.0272139952743148
"1x11",0.362218446311383,0.495685158831549,0.0587919762293312,0.00815340945932397,0.0667568005882031,0.00839420858020975
"1x12",0.473508241511787,0.30566718548176,0.0825489587819692,0,0.120701551094135,0.0175740631303492
"1x13",0.495720119943652,0.246646530330136,0.0787577448930849,0.0170780963541742,0.150404969038802,0.0113925394401512
"1x14",0.43146859552111,0.369504742583358,0.0413428967360257,0,0.126004458764805,0.0316793063947009
"1x15",0.439095458645763,0.360277419986828,0.0533390204592084,0.0312467128795439,0.109700200849418,0.00634118717923845
"1x16",0.470437516069346,0.15546993665675,0.087425144925849,0,0.263518291501896,0.0231491108461583
"1x17",0.504350643134267,0.29318796238092,0.0901032396174086,0.0127375613013498,0.0996205935660542,0
"1x18",0.48646410884348,0.268015969141903,0.110193316694929,0.0147706954699878,0.120474935982252,8.09738674485448e-05
"1x19",0.533587120246542,0.248114519397311,0.13078920967751,0.0271087953763967,0.0603532021601504,4.71531420900447e-05
"1x20",0.491149521144365,0.115957269073992,0.303948039788053,0,0.0840303293351153,0.00491484065847472
"1x21",0.516202040691816,0.243186663248213,0.0622479266171663,0.0137162445343715,0.121970582872129,0.0426765420363041
"1x22",0.385713563690823,0.237109681591648,0.147989782309073,0.00561742059006848,0.219835732046508,0.00373381977187907
