"","Cancer","Stroma","Ductal"
"12x38",0.254659938464947,0.579917005826081,0.165423055708973
"12x39",0.135088191129572,0.827198864854257,0.0377129440161706
"12x40",0.248222638296843,0.533297865600673,0.218479496102485
"12x41",0.173299475258683,0.65955230181317,0.167148222928146
"12x42",0.110522423113439,0.483680816026134,0.405796760860427
"12x43",0.3552114345555,0.397325442964017,0.247463122480483
"12x44",0.162581598837946,0.57660912198466,0.260809279177394
"12x45",0.301267483403079,0.467086699720081,0.23164581687684
"12x46",0,0.329367220284381,0.670632779715619
"12x47",0.20391814997871,0.524295491963618,0.271786358057672
"12x48",0.190298654841582,0.473660108536386,0.336041236622032
"12x49",0.24729306757301,0.436170869986023,0.316536062440967
"13x0",0.880242772840522,0.0208498974167626,0.0989073297427156
"13x1",0.9465087630121,0.000984774068484625,0.0525064629194155
"13x2",0.912664560026425,0.0067642828127939,0.0805711571607814
"13x3",0.95690638897929,0.0124316482644576,0.0306619627562527
"13x4",0.891539641163724,0,0.108460358836276
"13x5",0.975862771432439,0.00110536478217657,0.0230318637853844
"13x6",0.948205183847796,0,0.0517948161522041
"13x7",0.936327364874646,0.0024665695771862,0.061206065548168
"13x8",0.912674947871032,0.0118484122938718,0.0754766398350965
"13x9",0.965374079226801,0.0239603475980945,0.0106655731751045
"13x10",0.915071468480791,0.00302054199263938,0.0819079895265697
"13x11",0.881909029510006,0.0039250632724195,0.114165907217575
"13x12",0.92914549144969,0.00674795546035654,0.0641065530899535
"13x13",0.955600448345958,0.0443995516540424,0
"13x14",0.953603654694343,0,0.0463963453056567
"13x15",0.860698040656754,0.0485797408317134,0.0907222185115327
"13x16",0.946620931400379,0.0032103884348772,0.0501686801647441
"13x17",0.925914595596557,0.000655829215785193,0.0734295751876573
"13x18",0.961489302056807,0.0314892539844481,0.0070214439587451
"13x19",0.805140277564324,0.147298779311285,0.0475609431243916
"13x20",0.794895061012605,0.174199171538845,0.0309057674485503
"13x21",0.681367115011939,0.305514708971856,0.0131181760162054
"13x22",0.360881676428987,0.531051057260297,0.108067266310716
"13x23",0.475326063612008,0.489335013404705,0.035338922983287
"13x24",0.225289786728006,0.557031745777349,0.217678467494645
"13x25",0.269129255081445,0.546471989764384,0.184398755154171
"13x26",0.173575565295983,0.621191250173528,0.205233184530489
"13x27",0.0391874608674611,0.808617647961146,0.152194891171393
"13x28",0.0894960409781959,0.804967592636817,0.105536366384987
"13x29",0.00215511092199965,0.850345881980118,0.147499007097882
"13x30",0.113949926869673,0.858790906794128,0.0272591663361991
"13x31",0.0658436759456738,0.873528658504865,0.0606276655494611
"13x32",0.0199406488372134,0.788920154617811,0.191139196544976
"13x33",0.0552118839256409,0.869100071513665,0.0756880445606938
"13x34",0.115538602456002,0.746523247459901,0.137938150084097
"13x35",0.238317947419871,0.652617085847257,0.109064966732872
"13x36",0.266318459776729,0.488469528509299,0.245212011713972
"13x37",0.0784381521967481,0.803351094913919,0.118210752889333
"13x38",0.211075432668704,0.683373924297061,0.105550643034235
"13x39",0.292710413156937,0.544033404456709,0.163256182386354
"13x40",0.30752737229192,0.473474598610193,0.218998029097887
"13x41",0.230829845573119,0.599480215000705,0.169689939426176
"13x42",0.389989720576004,0.422418219712552,0.187592059711444
"13x43",0.348108640642405,0.579209523912419,0.0726818354451759
"13x44",0.184695705788133,0.361875952793566,0.453428341418301
"13x45",0.25785170743201,0.508147433596981,0.234000858971009
"13x46",0.443275750171294,0.493173370897197,0.0635508789315089
"13x47",0.180696172412849,0.528747482063405,0.290556345523746
"13x48",0.0956297259861972,0.239621119885697,0.664749154128105
"13x49",0.129516403732942,0.498125676005696,0.372357920261362
"14x0",0.838943688685972,0.0704511864048108,0.0906051249092172
"14x1",0.73355257644927,0.186473402050452,0.0799740215002787
"14x2",0.957798016377709,0,0.0422019836222914
"14x3",0.927520649105011,0.0473383667019256,0.0251409841930637
"14x4",0.957803222902934,0,0.0421967770970659
"14x5",0.996270505050571,0.00372949494942885,0
"14x6",0.974683437619292,0,0.0253165623807077
"14x7",0.977350945388755,0.00154454724801906,0.0211045073632257
"14x8",0.920822568039952,0.0138083994314433,0.0653690325286042
"14x9",0.975403018020956,0.0054317360270971,0.0191652459519468
"14x10",0.928722717671543,0.00101895205068703,0.0702583302777702
"14x11",0.975395227428701,0,0.0246047725712993
"14x12",0.917490663305587,0,0.0825093366944133
"14x13",0.957951628083124,0.00696106173860025,0.0350873101782763
"14x14",0.994626657739208,0.00259835788233337,0.00277498437845852
"14x15",0.951982053563653,0.00374271788577133,0.044275228550576
"14x16",0.982076880483418,0.00206856079907406,0.015854558717508
"14x17",0.957790566351381,0,0.0422094336486194
"14x18",0.986405782914791,0.00307267655686435,0.0105215405283443
"14x19",0.87840819007687,0.103526786096448,0.018065023826682
"14x20",0.760500964414896,0.198497319012112,0.0410017165729924
"14x21",0.503814324860127,0.451797820424968,0.0443878547149042
"14x22",0.400323965609543,0.47901196369341,0.120664070697047
"14x23",0.310740476490988,0.646709898441926,0.0425496250670859
"14x24",0.189965417194379,0.751236234799935,0.0587983480056863
"14x25",0.116535282310264,0.774946851472426,0.10851786621731
"14x26",0.0809452248048932,0.856978096640305,0.0620766785548023
"14x27",0.0668938995671535,0.889702890200913,0.0434032102319335
"14x28",0.0836603646611144,0.891500702353311,0.0248389329855748
"14x29",0.112359738851535,0.864480342938744,0.0231599182097206
"14x30",0.0891445894808678,0.85044332696727,0.0604120835518623
"14x31",0.0926494994507857,0.853934199457484,0.0534163010917306
"14x32",0.0491896088916911,0.897006565901385,0.0538038252069241
"14x33",0.133165398610206,0.823051309724464,0.0437832916653292
"14x34",0.136970982808379,0.831734425158607,0.0312945920330133
"14x35",0.0498293783446964,0.859381608392116,0.090789013263188
"14x36",0.136956813501307,0.784789267426302,0.0782539190723911
"14x37",0.0912059759673943,0.85328344795729,0.0555105760753156
"14x38",0.0612597697221983,0.655860730978088,0.282879499299714
"14x39",0.129623941960177,0.81649766887888,0.0538783891609425
"14x40",0.257432383005318,0.643385775892517,0.0991818411021645
"14x41",0.394648625646439,0.391569852391132,0.213781521962429
"14x42",0.332140234617801,0.535557043233698,0.132302722148501
"14x43",0.204202014245753,0.63632904033484,0.159468945419406
"14x44",0.176518425353425,0.605233045494305,0.21824852915227
"14x45",0.30138007544638,0.585644735550395,0.112975189003226
"14x46",0.216629152054163,0.55586823226789,0.227502615677947
"14x47",0.380171583149432,0.47513899850284,0.144689418347727
"14x48",0.25105930958612,0.204281716914607,0.544658973499273
"14x49",0.034242952449992,0.550090483494883,0.415666564055124
"15x0",0.679121931513768,0.00388882319334344,0.316989245292889
"15x1",0.753505943052524,0.0888405027399871,0.157653554207489
"15x2",0.853770768943884,0.0828701916448204,0.063359039411296
"15x3",0.89938811240393,0.0023596710094303,0.0982522165866401
"15x4",0.928076945494992,0.0238597669884172,0.0480632875165906
"15x5",0.944896087482165,0.0427802596830766,0.0123236528347579
"15x6",0.984595540648758,0.00162038290093793,0.0137840764503044
"15x7",0.937562500703827,0.00910278598064396,0.0533347133155288
"15x8",0.977420306223385,0.0164635935078473,0.00611610026876726
"15x9",0.994683698091471,0.000644249694241073,0.00467205221428793
"15x10",1,0,0
"15x11",0.559096502132156,0.420018283426245,0.0208852144415992
"15x12",0.969174650547461,0,0.0308253494525393
"15x13",0.935341437356823,0.02120332098424,0.0434552416589366
"15x14",0.879684785589592,0.0123079854302246,0.108007228980183
"15x15",0.158694789356532,0.775708315734891,0.0655968949085774
"15x16",0.937113906139735,0.00448111694923094,0.0584049769110341
"15x17",0.930272498602528,0,0.0697275013974725
"15x18",0.771157345407841,0.0777726471975022,0.151070007394657
"15x19",0.73708561685549,0.176129301771841,0.0867850813726686
"15x20",0.717495136931039,0.279105890043528,0.00339897302543307
"15x21",0.4290978884006,0.420996682013925,0.149905429585475
"15x22",0.295971890227332,0.603571538635862,0.100456571136806
"15x23",0.277049004970131,0.687286809899188,0.0356641851306804
"15x24",0.0599684491526532,0.908726054775785,0.0313054960715613
"15x25",0.0486784425446285,0.915452908214551,0.0358686492408205
"15x26",0.0395247427060014,0.893547452420765,0.0669278048732338
"15x27",0.0341443601335224,0.916645581180454,0.0492100586860235
