"","mDCs","Macrophages","Mast","Monocytes"
"1x15",0.369220365279588,0.08386960310934,0.458757046825322,0.0881529847857503
"1x16",0.24581117755086,0.0470231768995132,0.563958480420942,0.143207165128685
"1x17",0.309936094019964,0.0698582053025199,0.54684517345441,0.0733605272231068
"1x18",0.175414371891009,0.121971205703258,0.637129634042635,0.0654847883630987
"1x19",0.400872288400826,0.0393582548356771,0.452884250094626,0.106885206668871
"1x20",0.506098683061238,0.0120665714033531,0.388395923579632,0.0934388219557767
"1x21",0.467096821903368,0.0152764289305697,0.386998119052878,0.130628630113185
"1x22",0.351494448031133,0.0430660783270142,0.513611188640837,0.0918282850010158
"1x23",0.400669736900226,0.0447148671331452,0.452860238537019,0.10175515742961
"1x24",0.338695594830629,0.0638232916921642,0.514753480939631,0.0827276325375753
"1x25",0.30165576836792,0.0742569031169361,0.567570565212755,0.0565167633023895
"1x26",0.14052216578089,0.0845185430253105,0.559175750113889,0.21578354107991
"1x27",0.384978894774482,0.0235286491862971,0.443111543026299,0.148380913012921
"1x28",0.435010171660642,0.0765432232349357,0.410893965701266,0.0775526394031565
"1x29",0.371154994805023,0.0990321583066517,0.38608115900299,0.143731687885335
"1x30",0.38130918548732,0.200668228853451,0.378878737236955,0.0391438484222745
"1x31",0.307433306726853,0.0450798110475348,0.480984159592407,0.166502722633206
"1x32",0.396500446568335,0.0932391974988821,0.428370924965469,0.0818894309673136
"1x33",0.452246875933219,0.0322075605152602,0.436248380503958,0.0792971830475627
"1x34",0.413326142553461,0.0359782394534725,0.439771343158955,0.110924274834111
"1x35",0.442329115651611,0.0921780881259485,0.423515211800149,0.0419775844222921
"1x36",0.403235620737315,0.121289932880732,0.417589379669927,0.0578850667120267
"1x37",0.397252245835008,0.0862998086645706,0.371627875852046,0.144820069648376
"1x38",0.396852365808153,0.061537380216875,0.452863904088117,0.0887463498868556
"1x39",0.324753475326689,0.0952695130552498,0.433201935236241,0.14677507638182
"1x40",0.470144688895223,0.053264858387114,0.419921611119324,0.0566688415983386
"1x41",0.532688138314581,0.110430523355909,0.305953088664617,0.0509282496648925
"1x42",0.503503328949128,0.00435032335479398,0.390120004286588,0.102026343409489
"1x43",0.422115456830525,0.0483986812914606,0.393561520788697,0.135924341089317
"1x44",0.488242042958273,0.0505957056397887,0.395297816398676,0.0658644350032621
"1x45",0.488191909568917,0.0662060472452753,0.310033007495702,0.135569035690107
"1x46",0.38595933664763,0.0781601543876481,0.386035290408522,0.1498452185562
"1x47",0.383736423916445,0.174225821221094,0.365910726418434,0.0761270284440267
