,cell type,MAPE,MAE,r,KL,reference,method,grp
Cancer,Cancer,21.77848531058563,6.510895968452683,0.9597597950653374,0.3529219506055141,Internal,spatialDWLS,spatialDWLS_Internal
Ductal,Ductal,17.960734368935167,6.59647882442186,0.9626530765411606,0.10755411437611666,Internal,spatialDWLS,spatialDWLS_Internal
mDCs,mDCs,42.599884744016165,5.506792434448425,0.8532138888404898,0.7720203665956483,Internal,spatialDWLS,spatialDWLS_Internal
Monocytes,Monocytes,54.59663098860005,2.7430560667139083,0.7857449254690442,1.2377808999104036,Internal,spatialDWLS,spatialDWLS_Internal
Mast,Mast,48.01590925984108,1.9343475800378425,0.9364789367807463,0.22034776140477869,Internal,spatialDWLS,spatialDWLS_Internal
Macrophages,Macrophages,57.97861886078537,6.607952032938953,0.8518616592172541,0.6889289507201669,Internal,spatialDWLS,spatialDWLS_Internal
Cancer,Cancer,35.96099074516415,10.750897793174275,0.9297586846698246,0.3880202479543831,External,spatialDWLS,spatialDWLS_External
Ductal,Ductal,32.42661645955322,11.909395486247796,0.9135985135276666,0.1919442186989499,External,spatialDWLS,spatialDWLS_External
mDCs,mDCs,93.11411061600444,12.036654159085078,0.8022903050141063,0.4479494488260834,External,spatialDWLS,spatialDWLS_External
Monocytes,Monocytes,75.71094758851,3.8038862533969384,0.5808008544856549,2.055471522616651,External,spatialDWLS,spatialDWLS_External
Mast,Mast,106.51123583765118,4.290864308628577,0.945044064029283,0.13878734401930273,External,spatialDWLS,spatialDWLS_External
Macrophages,Macrophages,94.79692045602728,10.804215684196663,0.2615880985142288,2.2119021268461587,External,spatialDWLS,spatialDWLS_External
Cancer,Cancer,26.652273864622323,7.96796379456749,0.9477319312771084,0.44653093484642314,ReSort,spatialDWLS,spatialDWLS_ReSort
Ductal,Ductal,23.590919253511366,8.664289338502126,0.9493993607048894,0.2361438905863625,ReSort,spatialDWLS,spatialDWLS_ReSort
mDCs,mDCs,81.04178737684083,10.476091761343376,0.7757464963608399,0.5927340490302682,ReSort,spatialDWLS,spatialDWLS_ReSort
Monocytes,Monocytes,91.2170471639767,4.582947154067442,0.3780469094468753,2.1061329076421096,ReSort,spatialDWLS,spatialDWLS_ReSort
Mast,Mast,182.0025781594927,7.332074973698586,0.9155125858564287,0.2180519083675531,ReSort,spatialDWLS,spatialDWLS_ReSort
Macrophages,Macrophages,94.70619850726871,10.793875902092317,0.16078577875505856,2.338533173274425,ReSort,spatialDWLS,spatialDWLS_ReSort
Cancer,Cancer,18.76567514505738,5.610186241366357,0.9680107779725465,0.053477097095962316,Internal,RCTD,RCTD_Internal
Ductal,Ductal,14.098811925069347,5.1781019864133855,0.9742229387219603,0.03295474991653581,Internal,RCTD,RCTD_Internal
mDCs,mDCs,27.06868682169359,3.4991089928029475,0.9412149162839886,0.08068041492501687,Internal,RCTD,RCTD_Internal
Monocytes,Monocytes,55.32303849565567,2.779552394107286,0.8856846975937342,0.18021246531507124,Internal,RCTD,RCTD_Internal
Mast,Mast,33.50961775473555,1.34995356770383,0.9491127105429875,0.04940747851867701,Internal,RCTD,RCTD_Internal
Macrophages,Macrophages,35.88270670738475,4.089631822788878,0.8982809202369794,0.18676274908196636,Internal,RCTD,RCTD_Internal
Cancer,Cancer,38.077021564275356,11.383506366855762,0.9342503906602277,0.1479774220810158,External,RCTD,RCTD_External
Ductal,Ductal,35.72452802539645,13.120626795727407,0.9154520656649552,0.1463406837070943,External,RCTD,RCTD_External
mDCs,mDCs,70.27857278193106,9.084754928914045,0.8469907996238447,0.17705548449458144,External,RCTD,RCTD_External
Monocytes,Monocytes,74.70670824945852,3.7534310373600164,0.7736087338017315,0.46701374580091093,External,RCTD,RCTD_External
Mast,Mast,30.562614919771274,1.2312319212734968,0.9419621953791278,0.06040811879180042,External,RCTD,RCTD_External
Macrophages,Macrophages,84.54038758345288,9.635255840414086,0.5836565911745805,0.6238836549933582,External,RCTD,RCTD_External
Cancer,Cancer,20.819403395335776,6.224168839069583,0.9620651403505014,0.07746924127523033,ReSort,RCTD,RCTD_ReSort
Ductal,Ductal,15.949216941385986,5.857704348767144,0.9695557385115298,0.04632022695735178,ReSort,RCTD,RCTD_ReSort
mDCs,mDCs,74.8770244037545,9.679186551285781,0.8282492461475754,0.23734473447808102,ReSort,RCTD,RCTD_ReSort
Monocytes,Monocytes,79.6855738575035,4.0035803096539935,0.6957621707839332,0.5988966550558186,ReSort,RCTD,RCTD_ReSort
Mast,Mast,57.6791145955336,2.3236351754336244,0.8852833554685127,0.34394689551922,ReSort,RCTD,RCTD_ReSort
Macrophages,Macrophages,82.14443320324149,9.362183595358328,0.6733960325036376,0.38794143465667696,ReSort,RCTD,RCTD_ReSort
Cancer,Cancer,30.72950627517295,9.186893196025707,0.9570445938486312,0.10658056815846384,Internal,music,music_Internal
