,r,reference,method
4x17,0.9666584330071921,Internal,stsc
4x18,0.965535204258299,Internal,stsc
4x19,0.9410467048895832,Internal,stsc
4x20,0.9921292935416015,Internal,stsc
4x21,0.970190170817985,Internal,stsc
4x22,0.9786760333966844,Internal,stsc
4x23,0.9874151418938624,Internal,stsc
4x24,0.8956256059478468,Internal,stsc
4x25,0.8035146711852251,Internal,stsc
4x26,0.925196776608749,Internal,stsc
4x27,0.7141342623173362,Internal,stsc
4x28,0.9608136187439882,Internal,stsc
4x29,0.9254050036952695,Internal,stsc
4x30,0.7252891328362305,Internal,stsc
4x31,0.403767384906554,Internal,stsc
4x32,0.6865692896221093,Internal,stsc
4x33,0.9164018500943238,Internal,stsc
4x34,0.8036606588308138,Internal,stsc
4x35,0.9300895813025909,Internal,stsc
4x36,0.9693007909822294,Internal,stsc
4x37,0.17689199811802098,Internal,stsc
4x38,0.5931400390687294,Internal,stsc
4x39,0.8066961095760947,Internal,stsc
4x40,0.908939314014825,Internal,stsc
4x41,0.7985756958731406,Internal,stsc
4x42,0.7398881692231286,Internal,stsc
4x43,0.8220661410569277,Internal,stsc
4x44,0.8435079159026808,Internal,stsc
4x45,0.8251998716141841,Internal,stsc
4x46,0.9231355266385894,Internal,stsc
4x47,0.8107886089220399,Internal,stsc
4x48,0.9241974300313486,Internal,stsc
4x49,0.915282772433528,Internal,stsc
5x0,0.9956850285426476,Internal,stsc
5x1,0.9228677327015701,Internal,stsc
5x2,1.0,Internal,stsc
5x3,0.9999999999999999,Internal,stsc
5x4,0.9873305853340233,Internal,stsc
5x5,1.0,Internal,stsc
5x6,0.9578918464606823,Internal,stsc
5x7,0.9999999999999999,Internal,stsc
5x8,1.0,Internal,stsc
5x9,1.0,Internal,stsc
5x10,1.0,Internal,stsc
5x11,1.0,Internal,stsc
5x12,1.0,Internal,stsc
5x13,1.0,Internal,stsc
5x14,1.0,Internal,stsc
5x15,1.0,Internal,stsc
5x16,1.0,Internal,stsc
5x17,1.0,Internal,stsc
5x18,0.8591015083661373,Internal,stsc
5x19,0.924456744407902,Internal,stsc
5x20,0.9414294437448498,Internal,stsc
5x21,0.7870597996093756,Internal,stsc
5x22,0.8737357798456952,Internal,stsc
5x23,0.962281891512597,Internal,stsc
5x24,0.8727350435119661,Internal,stsc
5x25,0.8037360917800632,Internal,stsc
5x26,0.8800417561298486,Internal,stsc
5x27,0.853521150992735,Internal,stsc
5x28,0.8921711662638587,Internal,stsc
5x29,0.8751569795696653,Internal,stsc
5x30,0.9269742122780176,Internal,stsc
5x31,0.872271676407656,Internal,stsc
5x32,0.9078080617293149,Internal,stsc
5x33,0.8077416072310892,Internal,stsc
5x34,0.6503010620857858,Internal,stsc
5x35,0.5600488413759088,Internal,stsc
5x36,0.7784198870360362,Internal,stsc
5x37,0.8737963360837162,Internal,stsc
5x38,0.8834679658765962,Internal,stsc
5x39,0.5713155868723447,Internal,stsc
5x40,0.8946261591076058,Internal,stsc
5x41,0.9610510546743678,Internal,stsc
5x42,0.8759819783249627,Internal,stsc
5x43,0.7788681296189071,Internal,stsc
5x44,0.8507566220956729,Internal,stsc
5x45,0.9066150659407399,Internal,stsc
5x46,0.7014387839766091,Internal,stsc
5x47,0.8824145614670786,Internal,stsc
5x48,0.9024603871057086,Internal,stsc
5x49,0.726313258951977,Internal,stsc
6x0,0.9795345740915994,Internal,stsc
6x1,0.9478186292474127,Internal,stsc
6x2,1.0,Internal,stsc
6x3,1.0,Internal,stsc
6x4,1.0,Internal,stsc
6x5,1.0,Internal,stsc
6x6,0.9418882038281665,Internal,stsc
6x7,0.8316411739612761,Internal,stsc
6x8,1.0,Internal,stsc
6x9,1.0,Internal,stsc
6x10,1.0,Internal,stsc
6x11,0.9996983012056181,Internal,stsc
6x12,0.9605876712805892,Internal,stsc
6x13,0.9999999999999999,Internal,stsc
6x14,0.8466085333992077,Internal,stsc
6x15,1.0,Internal,stsc
6x16,0.9999999999999999,Internal,stsc
6x17,1.0,Internal,stsc
6x18,0.9527929971041901,Internal,stsc
6x19,1.0,Internal,stsc
6x20,0.9566434075506788,Internal,stsc
6x21,0.8199931889433137,Internal,stsc
6x22,0.9521924653444098,Internal,stsc
6x23,0.9316560032254186,Internal,stsc
6x24,0.8219078546676879,Internal,stsc
6x25,0.8946894503897774,Internal,stsc
6x26,0.843642174162503,Internal,stsc
6x27,0.9282887424080523,Internal,stsc
6x28,0.8492594817202626,Internal,stsc
6x29,0.7732084645930123,Internal,stsc
6x30,0.884648881292146,Internal,stsc
6x31,0.841006648018282,Internal,stsc
6x32,0.7035893193601946,Internal,stsc
6x33,0.42830994862038385,Internal,stsc
6x34,0.9423666130498192,Internal,stsc
6x35,0.9647584985819508,Internal,stsc
6x36,0.971629699566982,Internal,stsc
6x37,0.9041703921346069,Internal,stsc
6x38,0.659396828091608,Internal,stsc
6x39,0.7282809107852513,Internal,stsc
6x40,0.8484910857093193,Internal,stsc
6x41,0.7945843416628203,Internal,stsc
6x42,0.9135129917490761,Internal,stsc
6x43,0.8378428471063073,Internal,stsc
6x44,0.9217327619553954,Internal,stsc
6x45,0.8563819870174176,Internal,stsc
6x46,0.8741179153015054,Internal,stsc
6x47,0.9116897007578625,Internal,stsc
6x48,0.9451368105545715,Internal,stsc
6x49,0.05415873127366531,Internal,stsc
7x0,0.9999621260941474,Internal,stsc
7x1,0.9728646207800457,Internal,stsc
7x2,1.0,Internal,stsc
7x3,0.7767596006436248,Internal,stsc
7x4,0.7301469621712146,Internal,stsc
7x5,1.0,Internal,stsc
7x6,0.9993665586251594,Internal,stsc
7x7,0.9871930048993538,Internal,stsc
7x8,1.0,Internal,stsc
7x9,1.0,Internal,stsc
7x10,1.0,Internal,stsc
7x11,1.0,Internal,stsc
7x12,0.8513306074364548,Internal,stsc
7x13,0.99998829236244,Internal,stsc
7x14,1.0,Internal,stsc
7x15,1.0,Internal,stsc
7x16,1.0,Internal,stsc
7x17,0.9060767728234598,Internal,stsc
7x18,1.0,Internal,stsc
7x19,0.9578670264612108,Internal,stsc
7x20,0.8756467813580119,Internal,stsc
7x21,0.9763788073192035,Internal,stsc
7x22,0.9460437758037553,Internal,stsc
7x23,0.9701345984447532,Internal,stsc
7x24,0.960964974084144,Internal,stsc
7x25,0.9337384081406063,Internal,stsc
7x26,0.9472332424891474,Internal,stsc
7x27,0.8349881678062984,Internal,stsc
7x28,0.931842965778048,Internal,stsc
7x29,0.9319517248547622,Internal,stsc
7x30,0.7643748748980974,Internal,stsc
7x31,0.9263797074960467,Internal,stsc
7x32,0.9078737422369969,Internal,stsc
7x33,0.8642898774913248,Internal,stsc
7x34,0.896485421547888,Internal,stsc
7x35,0.6848902618986725,Internal,stsc
7x36,0.7556170896017418,Internal,stsc
7x37,0.4373595473539724,Internal,stsc
7x38,0.6169937139483966,Internal,stsc
7x39,0.9769936146458076,Internal,stsc
7x40,0.9002305542644651,Internal,stsc
7x41,0.9006569606469979,Internal,stsc
7x42,0.9447823413829395,Internal,stsc
7x43,0.8666226918532279,Internal,stsc
7x44,0.8750261143321902,Internal,stsc
7x45,0.9516204530417693,Internal,stsc
7x46,0.7745221747275499,Internal,stsc
7x47,0.9027495763071721,Internal,stsc
7x48,0.6536472931610412,Internal,stsc
7x49,0.6027678017644245,Internal,stsc
8x0,1.0,Internal,stsc
8x1,0.9854168253290317,Internal,stsc
8x2,1.0,Internal,stsc
8x3,1.0,Internal,stsc
8x4,1.0,Internal,stsc
8x5,1.0,Internal,stsc
8x6,1.0,Internal,stsc
8x7,0.9999999999999999,Internal,stsc
8x8,1.0,Internal,stsc
8x9,1.0,Internal,stsc
8x10,1.0,Internal,stsc
8x11,1.0,Internal,stsc
8x12,1.0,Internal,stsc
8x13,1.0,Internal,stsc
8x14,0.9922201072342844,Internal,stsc
8x15,0.9999834411650788,Internal,stsc
8x16,0.8100859952935543,Internal,stsc
8x17,1.0,Internal,stsc
8x18,0.9692768393584026,Internal,stsc
8x19,0.9374166046349336,Internal,stsc
8x20,0.9946246632009947,Internal,stsc
8x21,0.865480813090668,Internal,stsc
8x22,0.9474400157838143,Internal,stsc
8x23,0.9394285751869859,Internal,stsc
8x24,0.967022468954478,Internal,stsc
8x25,0.8734168375496691,Internal,stsc
8x26,0.8318197313768829,Internal,stsc
8x27,0.8419084433190367,Internal,stsc
8x28,0.49517655329286936,Internal,stsc
8x29,0.8696946789823866,Internal,stsc
8x30,0.9483404840318386,Internal,stsc
8x31,0.8268905999347962,Internal,stsc
8x32,0.9764301715747297,Internal,stsc
8x33,0.7053570447267407,Internal,stsc
8x34,0.9562128996979298,Internal,stsc
8x35,0.7519033983256174,Internal,stsc
8x36,0.9007923359393407,Internal,stsc
8x37,0.9768302744348398,Internal,stsc
8x38,0.8811143863609981,Internal,stsc
8x39,0.889118985896175,Internal,stsc
8x40,0.9241426505538592,Internal,stsc
8x41,0.8326641027976418,Internal,stsc
8x42,0.8604846406128552,Internal,stsc
8x43,0.8686919614818787,Internal,stsc
8x44,0.6508871786585377,Internal,stsc
8x45,0.7361522049981752,Internal,stsc
8x46,0.528474135780054,Internal,stsc
8x47,0.8579427540111669,Internal,stsc
8x48,0.7259683101702978,Internal,stsc
8x49,0.6653391069655897,Internal,stsc
9x0,0.9956318461881248,Internal,stsc
9x1,0.9898153155363106,Internal,stsc
9x2,0.9999999999999999,Internal,stsc
9x3,1.0,Internal,stsc
9x4,0.9992132803290107,Internal,stsc
9x5,0.9791644632590245,Internal,stsc
9x6,0.9963821122606621,Internal,stsc
9x7,1.0,Internal,stsc
9x8,1.0,Internal,stsc
9x9,1.0,Internal,stsc
9x10,1.0,Internal,stsc
9x11,1.0,Internal,stsc
9x12,1.0,Internal,stsc
9x13,0.9628796735231064,Internal,stsc
9x14,0.99920727015598,Internal,stsc
9x15,1.0,Internal,stsc
9x16,0.9394959696586509,Internal,stsc
9x17,1.0,Internal,stsc
9x18,1.0,Internal,stsc
9x19,0.9858774206023758,Internal,stsc
9x20,0.9558345086373772,Internal,stsc
9x21,0.8718624729375125,Internal,stsc
9x22,0.9696396687036698,Internal,stsc
9x23,0.9383036281159655,Internal,stsc
9x24,0.9115320474209408,Internal,stsc
9x25,0.9975529391313311,Internal,stsc
9x26,0.8923707944861077,Internal,stsc
9x27,0.8670520416584464,Internal,stsc
9x28,0.9076550705795101,Internal,stsc
9x29,0.9534178595138023,Internal,stsc
9x30,0.6933196598068063,Internal,stsc
9x31,0.9113577006037721,Internal,stsc
9x32,0.9659459355830192,Internal,stsc
9x33,0.9369990672901558,Internal,stsc
9x34,0.9681075540034421,Internal,stsc
9x35,0.8347378807353991,Internal,stsc
9x36,0.8677724158268476,Internal,stsc
9x37,0.5980047524993368,Internal,stsc
9x38,0.6992858473775223,Internal,stsc
9x39,0.7133521148335686,Internal,stsc
9x40,0.8944968364650872,Internal,stsc
9x41,0.9209371363259532,Internal,stsc
9x42,0.9708823123715815,Internal,stsc
9x43,0.9806079815203216,Internal,stsc
9x44,0.8895203583247587,Internal,stsc
9x45,0.9804322938313984,Internal,stsc
9x46,0.9345343225804245,Internal,stsc
9x47,0.8549380491935822,Internal,stsc
9x48,0.9312549511612069,Internal,stsc
9x49,-0.1055832846702158,Internal,stsc
10x0,0.972124391947774,Internal,stsc
10x1,1.0,Internal,stsc
10x2,0.9623040222590218,Internal,stsc
10x3,0.9991104787299493,Internal,stsc
10x4,1.0,Internal,stsc
10x5,0.9999999999999999,Internal,stsc
10x6,1.0,Internal,stsc
10x7,1.0,Internal,stsc
10x8,1.0,Internal,stsc
10x9,0.9999999999999999,Internal,stsc
