Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
79x25,0,0.0583504921544488,0,0.00304062398367373,0.00463423604518325,0.0408553140612421,0,0,0.000523110682855018,0,0.0146403650487821,0,0.121007966186055,0,0.0998814248825744,0,0.38583873645497,0,0,0.271227730500216,0,0,0,0.332835312725174,0.953801648747411
88x56,0.159619475867731,0,0.0331839849633065,0,0,0.169314259960045,0,0.10366311317453,0,0.000225752841408342,0.0802036204645787,0.00288374353115268,0.0326104693981928,0.0681461964120318,0.0637501383919749,0,0.0717947823506232,0.0273060813711581,0.119404153249284,0,0,0.0678942280239837,0,-0.00883793100569683,1.07850747189232
33x25,0.135627230185399,0,0.0346905694502676,0.0964398151753291,0.0885610260766423,0,0.0259794768512483,0.0101952516200245,0.0232738510026592,0.0778035093847578,0,0,0,0.186954896654003,0.0741444839653496,0.128726239140791,0.014301995438759,0,0.0188006853231509,0.0646612756927817,0,0.0198396940388375,0,0.262326674682805,0.980880520859855
48x64,0.00142091531555159,0.0036966256121808,0,0.0100455328751058,0,0.0155352595187771,0,0.00213378122494934,0.00589012314059642,0,0,0.0254770057577439,0.0609980021368148,0,0.02494216412412,0,0.318267415421099,0,0,0.531593174873062,0,0,0,0.0346286980603315,1.18325562584745
26x58,0,0.012555407200069,0.00343202748299196,0.00113111987822135,0.0426551550468711,0,0,0.00451403420921253,0.00448681784049368,0.00470198424351135,0.00247629477084095,0,0.0921445532574977,0,0.0461524043843014,0,0.541297571555369,0,0,0.216799187494459,0.0276534426361611,0,0,0.100909908846517,1.06320184334651
52x58,0,0.0212421007514437,0.045315839654502,0,0.221600847447405,0,0.0479926216542554,0.0589367869769926,0,0,0.186402144108655,0,0,0,0.0900369867561234,0.171624647119182,0,0,0,0.0673835462824155,0.0443260670859939,0.0451384121630319,0,-0.0410671956216543,1.11171268606575
35x67,0,0.0252844889487815,0.0163625885403222,0,0,0.0930792858567921,0,0.0339853075572213,0,0,0.165267605584134,0,0,0.0923300210120813,0.147621699497778,0.0296349536836158,0.0799550042068616,0,0.291932676176627,0,0.00638726739133321,0.0181591015444525,0,0.0309058706850314,1.08081602419329
47x41,0.0941267795286983,0,0,0.0298906099771607,0,0.142389486645025,0.0188091540994855,0,0.0091883126283146,0,0.125256026836927,0,0,0.266257120939052,0.00615513168355345,0.0865214229378439,0,0.016164942306745,0.0365626841879615,0.0607681740626594,0,0.107910154166573,0,0.244022179769404,0.994805145007583
90x48,0,0.0809597743863466,0,0.13033837815358,0,0,0.00434247864224932,0,0,0,0.0240348012524631,0,0.0787990647014824,0,0.0599175049198207,0,0.610535125637366,0,0.0110728723066914,0,0,0,0,0.222154649345546,0.998834189243921
90x38,0.0838779282968787,0,0.0627574785983996,0.00847384426983239,0,0.125196738261708,0.0406190165132586,0,0.0440075969618423,0,0.139360650770999,0,0,0.200787272103587,0.140546150834587,0,0.0566531067129011,0,0.097720216676006,0,0,0,0,0.0263764341644479,1.08327560911169
39x25,0,0.0550367882962285,0.0198057319530029,0.0719548261725579,0.0127008000346573,0.111958555294853,0,0,0,0,0.0137092101411646,0.0248614041300674,0.156083532079246,0,0.0171105806756175,0,0.0748895926846306,0.013750028382051,0,0.428138950155923,0,0,0,0.167134918143719,1.05856026303863
23x47,0,0.175284947568164,0.0267391694188159,0.0126177555450953,0.060650866486024,0.0167455288823974,0,0,0.0725165477492119,0,0.165298685292254,0,0.197858329738887,0,0.0366498217039299,0,0.0346930071183357,0.0414371179886345,0,0.10041794730823,0,0.0590902752000202,0,0.0188090424236797,1.07454407666561
91x57,0,0.0714581184360061,0.0332051405495134,0.0604234989681045,0,0,0,0.031559086572561,0.152349104883717,0,0.113047748387739,0,0.0984603466509942,0.00322196500425855,0,0,0.276363292830074,0,0,0.0856138512461141,0.0742978464709182,0,0,0.0569745326999691,1.05287674934447
29x51,0,0.273397786619032,0.0337343004722975,0.0385028279098296,0,0.118071471551307,0,0.0206728323978672,0,0,0.118129483255144,0,0.0841645208932891,0,0.094731396088935,0,0.0750721054617703,0.0100863097148055,0,0.0934097442246169,0,0.0400272214111064,0,0.018663220111395,1.0878702938377
30x54,0.0071972063855182,0,0.00171644770883463,0.0118935670454373,0,0,0,0.0124007072247018,0.00152161823012036,0.000913909118073923,0,0.0205648729462122,0.229454279524475,0,0.0339726781969226,0.289143299463028,0.319838860366333,0,0,0.0417045952164735,0.02967795857387,0,0,0.14767047246074,1.03475481339742
66x24,0.153386403731164,0,0.0183610664658328,0,0,0.160537117342043,0,0.0572995701988193,0,0,0.120726094677821,0,0,0,0,0,0.23904452861358,0,0,0.121437537596858,0,0.129207681373882,0,0.037824369407137,1.06660666846485
102x44,0,0.131629580665153,0.0164344841761809,0.0842672280671988,0.0652451247119053,0,0,0.0178397639889642,0.0542855598334125,0,0.0184583090557478,0,0.160139028368811,0,0.0186491534234528,0,0.0231297445965941,0.0184832908785463,0,0.391438732234034,0,0,0,0.0406802485395754,1.10792862929566
52x44,0.148475690346828,0,0.0106726135791025,0.102497274904974,0.0614017777312799,0,0.0299478429051692,0.09250824722608,0,0.056186009237791,0,0.0497733457642854,0,0.0776476823086435,0.0298611801684118,0.0629635085526041,0.101987243277596,0.0391400909753376,0.102274685988936,0,0.0344865476270266,0.00017625940593413,0,-0.00511378846660816,1.07983028056378
28x66,0.152891707916765,0,0.0219784101959968,0,0,0.245263701914698,0,0,0.013671316313099,0.0645868977737237,0,0.0620861987932321,0.0320379377468682,0.101989388090068,0.070950629517437,0.00859844580990133,0.0733129122510268,0.0240359639476688,0.128596489729515,0,0,0,0,0.00445967647161783,1.08144302904066
87x35,0,0.199485992693452,0,0.0532232079839549,0,0.177870040581132,0,0.0178380016263162,0,0,0.125142825726075,0,0,0.0410432066091391,0.0720756063210631,0,0.0750689787191094,0,0,0.173681239532186,0.030641780968483,0.0339291192390891,0,-0.0569412204267649,1.12000989174238
89x59,0.0634621241276321,0.0237688696259437,0,0,0,0.21754020167241,0,0,0.0248744531393044,0,0.0599431045060929,0,0.0526045185094706,0.0279977444805219,0.047991495205944,0,0.451156614360403,0,0,0.0202153555595445,0,0.0104455188127323,0,0.243547063085046,0.982297279913366
