"","Macrophages","Mast","mDCs","Monocytes"
"1x28",0.0950395059302797,0.0740586818438439,0.62095045625224,0.0964616430341896
"1x29",0.154702625323934,0.111677026702195,0.473643568446534,0.172544748602337
"1x30",0.0738735428132876,0.163231030816034,0.735295761005913,0.0414175055289764
"1x31",0.0367386220600972,0.0912426913952122,0.635641029784194,0.191676024895915
"1x32",0.0884512862445288,0.116873038884456,0.647060634952598,0.0694241602347696
"1x33",0.0512241218087203,0.0598335296022887,0.770401998275534,0.0341815222321332
"1x34",0.0598892996201051,0.286263149178281,0.503908470874787,0.0600845727870517
"1x35",0.113994427111092,0.0847530958148443,0.783545593295423,0.0502267167043738
"1x36",0.15616902399376,0.253670089473159,0.434784104433757,0.0627382776018031
"1x37",0.0759653791660188,0.200392924675759,0.500870654455738,0.143285998543314
"1x38",0.0497970597634519,0.0774089823273186,0.738771450731906,0.0906127266880274
"1x39",0.0878043708683948,0.251583467061768,0.34140723637513,0.136818818052559
"1x40",0.074622051047166,0.219685853041657,0.683501423292438,0.0374491602601233
"1x41",0.171973836053077,0.0359694155830877,0.675836270290258,0.0687211096349199
"1x42",0.0568905731907953,0.0795341652837274,0.775612725257613,0.0357914549501044
"1x43",0.0678063456549052,0.0197549060419013,0.852366404695842,0.119626698841596
"1x44",0.0421514892448941,0.0385994497353984,0.939192813092843,0.0260633601425641
"1x45",0.0357867880975075,0.112807756446092,0.738150124662496,0.0514138537339828
"1x46",0.178989054734615,0.240033839635007,0.294105561074934,0.15718923108921
"1x47",0.154986512493191,0.0527036070397738,0.697142702776794,0.0813477450577953
"1x48",0.0724922789964544,0.120650179504034,0.667366436486456,0.041110746090832
"1x49",0.0539529553150179,0.236914676301825,0.557819402317292,0.0443968642088111
"2x0",0.0966478870017301,0.147640104144331,0.452451783396811,0.0429821382893224
"2x1",0.0647933498074597,0.183478134065793,0.516309634453282,0.0407129811209609
"2x2",0.0930081637287335,0.174100640182421,0.42778329310306,0.0530998782455389
"2x3",0.0740446747863423,0.177048296021245,0.445654869851218,0.0303494302929092
"2x4",0.0851124528314754,0.185328228675997,0.430091355439284,0.0421227350003704
"2x5",0.0425757312819603,0.160887992550951,0.519060370993261,0.0411395554131592
"2x6",0.0617131268698857,0.169411042962695,0.628335393652285,0.0617179987938517
"2x7",0.057823364351545,0.219616844701821,0.395023174527613,0.0340756639817321
"2x8",0.0507764304730152,0.19817524345142,0.424939541635441,0.0658621973155699
"2x9",0.0580631313675993,0.175895240960645,0.442484267404704,0.0392255511018396
"2x10",0.0629858719044141,0.220451392696217,0.398164008918611,0.0518722268408167
"2x11",0.0840982727261224,0.226228249036205,0.349594713585885,0.0560537765459739
"2x12",0.0710343101472416,0.18001292284761,0.427343565221625,0.0341517707119498
"2x13",0.111888898631997,0.119975340912404,0.871678774951236,0.0669746219387292
"2x14",0.062589292438127,0.195573127679746,0.395510568547957,0.0552370610981897
"2x15",0.0699873244295678,0.234104221511466,0.365702826096526,0.0462093998655898
"2x16",0.0797146217286679,0.0730051400152172,0.619691973084402,0.0704489462467178
"2x17",0.0461119086886579,0.166062007095346,0.513965302198996,0.0362032044960509
"2x18",0.0694000225447831,0.0948230641700045,0.573384142761624,0.0511324471425153
"2x19",0.0636137067945142,0.159671938775592,0.561178523509626,0.0582399948168734
"2x20",0.0525945784578067,0.198333683516224,0.506184162026412,0.0557167633000487
"2x21",0.070179859962343,0.335843577506859,0.430250003174075,0.0459396494115653
"2x22",0.0954074010480182,0.18151369245659,0.447752380006868,0.0663086641245092
"2x23",0.0444656167006944,0.103867882115548,0.677402034674197,0.0855869955099924
"2x24",0.0577995159330241,0.28037462858941,0.432969116381521,0.0458301262028517
"2x25",0.0467933333467412,0.131816441551621,0.677816463914663,0.0488851141623549
"2x26",0.0464261507778632,0.232041774515001,0.53209302655537,0.0462769266956182
"2x27",0.18293162019917,0.0715132436381545,0.638250601115231,0.0995579382228077
"2x28",0.129559427019277,0.430507532542633,0.320385392898471,0.071241353456878
"2x29",0.07165266529955,0.115020912120188,0.685155299832857,0.0488533749534239
"2x30",0.14047596322381,0.165795715224481,0.398655376585261,0.155493516867039
"2x31",0.065997888421608,0.0968346177961915,0.753931286437618,0.0663816061880639
"2x32",0.123820822865168,0.0751190008441915,0.553809526527753,0.159597600610116
"2x33",0.136652448795263,0.253337433984323,0.443028012971955,0.0488428843563849
"2x34",0.035667463082841,0.199427171392504,0.597724511241476,0.0234340912914957
"2x35",0.0676388340826647,0.093191467298907,0.629723225693992,0.0831101241576139
"2x36",0.0771162356131537,0.019442662821869,0.916557595113479,0.0522559136001834
"2x37",0.0932132445709144,0.215168247951592,0.508328454566794,0.0457406831335184
"2x38",0.0612052635101401,0.213689681413936,0.631450753522768,0.0755743898112095
"2x39",0.106036609948963,0.0785416448164276,0.593052206731021,0.0804128268381835
"2x40",0.0664936096294753,0.049273772968749,0.656369702800633,0.144769873685728
"2x41",0.0571560027267291,0.0778097816183427,0.664248356723371,0.0611837883324258
"2x42",0.0839518924822635,0.171722553689268,0.635454560352924,0.0660301546136238
"2x43",0.10134149177039,0.0660032533323717,0.830583770758477,0.0501118334021359
"2x44",0.0811194613726331,0.179194925146589,0.622761130439603,0.0213625687898326
"2x45",0.140585024505328,0.0933051476514199,0.602736444156837,0.0722656379015417
"2x46",0.0493924952719804,0.2101483940565,0.711727444248231,0.0583313312616312
"2x47",0.0618056773393077,0.195128451903363,0.771523019979222,0.0462678560843731
"2x48",0.0523404922813218,0.201083533092716,0.579536291248076,0.0635686076870181
"2x49",0.0998715459472867,0.258422809775129,0.422521702492143,0.0739300621176702
"3x0",0.0876504947330854,0.22716297297207,0.376664739429899,0.0574719301359915
"3x1",0.111543542349242,0.150239003663575,0.395628590195842,0.0507239073141795
"3x2",0.0444293564510936,0.196015625343739,0.4356015725317,0.0493705397334328
"3x3",0.0675857626129657,0.244106211368557,0.346889537743222,0.0240436340414863
"3x4",0.0620387297467071,0.218135955125083,0.415075544158079,0.0414124585011137
"3x5",0.0459783806025112,0.169221226678314,0.438186436799325,0.0416875530483484
"3x6",0.0392506168545252,0.174044090195166,0.454521250920304,0.0644728256665589
"3x7",0.056911065276198,0.172858981261937,0.446338162654566,0.0579717264495562
"3x8",0.101448979738347,0.105237611971775,0.681942642097089,0.0843411320274961
"3x9",0.0808492086312241,0.236562625933004,0.33696900335327,0.042407088877396
"3x10",0.102163275082804,0.219378242085162,0.32812431649301,0.0489336053954058
"3x11",0.0450881452265982,0.194517079270211,0.455494415039431,0.0310120385240616
"3x12",0.0487562898141161,0.204618399637572,0.471478533315486,0.0564715467037553
"3x13",0.0604697101785476,0.217921613061463,0.434638645632018,0.0375000796771361
"3x14",0.0385250714286415,0.0883709097234043,0.757856941007585,0.0519823124582275
"3x15",0.0552553460716655,0.174382614318752,0.455109642689484,0.0549360343862085
"3x16",0.0463770315863519,0.189591170057354,0.478427819649584,0.0471178464943996
"3x17",0.0779570199460925,0.225951568187928,0.370873940976909,0.0328132635544918
"3x18",0.0599416790649201,0.163270167961648,0.412407480615636,0.10170143861155
"3x19",0.0903920281719904,0.168303347451448,0.446180065474783,0.0667214189275136
"3x20",0.141105030351456,0.0873652257411252,0.557258566063152,0.0470025929195649
"3x21",0.0611812925003621,0.287074770695515,0.518594072464067,0.0487011431506653
"3x22",0.112177599872467,0.0974398914025333,0.549324577684839,0.0330171446508014
"3x23",0.0788108202658634,0.186400239871541,0.468113284964558,0.0663201706779261
"3x24",0.0641234038631724,0.105904765943395,0.670986496992095,0.0496381856648834
"3x25",0.0373044422635446,0.17508834532865,0.731349443427826,0.0423335997883948
"3x26",0.0549492119634713,0.0668083830779335,0.797427606154052,0.0437893012595512
"3x27",0.153177564320117,0.211309598199694,0.355424212449836,0.131315249596177
"3x28",0.0827518325382799,0.0868154794302957,0.632512689046684,0.0481064401484188
"3x29",0.0690839585245828,0.058010462147583,0.77586070678426,0.0711613488338891
"3x30",0.109696497670632,0.0373400620721219,0.717590199949648,0.0446557835452051
"3x31",0.0800284224880647,0.0446600033529486,0.746831626913546,0.0810639030393991
"3x32",0.0489729214428938,0.0858445267035114,0.728513988385584,0.076621613867211
"3x33",0.0781531067695,0.020405678254802,0.848628045905531,0.0643064664297834
"3x34",0.0498677075368233,0.0552735817039829,0.747912114324588,0.148692811898764
"3x35",0.10113739516618,0.186265775988232,0.537388316164517,0.13738995652853
"3x36",0.11252939785406,0.172058007927816,0.554370264307039,0.0884352498449066
"3x37",0.0895503184101478,0.153983854370034,0.704862334315862,0.0270583688951724
"3x38",0.176824045888527,0.0828272686285517,0.565726503791847,0.0916296626681643
"3x39",0.0983783372319116,0.22181734562738,0.657565071226308,0.0449985105145825
"3x40",0.126505836636458,0.178518392201548,0.683820198438075,0.0562484165907777
"3x41",0.124661110637144,0.0819838790566117,0.785065712324492,0.0387266981829467
"3x42",0.136501337820668,0.0740296711177945,0.722656821239075,0.048299833438167
"3x43",0.0608528610079909,0.190633386992103,0.673537310241009,0.0656874312967118
"3x44",0.143909432899812,0.0980523497808012,0.45642622362573,0.148287844514461
"3x45",0.127983249735106,0.0559904870919571,0.558875496282711,0.170121231255078
"3x46",0.102780336041704,0.190478351264173,0.551494848387934,0.0859815566020504
"3x47",0.132970315012326,0.227345665477937,0.399255932894903,0.107599089973822
"3x48",0.053589955860531,0.0959453920925753,0.579794439097773,0.18326368836649
"3x49",0.0991914961989293,0.100815305424773,0.690177461017195,0.0511842189659202
"4x0",0.0598473251063701,0.210261527832434,0.401994487475107,0.0486786272793428
"4x1",0.0661209068238665,0.110813605970761,0.639669941091287,0.0335024974410035
"4x2",0.0880493851556857,0.156586116588976,0.489436367817112,0.0383057558779483
"4x3",0.0697063242614519,0.231042965837589,0.358761582320675,0.0477754308363517
"4x4",0.0624365475831711,0.159321203757579,0.397248031223724,0.0434844675423842
"4x5",0.0581118108724482,0.224782834604453,0.402560571135609,0.0356037816535652
"4x6",0.0544157164616936,0.203874473096992,0.379272939367257,0.0398252689511988
"4x7",0.0785165858985066,0.171577889588102,0.427987428258283,0.0379885375474432
"4x8",0.0473304809693995,0.21304510312801,0.375007772814859,0.0470605799699914
"4x9",0.0468029022226517,0.213971299630386,0.426767781578931,0.0319073436864846
"4x10",0.0701037441130106,0.181928857937059,0.419597861704605,0.0552208295373433
"4x11",0.100570912896249,0.173705370110313,0.362255092497514,0.0425255140613554
"4x12",0.0751135303119112,0.172741873922081,0.456069561926218,0.0339739382374417
"4x13",0.063781070650692,0.149673963300117,0.433133498580296,0.0481632617403779
"4x14",0.0457339434774398,0.167333101462291,0.448883452263071,0.0539377339928832
"4x15",0.0688796458516957,0.192363223943203,0.450469469680156,0.0221926120733645
"4x16",0.0799723816325209,0.182926676073125,0.396590122763949,0.0492339280667948
"4x17",0.108013524698484,0.158976080439209,0.325995495720524,0.101949372685388
"4x18",0.0122228286497053,0.163142246662712,0.476276502488728,0.1184022312086
"4x19",0.100718020050729,0.0777204087169375,0.610397246381156,0.0671923066166145
"4x20",0.0752934139355231,0.130468521830344,0.45484610042772,0.0618786327133077
"4x21",0.102643379044725,0.125787139059588,0.466885999570188,0.0684433804135703
"4x22",0.0582464195755805,0.164175450205878,0.504546553801974,0.0407042288494724
"4x23",0.0389869649501709,0.0966222847075126,0.755754722124255,0.0371086713796178
"4x24",0.0296750183141537,0.259642122892756,0.543261156120326,0.0489533574777385
"4x25",0.0822763105061681,0.122181496628667,0.558072563004524,0.0604937081910235
"4x26",0.0214076870863291,0.0885578814133963,0.79916839784645,0.0723681772163228
"4x27",0.0481474851253067,0.136379746855678,0.60581678132025,0.0993029461593055
"4x28",0.0697461212681677,0.179451804805251,0.646271271249032,0.0506980431975441
"4x29",0.0866739208362928,0.0610040945490291,0.769193254695284,0.0415801390961513
"4x30",0.0870637027347724,0.232000676112385,0.507206799128377,0.138923541046211
"4x31",0.109624380683198,0.0701257848827674,0.739925811046122,0.0347068454997537
"4x32",0.149749279877584,0.0407498518725549,0.633342909330731,0.146815617303157
"4x33",0.148802155404592,0.213065906613011,0.508629661064734,0.039508580831396
"4x34",0.0566624723619821,0.0722494653637626,0.738574959263192,0.0665416787685606
"4x35",0.0636539542704787,0.0878744809005589,0.787196956031983,0.0514664894267063
"4x36",0.162021741865406,0.0781107140314191,0.751652274916528,0.0626391591663833
"4x37",0.136694548943819,0.268936696432501,0.482607218948451,0.0921009054451833
"4x38",0.0684166666338485,0.256541779029406,0.442224042331212,0.0618504135170655
"4x39",0.0441328754532495,0.09826339551907,0.736205843724532,0.0533931200051407
"4x40",0.0322119940689761,0.219611181273038,0.634028576813096,0.0759043694285046
"4x41",0.0483386275341482,0.328225306464081,0.462534335520222,0.0720206104756149
"4x42",0.160958539698388,0.0553540561593844,0.616606812104128,0.0983216915253855
"4x43",0.0633586598518958,0.0552077949074986,0.843018188369145,0.0505228660829978
