"","cell_ID","Cancer","Ductal","Stroma"
"1780","35x29",0,1,0
"1781","35x30",0,1,0
"1782","35x31",0,1,0
"1783","35x32",0,1,0
"1784","35x33",0,1,0
"1785","35x34",0,1,0
"1786","35x35",0,1,0
"1787","35x36",0,1,0
"1788","35x37",0,1,0
"1789","35x38",0,1,0
"1790","35x39",0,1,0
"1791","35x40",0.120113878144906,0.879886121855094,0
"1792","35x41",0,1,0
"1793","35x42",0,1,0
"1794","35x43",0,1,0
"1795","35x44",0.126034387352938,0.715486619249368,0.158478993397694
"1796","35x45",0,0.841976878735691,0.158023121264309
"1797","35x46",0,0.755678663761641,0.244321336238359
"1798","35x47",0,0.721014732421615,0.278985267578385
"1799","35x48",0.13156655537493,0.73429343299667,0.134140011628401
"1800","35x49",0,0.608459039689479,0.391540960310521
"1801","36x0",0.257887221805347,0.468763694948208,0.273349083246445
"1802","36x1",0.142714125432954,0.639431772395737,0.217854102171309
"1803","36x2",0.45943216842387,0.54056783157613,0
"1804","36x3",0.149594134263068,0.442108057129816,0.408297808607117
"1805","36x4",0.270067380088367,0.444866318579072,0.285066301332562
"1806","36x5",0,0.632682517620518,0.367317482379482
"1807","36x6",0.179196517333904,0.578930931579312,0.241872551086784
"1808","36x7",0.212155181709537,0.46414788474979,0.323696933540674
"1809","36x8",0,0.667849224109478,0.332150775890522
"1810","36x9",0.248453725160758,0.428090899294811,0.323455375544431
"1811","36x10",0,0.767603914737504,0.232396085262496
"1812","36x11",0,0.785940242429535,0.214059757570465
"1813","36x12",0.105246796750573,0.653806719504238,0.240946483745189
"1814","36x13",0,0.831492016014144,0.168507983985856
"1815","36x14",0,1,0
"1816","36x15",0.201755462121387,0.567448476378168,0.230796061500445
"1817","36x16",0,0.733977801754409,0.266022198245591
"1818","36x17",0.111426570504246,0.888573429495754,0
"1819","36x18",0,1,0
"1820","36x19",0,1,0
"1821","36x20",0,1,0
"1822","36x21",0,1,0
"1823","36x22",0,1,0
"1824","36x23",0,1,0
"1825","36x24",0,1,0
"1826","36x25",0,1,0
"1827","36x26",0,1,0
"1828","36x27",0,1,0
"1829","36x28",0.148171752497826,0.851828247502174,0
"1830","36x29",0.140812624954877,0.859187375045123,0
"1831","36x30",0,1,0
"1832","36x31",0,1,0
"1833","36x32",0,1,0
"1834","36x33",0,1,0
"1835","36x34",0,1,0
"1836","36x35",0,1,0
"1837","36x36",0,1,0
"1838","36x37",0,1,0
"1839","36x38",0,1,0
"1840","36x39",0.114186554732837,0.885813445267162,0
"1841","36x40",0,1,0
"1842","36x41",0,1,0
"1843","36x42",0,1,0
"1844","36x43",0,0.744807504247726,0.255192495752274
"1845","36x44",0.113438990387866,0.75274907307033,0.133811936541803
"1846","36x45",0.114840850664524,0.501740438043054,0.383418711292423
"1847","36x46",0.102420288624315,0.655146700614767,0.242433010760918
"1848","36x47",0.119363587422212,0.617058685964914,0.263577726612874
"1849","36x48",0,0.879311955386454,0.120688044613546
"1850","36x49",0.224193454078084,0.597265960828247,0.178540585093669
"1851","37x0",0.256326443773739,0.544560806779874,0.199112749446387
"1852","37x1",0.289991994488085,0.443910789919126,0.266097215592788
"1853","37x2",0.107896225610626,0.683928825408787,0.208174948980587
"1854","37x3",0.121208598450939,0.672760063039237,0.206031338509824
"1855","37x4",0.12941084738385,0.738648246211346,0.131940906404804
"1856","37x5",0.310645258517609,0.28374183198067,0.405612909501722
"1857","37x6",0.180674495508675,0.546389256053713,0.272936248437611
"1858","37x7",0.255804661675404,0.456190455523268,0.288004882801328
"1859","37x8",0.106299539213586,0.619178589178843,0.274521871607571
"1860","37x9",0,0.676951090807804,0.323048909192196
"1861","37x10",0.275485966612138,0.376243228000962,0.348270805386901
"1862","37x11",0.108728126425307,0.64862626085054,0.242645612724154
"1863","37x12",0.290038084968724,0.547661880278892,0.162300034752384
