"","cell_ID","Ductal","Cancer","Stroma"
"101","2x0",0,0.897555948174368,0.102444051825632
"102","2x1",0,0.79886462456319,0.20113537543681
"103","2x2",0,1,0
"104","2x3",0,1,0
"105","2x4",0.156422968838704,0.843577031161296,0
"106","2x5",0.116499507008729,0.638520830158717,0.244979662832554
"107","2x6",0,0.383287175231641,0.616712824768359
"108","2x7",0,1,0
"109","2x8",0,1,0
"110","2x9",0,1,0
"111","2x10",0,1,0
"112","2x11",0,1,0
"113","2x12",0,1,0
"114","2x13",0,0.138044188939631,0.861955811060369
"115","2x14",0,1,0
"116","2x15",0,1,0
"117","2x16",0,0.576287365602552,0.423712634397448
"118","2x17",0,1,0
"119","2x18",0,0.688845991915136,0.311154008084864
"120","2x19",0.321229633362372,0.461400328506961,0.217370038130667
"121","2x20",0,0.747382614869042,0.252617385130958
"122","2x21",0.179489828637612,0.511537581026304,0.308972590336084
"123","2x22",0.193120832849258,0.587153709315995,0.219725457834746
"124","2x23",0,0.534399748493298,0.465600251506702
"125","2x24",0,0.701083614139285,0.298916385860715
"126","2x25",0.166532852198889,0.410146272845433,0.423320874955678
"127","2x26",0.144311579997478,0.531671798029428,0.324016621973094
"128","2x27",0,0.525297500677075,0.474702499322925
"129","2x28",0,0.286778381042522,0.713221618957478
"130","2x29",0.3977151546891,0.6022848453109,0
"131","2x30",0.304462411445741,0.292437439619271,0.403100148934988
"132","2x31",0,0.36310837968117,0.63689162031883
"133","2x32",0.361704462943808,0.195859254357222,0.44243628269897
"134","2x33",0.142925834742346,0.33086099535373,0.526213169903924
"135","2x34",0.150017284111388,0.453017762368091,0.396964953520521
"136","2x35",0,0.603630795759402,0.396369204240598
"137","2x36",0,0.276519775065997,0.723480224934003
"138","2x37",0.500400629096209,0.190490673167989,0.309108697735803
"139","2x38",0.192710787650256,0.160148403094732,0.647140809255011
"140","2x39",0.334549489268518,0.163913812500702,0.50153669823078
"141","2x40",0.17564823623971,0.188178373427506,0.636173390332784
"142","2x41",0.438802911309452,0.120760417482676,0.440436671207872
"143","2x42",0.253612886081366,0.213425571260928,0.532961542657706
"144","2x43",0.194402685675505,0,0.805597314324495
"145","2x44",0.514014612083761,0,0.485985387916239
"146","2x45",0.282898655942057,0.230245051314499,0.486856292743444
"147","2x46",0.126335370628803,0.159430046150927,0.71423458322027
"148","2x47",0.203303927305018,0,0.796696072694982
"149","2x48",0.350349024077513,0.160124486390961,0.489526489531527
"150","2x49",0.446441419457312,0,0.553558580542688
"151","3x0",0,1,0
"152","3x1",0,1,0
"153","3x2",0,1,0
"154","3x3",0,1,0
"155","3x4",0,1,0
"156","3x5",0,1,0
"157","3x6",0,1,0
"158","3x7",0,1,0
"159","3x8",0,0.370877072729624,0.629122927270376
"160","3x9",0,1,0
"161","3x10",0,1,0
"162","3x11",0,1,0
"163","3x12",0,1,0
"164","3x13",0,1,0
"165","3x14",0,0.577136080028809,0.422863919971191
"166","3x15",0,1,0
"167","3x16",0,0.803951258013765,0.196048741986235
"168","3x17",0,1,0
"169","3x18",0,1,0
"170","3x19",0,0.881169673285112,0.118830326714888
"171","3x20",0,0.695339132289886,0.304660867710114
"172","3x21",0.162776755983019,0.409296679287293,0.427926564729688
"173","3x22",0,0.797600342283893,0.202399657716107
"174","3x23",0,0.808109354601645,0.191890645398355
"175","3x24",0.13533713566213,0.422314601608687,0.442348262729184
"176","3x25",0.182317119339391,0.20709019662479,0.610592684035819
"177","3x26",0.177231021070601,0.277863958073525,0.544905020855874
"178","3x27",0.128713959308847,0.538039085031709,0.333246955659444
"179","3x28",0.398229158987941,0.275371054791993,0.326399786220066
"180","3x29",0,0.542029215462699,0.457970784537301
"181","3x30",0.187248197656105,0.16614770111457,0.646604101229326
"182","3x31",0,0.343597985242578,0.656402014757422
"183","3x32",0,0.532315087755924,0.467684912244076
"184","3x33",0,0.357122613199503,0.642877386800497
"185","3x34",0.10684258914959,0.144108637275754,0.749048773574656
"186","3x35",0.274124515699438,0,0.725875484300562
"187","3x36",0,0.439145992414896,0.560854007585104
"188","3x37",0.206708410989317,0.20031962313759,0.592971965873093
"189","3x38",0.208232035071307,0.277334188136607,0.514433776792086
"190","3x39",0.100781770123505,0.189394663535264,0.709823566341231
