,in_tissue,array_row,array_col,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_200_genes,pct_counts_in_top_500_genes,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,region_ind,E,M,S,B cells memory,B cells naive,Dendritic cells activated,Dendritic cells resting,Eosinophils,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells activated,Mast cells resting,Monocytes,Neutrophils,NK cells activated,NK cells resting,Plasma cells,T cells CD4 memory activated,T cells CD4 memory resting,T cells regulatory (Tregs),T cells CD4 naive,T cells CD8,T cells follicular helper,T cells gamma delta,MixtureType
39x67,1,67,39,7341,8.90136656405678,55787.0,10.929314,27.212433004104895,40.176026672880774,49.23548496961658,60.711276820764695,243.0,5.497168,0.43558535,55787.0,0,0.005168289307348864,0.9943975043388872,0.00043420635376404656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
71x77,1,77,71,1593,7.374001859350161,3164.0,8.059908,24.209860935524652,36.441213653603036,47.78761061946903,65.4551201011378,51.0,3.9512436,1.6118838,3164.0,isolated,0.0004341822774406716,0.682388634491375,0.3171771832311844,0.0,0.4,0.0,3.9,0.0,0.0,1.3,5.4,0.0,1.1,0.0,3.0,2.9,0.0,2.0,0.0,0.0,0.1,9.6,1.6,0.4,0.0,MS Mixture
56x28,1,28,56,2605,7.8655717576847906,7286.0,8.893847,27.916552292066974,41.806203678287126,52.14109250617622,65.66017018940433,156.0,5.056246,2.1410925,7286.0,1,0.0003755346616370504,0.960805772569456,0.03881869276890694,0.0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,1.9,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.2,0.0,Pure Mes.
57x53,1,53,57,7408,8.910450756416656,64052.0,11.067466,28.611128458127773,42.40929244988447,52.363704490101796,63.86998064072941,257.0,5.5529594,0.40123647,64052.0,0,0.009807269713684385,0.989869984919962,0.0003227453663535833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
6x28,1,28,6,1226,7.112327444710911,2107.0,7.653495,23.065970574276225,33.93450403417181,45.752254390128144,65.54342667299477,52.0,3.9702919,2.467964,2107.0,1,0.0002057916749623109,0.00027092806436935536,0.9995232802606683,0.0,12.2,0.4,11.5,0.0,0.0,1.2,1.1,9.1,0.0,0.0,7.7,0.0,4.1,21.4,0.0,17.2,2.8,0.0,10.9,0.0,0.3,Stroma
40x38,1,38,40,1439,7.272398392570047,2841.0,7.9522634,25.69517775431186,37.02921506511792,48.96163322773671,66.94825765575501,59.0,4.0943446,2.0767336,2841.0,1,0.00022428599332448228,0.2758256763255486,0.723950037681127,3.2,3.8,3.5,0.0,2.0,0.3,0.0,9.6,0.0,3.6,0.0,6.6,3.7,0.0,0.2,8.9,0.0,0.0,14.0,13.0,0.0,0.0,Stroma
28x44,1,44,28,1268,7.1459844677143876,2417.0,7.790696,27.55482002482416,39.718659495242036,51.34464211832851,68.22507240380638,75.0,4.3307333,3.1030202,2417.0,1,0.008242807921447385,0.5329738366160612,0.4587833554624913,0.0,5.4,0.4,0.0,0.0,7.3,2.2,8.2,4.0,2.4,0.0,5.4,0.0,1.0,2.7,0.1,0.0,2.7,0.0,1.9,0.0,2.1,MS Mixture
3x67,1,67,3,5049,8.527143522269405,18902.0,9.847075,23.336154904242935,34.44609036080838,44.21754311713046,56.602475928473176,580.0,6.364751,3.0684583,18902.0,0,0.0005608484690112868,0.9143257016503268,0.08511344988066188,0.3,0.0,0.5,0.0,1.0,0.2,0.3,0.0,0.0,0.7,2.0,0.0,0.6,0.0,0.5,0.1,0.0,0.1,1.5,0.4,0.4,0.1,Pure Mes.
44x34,1,34,44,4798,8.476162841858246,17256.0,9.755973,20.29439035697728,30.319888734353267,41.4522484932777,56.0326842837274,262.0,5.572154,1.5183125,17256.0,isolated,0.8748073571492787,0.0001047985543443822,0.12508784429637698,4.3,0.0,0.0,3.7,0.0,0.1,0.4,0.0,0.7,0.0,0.0,0.4,0.0,1.3,0.1,0.0,1.3,0.0,0.0,0.1,0.0,0.0,ES Mixture
74x30,1,30,74,6260,8.74209519574531,34483.0,10.448251,25.743119798161413,38.27393208247542,47.913464605747755,60.01217991474059,466.0,6.1463294,1.3513905,34483.0,0,0.011021374562526009,0.9885900855226911,0.00038853991478286656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
