,r,reference,method
17x12,0.9999764154737818,Internal,stereoscope
17x13,1.0,Internal,stereoscope
17x14,0.9999795689124856,Internal,stereoscope
17x15,1.0,Internal,stereoscope
18x4,0.999998359220248,Internal,stereoscope
18x5,0.997797455373209,Internal,stereoscope
18x6,0.9999742581155618,Internal,stereoscope
18x7,1.0,Internal,stereoscope
18x8,1.0,Internal,stereoscope
18x9,0.9999154290631109,Internal,stereoscope
18x10,0.9999860445735842,Internal,stereoscope
18x11,0.9994544047890038,Internal,stereoscope
18x12,0.9991615175472798,Internal,stereoscope
18x13,1.0,Internal,stereoscope
18x14,1.0,Internal,stereoscope
19x10,1.0,Internal,stereoscope
19x12,0.999172551939015,Internal,stereoscope
20x6,0.9999993021212013,Internal,stereoscope
0x8,0.2485577986659322,External,stereoscope
0x10,-0.07496722392913627,External,stereoscope
0x14,0.2597313048932427,External,stereoscope
1x6,0.4408953309754575,External,stereoscope
1x7,0.2900456405991963,External,stereoscope
1x9,0.5036515623443474,External,stereoscope
1x10,0.9553513358546327,External,stereoscope
2x3,0.30764332336826106,External,stereoscope
2x6,-0.8837501424945011,External,stereoscope
2x7,0.22151186753071536,External,stereoscope
2x8,0.3980878709404098,External,stereoscope
2x9,0.2533030480048367,External,stereoscope
2x10,0.5284656900750971,External,stereoscope
2x11,0.2656645597232471,External,stereoscope
2x12,0.5983330048794326,External,stereoscope
2x13,0.9563339495532659,External,stereoscope
2x14,0.3249256888427598,External,stereoscope
2x15,0.43523335388598505,External,stereoscope
3x4,0.410976033567244,External,stereoscope
3x5,0.23110139390223,External,stereoscope
3x6,0.37722603297086166,External,stereoscope
3x7,0.4318195561445326,External,stereoscope
3x8,0.6283319622822193,External,stereoscope
3x9,0.2396287364976476,External,stereoscope
3x10,0.680561737555933,External,stereoscope
3x11,0.46212708667451896,External,stereoscope
3x12,0.17650745253991423,External,stereoscope
3x13,0.26038002322010856,External,stereoscope
3x14,-0.4797577883044756,External,stereoscope
3x15,0.3178834597404826,External,stereoscope
3x17,0.256608862797377,External,stereoscope
4x4,0.3906503937106589,External,stereoscope
4x5,0.42550582835546075,External,stereoscope
4x6,0.3952964494666963,External,stereoscope
4x7,0.4673392068776093,External,stereoscope
4x8,0.48322916529747373,External,stereoscope
4x9,0.27327045034614683,External,stereoscope
4x10,0.2539660402458027,External,stereoscope
4x11,0.4129519881835284,External,stereoscope
4x12,0.17377389637313012,External,stereoscope
4x13,0.502471686710291,External,stereoscope
4x14,0.24240233812012923,External,stereoscope
4x15,0.22725099563848772,External,stereoscope
4x16,0.49772806984282847,External,stereoscope
5x2,0.11762029000908014,External,stereoscope
5x3,0.4950022170001346,External,stereoscope
5x4,0.4526190870601054,External,stereoscope
5x5,0.6850200673064124,External,stereoscope
5x6,-0.37683016825466736,External,stereoscope
5x7,0.6915530985464442,External,stereoscope
5x8,0.2064891292625347,External,stereoscope
5x9,0.6231273871071179,External,stereoscope
5x10,0.5943111535472207,External,stereoscope
5x11,0.4536365831435658,External,stereoscope
5x12,0.7121754202570891,External,stereoscope
5x13,0.31609336241610386,External,stereoscope
5x14,0.5523070213752013,External,stereoscope
5x15,0.6973058486251019,External,stereoscope
5x16,0.6739478569616213,External,stereoscope
5x17,0.3793007233081453,External,stereoscope
6x2,0.28211738437432576,External,stereoscope
6x3,0.6555931776012232,External,stereoscope
6x4,0.4396656304550872,External,stereoscope
6x5,0.5374526457036932,External,stereoscope
6x6,-0.3605069649931939,External,stereoscope
6x7,-0.5935599489469991,External,stereoscope
6x8,0.25079777452704527,External,stereoscope
6x9,0.26523325529585023,External,stereoscope
6x10,0.3805469252531437,External,stereoscope
6x11,0.4661410742216888,External,stereoscope
6x12,0.7453548849143374,External,stereoscope
6x13,0.5110315091440859,External,stereoscope
6x14,-0.9985862424480325,External,stereoscope
6x15,0.29892370035149146,External,stereoscope
6x16,0.6259159642839128,External,stereoscope
6x17,0.28306360714817413,External,stereoscope
6x18,0.26777140138711086,External,stereoscope
6x19,0.39373369110111023,External,stereoscope
7x2,0.5615283276875322,External,stereoscope
7x3,0.8091675218830823,External,stereoscope
7x4,-0.17131039238637197,External,stereoscope
7x5,0.5699868087677541,External,stereoscope
7x6,0.5510428680185554,External,stereoscope
7x7,0.3246439225537217,External,stereoscope
7x8,0.34258672912708654,External,stereoscope
7x9,0.30954952326335794,External,stereoscope
7x10,0.4570682518161585,External,stereoscope
7x11,0.1868883794937493,External,stereoscope
7x12,-0.5021684481151868,External,stereoscope
7x13,0.4045722431270271,External,stereoscope
7x14,0.5190138915966723,External,stereoscope
7x15,0.5295136162313245,External,stereoscope
7x16,0.16065674545664274,External,stereoscope
7x17,0.18930327942221337,External,stereoscope
7x18,0.34112548230358275,External,stereoscope
8x0,0.6870474946229903,External,stereoscope
8x2,0.4799891375227135,External,stereoscope
8x3,0.16838243856305968,External,stereoscope
8x4,0.23031152913227407,External,stereoscope
8x5,0.2981462956122814,External,stereoscope
8x6,0.4292288574884429,External,stereoscope
8x7,0.4565543966574631,External,stereoscope
8x8,0.5966991129868013,External,stereoscope
8x9,0.16970411283827397,External,stereoscope
8x10,0.5295963705503515,External,stereoscope
8x11,0.48496640145574715,External,stereoscope
8x12,0.41152602742780015,External,stereoscope
8x13,0.5109714891884722,External,stereoscope
8x14,0.5961565256296284,External,stereoscope
8x15,0.2963610793795668,External,stereoscope
8x16,0.26237455683216326,External,stereoscope
8x17,0.6786010526867174,External,stereoscope
8x18,0.127347217912393,External,stereoscope
9x2,0.4483937158890155,External,stereoscope
9x3,0.31331827598705475,External,stereoscope
9x4,0.3408117745128636,External,stereoscope
9x5,0.5545477640390426,External,stereoscope
9x6,0.6608256629103679,External,stereoscope
9x7,0.5575012116383613,External,stereoscope
9x8,0.5669082334661223,External,stereoscope
9x9,0.6022160486427466,External,stereoscope
9x10,0.4863763383970357,External,stereoscope
9x11,0.40606492105195846,External,stereoscope
9x12,0.2669314050972841,External,stereoscope
9x13,0.842022397565168,External,stereoscope
9x14,0.4394844201615151,External,stereoscope
9x15,0.34034351754262293,External,stereoscope
9x16,-0.6365284218235857,External,stereoscope
9x17,0.33018544833543934,External,stereoscope
9x18,0.42821472385499776,External,stereoscope
10x1,0.2642430076061476,External,stereoscope
10x2,0.27828621705071943,External,stereoscope
10x3,0.47501055411210963,External,stereoscope
10x4,0.5424490546312919,External,stereoscope
10x5,0.6160402330860595,External,stereoscope
10x6,0.4634012468955022,External,stereoscope
10x7,0.5879775193711408,External,stereoscope
10x8,0.15571137479751218,External,stereoscope
10x9,0.46315232654209054,External,stereoscope
10x10,0.6650900170599354,External,stereoscope
10x11,0.3999328510713691,External,stereoscope
10x12,0.5523878192685039,External,stereoscope
10x13,0.46010340131768346,External,stereoscope
10x14,0.5218138003712727,External,stereoscope
10x15,0.24440865460785582,External,stereoscope
10x16,0.4864705061127176,External,stereoscope
10x17,0.4745621659461122,External,stereoscope
10x18,0.44610937774669207,External,stereoscope
10x19,0.4041636114881204,External,stereoscope
11x2,0.2559284244914836,External,stereoscope
11x3,0.17259793899197423,External,stereoscope
11x4,0.4435796868212619,External,stereoscope
11x5,0.5235415030485563,External,stereoscope
11x6,0.5516087405660623,External,stereoscope
11x7,0.06260316522418813,External,stereoscope
11x8,0.3677811288332234,External,stereoscope
11x9,0.4573318715122807,External,stereoscope
11x10,0.4034103031161142,External,stereoscope
11x11,0.5668007542846365,External,stereoscope
11x12,0.5274213723990697,External,stereoscope
11x13,0.4638668533610253,External,stereoscope
11x14,0.27779276598043123,External,stereoscope
11x15,0.5948856433981682,External,stereoscope
11x16,0.49972146601509404,External,stereoscope
11x17,0.3010258324005407,External,stereoscope
11x18,0.577681632737838,External,stereoscope
12x2,0.5509526255051056,External,stereoscope
12x3,0.6308446027089665,External,stereoscope
12x4,0.5937194193977698,External,stereoscope
12x5,0.42144117801642916,External,stereoscope
12x6,0.22830950683888637,External,stereoscope
12x7,-0.9463555321541248,External,stereoscope
12x8,0.28148052070130347,External,stereoscope
12x9,0.6527290136367025,External,stereoscope
12x10,0.5041603994444477,External,stereoscope
12x11,0.14831479137318404,External,stereoscope
12x12,0.4511909521987245,External,stereoscope
12x13,0.6975565740406369,External,stereoscope
12x14,0.5366986899793452,External,stereoscope
12x15,0.7111476060843589,External,stereoscope
12x16,0.6053135570084445,External,stereoscope
12x17,0.37704253239953667,External,stereoscope
12x18,0.3187297137681653,External,stereoscope
13x1,0.306863473595391,External,stereoscope
13x2,0.2281718891784204,External,stereoscope
13x3,0.49737072299606844,External,stereoscope
13x4,0.31553270616867585,External,stereoscope
13x5,0.5672007785683616,External,stereoscope
13x6,0.53532389296479,External,stereoscope
13x7,0.4334632046190623,External,stereoscope
13x8,0.6225251172112996,External,stereoscope
13x9,0.3978653322378906,External,stereoscope
13x10,0.5167616054274552,External,stereoscope
13x11,0.41673265164341455,External,stereoscope
13x12,0.5416640694735985,External,stereoscope
13x13,0.6967795757330353,External,stereoscope
13x14,0.4106804096622368,External,stereoscope
13x15,0.35262196903925347,External,stereoscope
13x16,0.2503384181661908,External,stereoscope
13x17,0.4721394901984368,External,stereoscope
13x18,0.1754122576600228,External,stereoscope
14x2,0.36794643090440926,External,stereoscope
14x3,0.49150212720060893,External,stereoscope
14x4,0.03464513111451034,External,stereoscope
14x5,0.37001414863332577,External,stereoscope
14x6,0.3814193274244425,External,stereoscope
14x7,0.41659700707130903,External,stereoscope
14x8,0.4243379329916441,External,stereoscope
14x9,0.5618058425766577,External,stereoscope
14x10,0.3952542246354902,External,stereoscope
14x11,0.5477833176518034,External,stereoscope
14x12,0.2511733354218898,External,stereoscope
14x13,0.26669154480201157,External,stereoscope
14x14,0.20732557470696703,External,stereoscope
14x15,0.2648555287352056,External,stereoscope
14x16,0.8004154283037925,External,stereoscope
14x17,0.3518746569445821,External,stereoscope
14x18,0.438042369531182,External,stereoscope
15x3,0.328589222217496,External,stereoscope
15x4,0.08508143543893473,External,stereoscope
15x5,0.6986220669826553,External,stereoscope
15x6,0.4405068495967257,External,stereoscope
15x7,0.34488705146327214,External,stereoscope
15x8,0.5630135747911169,External,stereoscope
15x9,0.4849627796804088,External,stereoscope
15x10,0.48399714183843484,External,stereoscope
15x11,0.5471699931434246,External,stereoscope
15x12,0.36948656331758395,External,stereoscope
15x13,0.5174567593132178,External,stereoscope
15x14,0.22849367972586548,External,stereoscope
15x15,0.9781498541910922,External,stereoscope
15x16,0.45302481952153584,External,stereoscope
15x17,0.38958463957895917,External,stereoscope
16x4,0.4882906844193379,External,stereoscope
16x5,0.503720793446363,External,stereoscope
16x6,0.425321942022951,External,stereoscope
16x7,0.526956656742851,External,stereoscope
16x8,0.27094719202857526,External,stereoscope
16x9,0.45471414212289996,External,stereoscope
16x10,0.10130802560805818,External,stereoscope
16x11,-0.06371799280752238,External,stereoscope
16x12,0.22598286076897678,External,stereoscope
16x13,0.3102884304425148,External,stereoscope
16x14,0.4055029148953432,External,stereoscope
16x15,0.5125368564816594,External,stereoscope
16x16,-0.12969066860773462,External,stereoscope
17x3,0.4625697024238203,External,stereoscope
17x5,-0.4104143472590578,External,stereoscope
17x6,0.4474822467355979,External,stereoscope
17x7,0.48522706965021356,External,stereoscope
17x8,0.528536758043377,External,stereoscope
17x9,0.4762014802289069,External,stereoscope
17x10,0.23181497981643148,External,stereoscope
17x11,0.5068476906843536,External,stereoscope
17x12,0.2655191297865721,External,stereoscope
17x13,0.5564959260284081,External,stereoscope
17x14,0.6349620985198645,External,stereoscope
17x15,0.4049478051683359,External,stereoscope
18x4,0.6685469597007065,External,stereoscope
18x5,0.1316741150094955,External,stereoscope
18x6,0.5343191174382258,External,stereoscope
18x7,0.6656610884926986,External,stereoscope
18x8,0.49218296282579055,External,stereoscope
18x9,0.230277417960029,External,stereoscope
18x10,0.4281463134855761,External,stereoscope
18x11,0.5367267296585169,External,stereoscope
18x12,0.2235162412486917,External,stereoscope
18x13,0.5923897730512859,External,stereoscope
18x14,0.6370905206853006,External,stereoscope
19x10,0.47124375343837677,External,stereoscope
19x12,0.14783964055348248,External,stereoscope
20x6,0.4223502535209258,External,stereoscope
0x8,1.0,ReSort,stereoscope
0x10,0.9898115048568373,ReSort,stereoscope
0x14,0.9981378995556107,ReSort,stereoscope
1x6,1.0,ReSort,stereoscope
1x7,1.0,ReSort,stereoscope
1x9,1.0,ReSort,stereoscope
1x10,0.9932746077702718,ReSort,stereoscope
2x3,1.0,ReSort,stereoscope
2x6,0.7826878941593204,ReSort,stereoscope
2x7,1.0,ReSort,stereoscope
2x8,0.9999663338786676,ReSort,stereoscope
2x9,1.0,ReSort,stereoscope
2x10,0.9999796880575141,ReSort,stereoscope
2x11,0.9999895671455912,ReSort,stereoscope
2x12,1.0,ReSort,stereoscope
2x13,0.9954119676513495,ReSort,stereoscope
2x14,1.0,ReSort,stereoscope
2x15,1.0,ReSort,stereoscope
3x4,1.0,ReSort,stereoscope
3x5,1.0,ReSort,stereoscope
3x6,1.0,ReSort,stereoscope
3x7,1.0,ReSort,stereoscope
3x8,0.9688359719051092,ReSort,stereoscope
3x9,0.9972857060581974,ReSort,stereoscope
3x10,1.0,ReSort,stereoscope
3x11,1.0,ReSort,stereoscope
3x12,0.9971470035752306,ReSort,stereoscope
3x13,0.9997073419423603,ReSort,stereoscope
3x14,0.9491477767359576,ReSort,stereoscope
3x15,1.0,ReSort,stereoscope
3x17,1.0,ReSort,stereoscope
4x4,1.0,ReSort,stereoscope
4x5,1.0,ReSort,stereoscope
4x6,1.0,ReSort,stereoscope
4x7,1.0,ReSort,stereoscope
4x8,1.0,ReSort,stereoscope
4x9,1.0,ReSort,stereoscope
4x10,1.0,ReSort,stereoscope
4x11,0.9999960675765256,ReSort,stereoscope
4x12,0.9999613387597686,ReSort,stereoscope
4x13,1.0,ReSort,stereoscope
4x14,1.0,ReSort,stereoscope
4x15,1.0,ReSort,stereoscope
4x16,1.0,ReSort,stereoscope
5x2,1.0,ReSort,stereoscope
5x3,1.0,ReSort,stereoscope
5x4,0.9982242436669779,ReSort,stereoscope
5x5,1.0,ReSort,stereoscope
5x6,0.9962779818103827,ReSort,stereoscope
5x7,1.0,ReSort,stereoscope
5x8,1.0,ReSort,stereoscope
5x9,1.0,ReSort,stereoscope
5x10,1.0,ReSort,stereoscope
5x11,1.0,ReSort,stereoscope
5x12,1.0,ReSort,stereoscope
5x13,0.9999917671749156,ReSort,stereoscope
5x14,1.0,ReSort,stereoscope
5x15,1.0,ReSort,stereoscope
5x16,1.0,ReSort,stereoscope
5x17,0.999847795879183,ReSort,stereoscope
6x2,1.0,ReSort,stereoscope
6x3,1.0,ReSort,stereoscope
6x4,1.0,ReSort,stereoscope
6x5,1.0,ReSort,stereoscope
6x6,0.9982084782306864,ReSort,stereoscope
6x7,0.7724615845683686,ReSort,stereoscope
6x8,1.0,ReSort,stereoscope
6x9,1.0,ReSort,stereoscope
6x10,1.0,ReSort,stereoscope
6x11,1.0,ReSort,stereoscope
6x12,0.9999875580110901,ReSort,stereoscope
6x13,1.0,ReSort,stereoscope
6x14,0.9160280645397122,ReSort,stereoscope
6x15,1.0,ReSort,stereoscope
6x16,1.0,ReSort,stereoscope
6x17,1.0,ReSort,stereoscope
6x18,0.9982680118096345,ReSort,stereoscope
6x19,0.9999999999999999,ReSort,stereoscope
7x2,1.0,ReSort,stereoscope
7x3,0.9988021078301383,ReSort,stereoscope
7x4,0.5099439729221117,ReSort,stereoscope
7x5,1.0,ReSort,stereoscope
7x6,1.0,ReSort,stereoscope
7x7,1.0,ReSort,stereoscope
7x8,1.0,ReSort,stereoscope
7x9,1.0,ReSort,stereoscope
7x10,1.0,ReSort,stereoscope
7x11,1.0,ReSort,stereoscope
7x12,0.7569019991050734,ReSort,stereoscope
7x13,1.0,ReSort,stereoscope
7x14,1.0,ReSort,stereoscope
7x15,1.0,ReSort,stereoscope
7x16,1.0,ReSort,stereoscope
7x17,1.0,ReSort,stereoscope
7x18,1.0,ReSort,stereoscope
8x0,0.9999990796878364,ReSort,stereoscope
8x2,1.0,ReSort,stereoscope
8x3,1.0,ReSort,stereoscope
8x4,1.0,ReSort,stereoscope
8x5,1.0,ReSort,stereoscope
8x6,1.0,ReSort,stereoscope
8x7,1.0,ReSort,stereoscope
8x8,1.0,ReSort,stereoscope
8x9,0.9999986740227012,ReSort,stereoscope
8x10,1.0,ReSort,stereoscope
8x11,1.0,ReSort,stereoscope
8x12,1.0,ReSort,stereoscope
8x13,1.0,ReSort,stereoscope
8x14,0.9992634883685365,ReSort,stereoscope
8x15,1.0,ReSort,stereoscope
8x16,0.9161845706365093,ReSort,stereoscope
8x17,1.0,ReSort,stereoscope
8x18,0.9999999920194189,ReSort,stereoscope
9x2,0.9999999589396416,ReSort,stereoscope
9x3,0.9997364382018703,ReSort,stereoscope
9x4,0.9991032652360807,ReSort,stereoscope
9x5,0.9999981769734893,ReSort,stereoscope
9x6,1.0,ReSort,stereoscope
9x7,1.0,ReSort,stereoscope
9x8,0.9992922730011462,ReSort,stereoscope
9x9,0.999731394977599,ReSort,stereoscope
9x10,1.0,ReSort,stereoscope
