,r,reference,method
5x31,0.9964788838129498,Internal,stereoscope
5x32,0.10329353384029241,Internal,stereoscope
5x33,0.3280906490237354,Internal,stereoscope
5x34,0.9991434747964325,Internal,stereoscope
5x35,0.9750404179799239,Internal,stereoscope
5x36,0.5833763229951342,Internal,stereoscope
5x37,0.986050804375521,Internal,stereoscope
5x38,0.9999605072249946,Internal,stereoscope
5x39,0.9872254523755428,Internal,stereoscope
5x40,0.8515194155540742,Internal,stereoscope
5x41,0.905910670125573,Internal,stereoscope
5x42,0.9664525512632682,Internal,stereoscope
5x43,0.9583689412420879,Internal,stereoscope
5x44,0.9652413079580907,Internal,stereoscope
5x45,0.8449737734574768,Internal,stereoscope
5x46,-0.7262165831904359,Internal,stereoscope
5x47,0.25594229023480297,Internal,stereoscope
5x48,0.9997418401212842,Internal,stereoscope
5x49,-0.4108430889406506,Internal,stereoscope
6x0,0.9903195368815778,Internal,stereoscope
6x1,0.9995936051195788,Internal,stereoscope
6x2,1.0,Internal,stereoscope
6x3,0.9999147759578663,Internal,stereoscope
6x4,1.0,Internal,stereoscope
6x5,1.0,Internal,stereoscope
6x6,1.0,Internal,stereoscope
6x7,0.9930287261390995,Internal,stereoscope
6x8,1.0,Internal,stereoscope
6x9,0.9999999895194229,Internal,stereoscope
6x10,0.9999998899133768,Internal,stereoscope
6x11,1.0,Internal,stereoscope
6x12,0.9999918787432617,Internal,stereoscope
6x13,1.0,Internal,stereoscope
6x14,0.9997078330624469,Internal,stereoscope
6x15,1.0,Internal,stereoscope
6x16,0.9999999967145237,Internal,stereoscope
6x17,1.0,Internal,stereoscope
6x18,0.9997768986739728,Internal,stereoscope
6x19,0.9998695163300424,Internal,stereoscope
6x20,0.9984038359842278,Internal,stereoscope
6x21,0.9813836110806327,Internal,stereoscope
6x22,0.9920438034063065,Internal,stereoscope
6x23,0.9995590800601142,Internal,stereoscope
6x24,-0.16342686593267267,Internal,stereoscope
6x25,0.9638426550529526,Internal,stereoscope
6x26,0.9119813100334724,Internal,stereoscope
6x27,0.946699050700444,Internal,stereoscope
6x28,0.652128855299209,Internal,stereoscope
6x29,-0.6432157936413563,Internal,stereoscope
6x30,0.8805257501578422,Internal,stereoscope
6x31,0.45469587108426535,Internal,stereoscope
6x32,0.906475135961232,Internal,stereoscope
6x33,0.9801831528983552,Internal,stereoscope
6x34,0.9936811406583321,Internal,stereoscope
6x35,0.9059085037032453,Internal,stereoscope
6x36,0.9202643034253091,Internal,stereoscope
6x37,0.9740005260147306,Internal,stereoscope
6x38,0.991942877381681,Internal,stereoscope
6x39,0.25803386083434243,Internal,stereoscope
6x40,0.9305670700383969,Internal,stereoscope
6x41,0.9971502018745482,Internal,stereoscope
6x42,0.9447550062994351,Internal,stereoscope
6x43,0.8767943589614753,Internal,stereoscope
6x44,0.30637760294980754,Internal,stereoscope
6x45,0.9512542524801039,Internal,stereoscope
6x46,0.9955386392021722,Internal,stereoscope
6x47,0.9999944734808188,Internal,stereoscope
6x48,0.6307486826561883,Internal,stereoscope
6x49,0.4779016034551233,Internal,stereoscope
7x0,0.9999942916363027,Internal,stereoscope
7x1,0.9963747209844912,Internal,stereoscope
7x2,1.0,Internal,stereoscope
7x3,0.9997848602684021,Internal,stereoscope
7x4,1.0,Internal,stereoscope
7x5,0.9999890524393544,Internal,stereoscope
7x6,1.0,Internal,stereoscope
7x7,0.9999994149848663,Internal,stereoscope
7x8,0.9999969995791341,Internal,stereoscope
7x9,0.9997660678023081,Internal,stereoscope
7x10,0.9999965903481025,Internal,stereoscope
7x11,0.9999997868710647,Internal,stereoscope
7x12,0.9993105092458684,Internal,stereoscope
7x13,1.0,Internal,stereoscope
7x14,1.0,Internal,stereoscope
7x15,1.0,Internal,stereoscope
7x16,0.9999201515131059,Internal,stereoscope
7x17,0.9999601205383755,Internal,stereoscope
7x18,0.9999202342048878,Internal,stereoscope
7x19,0.9828651925698749,Internal,stereoscope
7x20,0.8386873930324154,Internal,stereoscope
7x21,0.9459240626262945,Internal,stereoscope
7x22,0.9463135422585144,Internal,stereoscope
7x23,0.8912507887011791,Internal,stereoscope
7x24,0.8989023296395662,Internal,stereoscope
7x25,0.831768738659352,Internal,stereoscope
7x26,0.9781863852593804,Internal,stereoscope
7x27,0.9399773627092034,Internal,stereoscope
7x28,0.9988500434862939,Internal,stereoscope
7x29,0.9990661136817864,Internal,stereoscope
7x30,0.7071922373003807,Internal,stereoscope
7x31,0.7253512864089514,Internal,stereoscope
7x32,0.9925675827168925,Internal,stereoscope
7x33,0.9218787818429379,Internal,stereoscope
7x34,0.9303096915032449,Internal,stereoscope
7x35,0.9685709440418093,Internal,stereoscope
7x36,0.8289077382234882,Internal,stereoscope
7x37,0.9999915054044165,Internal,stereoscope
7x38,0.862892631506051,Internal,stereoscope
7x39,0.254502330135452,Internal,stereoscope
7x40,0.8397446001964228,Internal,stereoscope
7x41,0.9305899588041069,Internal,stereoscope
7x42,0.8468948135347767,Internal,stereoscope
7x43,-0.9782098052912895,Internal,stereoscope
7x44,0.9203747909675773,Internal,stereoscope
7x45,0.9337287838380804,Internal,stereoscope
7x46,0.9931454849772046,Internal,stereoscope
7x47,0.944167212637507,Internal,stereoscope
7x48,0.12415779883378164,Internal,stereoscope
7x49,-0.9274163989086459,Internal,stereoscope
8x0,0.9997067242944959,Internal,stereoscope
8x1,0.9988809283423455,Internal,stereoscope
8x2,1.0,Internal,stereoscope
8x3,0.9998720762888627,Internal,stereoscope
8x4,1.0,Internal,stereoscope
8x5,0.9998904469148344,Internal,stereoscope
8x6,0.9999900977923624,Internal,stereoscope
8x7,1.0,Internal,stereoscope
8x8,1.0,Internal,stereoscope
8x9,0.9993678071869153,Internal,stereoscope
8x10,0.9998724561176346,Internal,stereoscope
8x11,0.9999984965297187,Internal,stereoscope
8x12,1.0,Internal,stereoscope
8x13,1.0,Internal,stereoscope
8x14,0.9970703875924964,Internal,stereoscope
8x15,1.0,Internal,stereoscope
8x16,1.0,Internal,stereoscope
8x17,1.0,Internal,stereoscope
8x18,0.9999938210752151,Internal,stereoscope
8x19,0.9870226366652519,Internal,stereoscope
8x20,0.9912404046788938,Internal,stereoscope
8x21,0.9803432785089461,Internal,stereoscope
8x22,0.9752754744683917,Internal,stereoscope
8x23,0.9961633429236436,Internal,stereoscope
8x24,0.820375714418981,Internal,stereoscope
