"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"1x10",0.154069631317143,0.159123134471866,0,0.486458268355164,0.15380283078109,0.0465461350747378,1,10
"1x11",0.484989719668637,0.220561797232406,0,0.0133787807580339,0.168261465224989,0.112808237115934,1,11
"1x12",0.367838582643796,0.347228444039404,0,0.0701109495922622,0.188112526938956,0.0267094967855818,1,12
"1x13",0.406034667475576,0.249810454543819,0,0.0635324364174386,0.20387757119975,0.0767448703634165,1,13
"1x14",0.427835746528604,0.264849495156641,0,0.0134124559365469,0.147962253991057,0.145940048387151,1,14
"1x15",0.410189366151644,0.31481204707406,0,0.0143846324726236,0.209250120591104,0.0513638337105677,1,15
"1x16",0.341123309461453,0.234938366034144,0,0.0469704795863448,0.319104288753753,0.0578635561643054,1,16
"1x17",0.341084594184097,0.324278675784751,0,0.0790790028939533,0.227411516347018,0.02814621079018,1,17
"1x18",0.457967815479323,0.225009561700936,0,0.0466822121448908,0.188673920567606,0.0816664901072438,1,18
"1x19",0.373078232788759,0.28686723117081,0,0.0653857937739178,0.141191570094584,0.133477172171928,1,19
"1x20",0.281873149654119,0.257414528753276,0,0.271464862277944,0.16232958687016,0.0269178724445012,1,20
"1x21",0.353009520926699,0.315243783970826,0,0.0111041004457579,0.194483134816186,0.126159459840532,1,21
"1x22",0.267089495044946,0.264878891765306,0,0.158374389131923,0.284529379757273,0.0251278443005521,1,22
"1x23",0.355938833207494,0.201884124047813,0,0.195405522681597,0.223353494218679,0.0234180258444172,1,23
"1x24",0.365864833697871,0.226054426884048,0,0.159116147380657,0.18187506397659,0.0670895280608338,1,24
"1x25",0.262140953832751,0.24301252475302,0,0.299171891644186,0.195674629770042,0,1,25
"1x26",0.301442057254932,0.241592888165566,0,0.0118302811594344,0.0843044066776741,0.360830366742393,1,26
"1x27",0.208020449943928,0.287803733859402,0,0.275292721141116,0.228883095055554,0,1,27
"1x28",0.266394840676563,0.32911255415674,0,0.0941480567398299,0.147585572192263,0.162758976234604,1,28
"1x29",0.141710252437833,0.368787452162811,0,0.062186898070395,0.119782229846441,0.307533167482519,1,29
"1x30",0.224929583612386,0.241008856862095,0,0.2693471318127,0.261682224677173,0.00303220303564484,1,30
"1x31",0.272432539631097,0.21583860169054,0,0.0384059155531614,0.184382541762065,0.288940401363136,1,31
"1x32",0.193924057394292,0.301032665851937,0,0.310489441552711,0.19455383520106,0,1,32
"1x33",0.231061018693583,0.21603364922818,0.135212358423732,0.220741909368478,0.196951064286027,0,1,33
"1x34",0.221996254636783,0.276624112409275,0,0.151042454759275,0.274876327169853,0.0754608510248139,1,34
"1x35",0.173613314916758,0.257043526963432,0,0.336688308541294,0.177065877372749,0.0555889722057673,1,35
"1x36",0.209888687995515,0.254537611380698,0,0.164585764045979,0.229587527130289,0.141400409447519,1,36
