"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"1x2",0.344247464403841,0.203858030317731,0.160769579484521,0.117624564361759,0.09118104695822,0.0823193144739274,1,2
"1x3",0.319079284881525,0.217622550497496,0.165259927758567,0.0879143433344167,0.121805008734407,0.0883188847935887,1,3
"1x4",0.434087776341431,0.221520619706715,0.0434980187040394,0.0882947582489205,0.117307031565765,0.0952917954331294,1,4
"1x5",0.38939326298555,0.226068229823112,0.0454908837908097,0.0864132250394627,0.144512141005787,0.108122257355278,1,5
"1x6",0.392287924301726,0.233471382965861,0.0536046396844743,0.136934063962198,0.119720680490867,0.0639813085948746,1,6
"1x7",0.386229307807296,0.271099751312142,0.0680938992597556,0.0977338496150014,0.1001976578576,0.0766455341482059,1,7
"1x8",0.360548055920623,0.310080876217803,0.0306957258182122,0.115316167636698,0.111990563657852,0.0713686107488125,1,8
"1x9",0.422103895677907,0.237270277240848,0.0428026253353658,0.114634698465975,0.088863655326053,0.0943248479538512,1,9
"1x10",0.127591840875784,0.12126038194995,0.361214910089201,0.101724649091966,0.117642460675681,0.170565757317418,1,10
"1x11",0.368020121445933,0.255389396476222,0.0925674752879213,0.125832889173019,0.0747671703089552,0.0834229473079501,1,11
"1x12",0.286714826455666,0.34580801140824,0.103694466584501,0.0786738090372059,0.0873643686036496,0.0977445179107381,1,12
"1x13",0.370189410402719,0.200734543898871,0.0883274437242107,0.118668136493289,0.109538857098318,0.112541608382592,1,13
"1x14",0.340666725652597,0.261059040604493,0.0465750643884724,0.0957835466097281,0.100643187641462,0.155272435103248,1,14
"1x15",0.350006176966916,0.2957174042951,0.0486263048667483,0.118701251350344,0.0876775089955151,0.0992713535253763,1,15
"1x16",0.308371218801548,0.179489352313117,0.0972016995973179,0.144338443270332,0.184206935568475,0.0863923504492105,1,16
"1x17",0.357868770222081,0.273560509739951,0.0746155770631464,0.127004448806235,0.0947908613272705,0.0721598328413165,1,17
"1x18",0.397572816999045,0.196532978652799,0.110317688913823,0.0955454919716851,0.091274988431052,0.108756035031597,1,18
"1x19",0.367841817038523,0.20657883969185,0.116618845106165,0.0970688897186744,0.101486311433667,0.110405297011121,1,19
"1x20",0.279231646117386,0.202639862249855,0.205976782355264,0.0999754122789882,0.114583535975719,0.097592761022787,1,20
"1x21",0.341779555552887,0.217198626223783,0.0616375666473486,0.122424604382525,0.127956163102363,0.129003484091093,1,21
"1x22",0.255474935971518,0.234285334467231,0.129499041778127,0.129064347514753,0.174990888657955,0.0766854516104158,1,22
"1x23",0.345584552570543,0.12708080203351,0.195311330708637,0.122376465872378,0.0977572346768035,0.111889614138129,1,23
"1x24",0.257011452762185,0.234738519325858,0.164443656300251,0.114979844379671,0.109682630024664,0.119143897207371,1,24
"1x25",0.298608156817415,0.168314699790702,0.242282188031521,0.0705737152012266,0.106546236705953,0.113675003453183,1,25
"1x26",0.255288294615133,0.198276588865162,0.0793783241192213,0.0741953109714955,0.0861463910091414,0.306715090419847,1,26
"1x27",0.20992257253045,0.240198187104585,0.211718245202076,0.110247987600586,0.114610756839358,0.113302250722945,1,27
"1x28",0.23659775491667,0.233617024544173,0.152506948559333,0.120960666360771,0.10428167299664,0.152035932622414,1,28
"1x29",0.189096480458227,0.220853389953143,0.161301800610873,0.107176957212293,0.0973674534271271,0.224203918338338,1,29
"1x30",0.200553682241367,0.135059874760284,0.24032531687111,0.131718008435695,0.186637370405905,0.105705747285639,1,30
"1x31",0.221796472550944,0.209948478663351,0.183500885050244,0.069278926830578,0.100416196200289,0.215059040704593,1,31
"1x32",0.230294699619376,0.211306962270719,0.257164613112746,0.0791350672138053,0.0823998622902195,0.139698795493134,1,32
"1x33",0.252437382657848,0.164277283297352,0.266818504490603,0.12288354940707,0.110982085435253,0.0826011947118751,1,33
"1x34",0.218752819969657,0.168047198914157,0.168023571231367,0.117574594757276,0.202951539462488,0.124650275665054,1,34
"1x35",0.245468275521915,0.135379206025148,0.255349329833152,0.161769418759294,0.0740087959690977,0.128024973891395,1,35
"1x36",0.238473539169612,0.202990468978037,0.131097100511068,0.14736615776007,0.15551573774946,0.124556995831754,1,36
"1x37",0.200063473460889,0.188013619697151,0.168403807057367,0.1289317983678,0.160244675067037,0.154342626349757,1,37
"1x38",0.195943499915347,0.208478071237848,0.248210181105526,0.0978806475345136,0.108659229078187,0.140828371128579,1,38
"1x39",0.276252156993854,0.167436749717653,0.122143327396688,0.0705043906822635,0.185754172889013,0.177909202320528,1,39
"1x40",0.154426840981879,0.16762850494525,0.292751244421295,0.0948030259753916,0.174928872203488,0.115461511472697,1,40
"1x41",0.186638153582603,0.129879031159923,0.329980872507852,0.118176391462976,0.0920336524495747,0.143291898837072,1,41
"1x42",0.218738806642335,0.222546728268255,0.263995257237431,0.101623311383695,0.0996846055591135,0.0934112909091713,1,42
"1x43",0.138522598730239,0.137528014155966,0.316627634401355,0.133999943043365,0.107544995436664,0.16577681423241,1,43
"1x44",0.1382940815348,0.17277705269825,0.364490062387717,0.120599647127715,0.109081156602392,0.0947579996491269,1,44
"1x45",0.226341176843753,0.141058910512462,0.275184698762532,0.107969401249782,0.136190704790185,0.113255107841287,1,45
"1x46",0.189303774606589,0.206861125193347,0.126664976026411,0.0958989567896714,0.165693652225191,0.21557751515879,1,46
"1x47",0.201248354098787,0.137578586019212,0.278510325653961,0.12411639459724,0.100865855108999,0.157680484521802,1,47
"1x48",0.209813929710087,0.315873804493092,0.158641590578603,0.130236159954769,0.0824897253452532,0.102944789918197,1,48
"1x49",0.262396158422707,0.171159567461937,0.185823200738389,0.100737605053282,0.173516114650519,0.106367353673165,1,49
"2x0",0.43877166809396,0.178156524729414,0.0692070777478841,0.142174094276116,0.109580161589377,0.0621104735632494,2,0
"2x1",0.335683143847031,0.26469141572033,0.116665477884609,0.0771692524192665,0.116391778451667,0.0893989316770972,2,1
"2x2",0.35790297748632,0.252178717654666,0.0619750986225674,0.138423713656366,0.0907257685057937,0.0987937240742875,2,2
"2x3",0.362394894376693,0.297355894259323,0.0457944923883235,0.131048906413424,0.116256434280591,0.0471493782816453,2,3
"2x4",0.40286029700154,0.264611848286366,0.0425652095803094,0.125205470464319,0.089580364895542,0.0751768097719231,2,4
"2x5",0.281552405777,0.326095910303088,0.122771459319995,0.0870883069761823,0.103027607482867,0.0794643101408676,2,5
"2x6",0.236936770320728,0.1683376201218,0.242568454203999,0.0974168462570424,0.126447229454882,0.128293079641549,2,6
"2x7",0.350902210487351,0.290085649951382,0.0319267039408636,0.133285216011676,0.116481135876397,0.0773190837323306,2,7
"2x8",0.397065809464205,0.227610455135649,0.0596742617064725,0.105163121861889,0.111444838442878,0.0990415133889064,2,8
"2x9",0.391036188412786,0.271428093844861,0.0676050420374389,0.0735410459858353,0.123591040127179,0.072798589591899,2,9
