"","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"2x44",0.366414089310462,0.222880608372294,0.217561903553862,0.193143398763382,2,44
"2x45",0.387870507484333,0.189723972734259,0.174523391037498,0.24788212874391,2,45
"2x46",0.358427805847743,0.183517450188069,0.215945832460616,0.242108911503572,2,46
"2x47",0.405662283789148,0.151418146939276,0.19195664023334,0.250962929038235,2,47
"2x48",0.397732150019425,0.175822304593855,0.225083497150877,0.201362048235843,2,48
"2x49",0.353736736951379,0.201226482010608,0.196446608025944,0.248590173012069,2,49
"3x0",0.341592382988345,0.177669978183568,0.231535276082509,0.249202362745577,3,0
"3x1",0.366337830001578,0.207484551720829,0.216317380556541,0.209860237721052,3,1
"3x2",0.411964141545243,0.151922349852518,0.217802210432903,0.218311298169336,3,2
"3x3",0.419768467464349,0.163062128013543,0.21870973840018,0.198459666121928,3,3
"3x4",0.394382434275441,0.165396635209034,0.225485774743821,0.214735155771704,3,4
"3x5",0.418519519137667,0.166090084676046,0.207452719578157,0.207937676608131,3,5
"3x6",0.38995976374193,0.147777792405794,0.203269398768482,0.258993045083794,3,6
"3x7",0.420717260172984,0.13884799444015,0.192127810760748,0.248306934626118,3,7
"3x8",0.401070549577598,0.18555886154578,0.157932381969656,0.255438206906966,3,8
"3x9",0.401148594717958,0.1761196109383,0.198970704594463,0.223761089749278,3,9
"3x10",0.374869822069151,0.153658939848298,0.212050947199943,0.259420290882607,3,10
"3x11",0.429552826862851,0.15416880355526,0.19646844879708,0.219809920784809,3,11
"3x12",0.411560931588558,0.160563039294266,0.198965220323595,0.228910808793581,3,12
"3x13",0.403319749072056,0.157205543771458,0.207436192629491,0.232038514526995,3,13
"3x14",0.452399931359939,0.140273150084659,0.180854075555827,0.226472842999575,3,14
"3x15",0.411959330126264,0.147250093649259,0.191883887789738,0.248906688434738,3,15
"3x16",0.397827863513059,0.157217842688431,0.207400560108275,0.237553733690235,3,16
"3x17",0.387258256467521,0.142410666305847,0.236557641210318,0.233773436016313,3,17
"3x18",0.362114949056034,0.170966023557051,0.172844230156337,0.294074797230578,3,18
"3x19",0.403785135249891,0.18181682864651,0.172642833603305,0.241755202500294,3,19
"3x20",0.366138670016987,0.250006339636694,0.15004054143155,0.233814448914769,3,20
"3x21",0.345250709317804,0.153239336267393,0.260930494351643,0.240579460063161,3,21
"3x22",0.431648723683621,0.226785281172996,0.139351850980939,0.202214144162444,3,22
"3x23",0.424750884273365,0.172679433425883,0.174764077871417,0.227805604429335,3,23
"3x24",0.382478364017619,0.224869787677058,0.184276918377262,0.208374929928061,3,24
"3x25",0.384236731862837,0.198922782857731,0.221727468581839,0.195113016697594,3,25
"3x26",0.478635509644123,0.192148773936882,0.128182766124174,0.20103295029482,3,26
"3x27",0.297141501041094,0.209335041105398,0.178419880091051,0.315103577762457,3,27
"3x28",0.400701897630725,0.213098513216109,0.176409163677703,0.209790425475462,3,28
"3x29",0.38705408533492,0.178196319076688,0.161625683851275,0.273123911737117,3,29
"3x30",0.429066167362279,0.188004714506004,0.141094109622121,0.241835008509596,3,30
"3x31",0.406815214425385,0.184576384252491,0.130017219138947,0.278591182183177,3,31
"3x32",0.452325998555704,0.160636881371769,0.148593781749544,0.238443338322982,3,32
"3x33",0.390797735770876,0.18914288990983,0.145760095211606,0.274299279107687,3,33
"3x34",0.364349869970693,0.185811590131533,0.13321875147758,0.316619788420194,3,34
"3x35",0.324251100056917,0.188286093584411,0.186444364382212,0.30101844197646,3,35
"3x36",0.344051425220799,0.192066558690451,0.185224402301176,0.278657613787574,3,36
"3x37",0.393766377204075,0.181284223284198,0.194800952820269,0.230148446691458,3,37
"3x38",0.396665266874555,0.215256615536407,0.129722403905642,0.258355713683396,3,38
"3x39",0.422377127781461,0.162259749942996,0.203140138817932,0.212222983457611,3,39
"3x40",0.354760002629697,0.262217818513849,0.167464140380968,0.215558038475486,3,40
"3x41",0.441310527816835,0.199802460016556,0.16223566338424,0.196651348782369,3,41
"3x42",0.381411140247969,0.244448821836187,0.139068535879476,0.235071502036367,3,42
"3x43",0.416125423095576,0.177823232290191,0.170373899307853,0.23567744530638,3,43
"3x44",0.313306171527725,0.204583662699792,0.151541664594901,0.330568501177581,3,44
"3x45",0.316779704373617,0.190279617886432,0.122049725921166,0.370890951818785,3,45
"3x46",0.348967626209604,0.163913487838637,0.211734863500441,0.275384022451319,3,46
"3x47",0.350586221778464,0.205941936776845,0.174864831679018,0.268607009765673,3,47
"3x48",0.31636260544537,0.158762087737848,0.169439491905663,0.355435814911119,3,48
"3x49",0.419757472014641,0.168429447791948,0.177683569645217,0.234129510548194,3,49
"4x0",0.394530679165198,0.167801213010083,0.206834600538254,0.230833507286465,4,0
"4x1",0.422056522301059,0.193959594575216,0.175033191607646,0.208950691516078,4,1
"4x2",0.369938538673617,0.194957984781867,0.232238086646694,0.202865389897822,4,2
"4x3",0.380777234086418,0.166083138592619,0.216205069313613,0.23693455800735,4,3
"4x4",0.433647775487804,0.127347749701662,0.19557107499335,0.243433399817185,4,4
"4x5",0.425465030125146,0.142416878825481,0.222199761924594,0.209918329124779,4,5
"4x6",0.408831723699086,0.155425121535519,0.209566028381339,0.226177126384055,4,6
"4x7",0.396552663820763,0.169707851809443,0.210761689975924,0.22297779439387,4,7
"4x8",0.440758765133802,0.125103382906272,0.219182487286228,0.214955364673698,4,8
"4x9",0.44415441002627,0.127627035224091,0.223577092884832,0.204641461864807,4,9
"4x10",0.401639787832326,0.157306529572857,0.19793207145032,0.243121611144497,4,10
"4x11",0.403818769479556,0.202661307743084,0.18000866335514,0.21351125942222,4,11
"4x12",0.408536091950918,0.172093435410588,0.194403046720775,0.224967425917719,4,12
"4x13",0.416046873464216,0.154240685978428,0.196600289751671,0.233112150805685,4,13
"4x14",0.407499446931332,0.119285581642598,0.212565352119374,0.260649619306696,4,14
"4x15",0.411368747058544,0.174009027689881,0.222353982485833,0.192268242765743,4,15
"4x16",0.381002010471495,0.189066441497335,0.185033927044085,0.244897620987085,4,16
"4x17",0.347075967745426,0.194600787650229,0.168238839467804,0.290084405136541,4,17
"4x18",0.392868057248387,0.118690487141305,0.182621448613693,0.305820006996616,4,18
"4x19",0.401408248418239,0.183678081544075,0.159310773313138,0.255602896724548,4,19
"4x20",0.397175907915768,0.197542140332483,0.176487360748208,0.228794591003541,4,20
"4x21",0.353327821600521,0.19405438977148,0.193671393898907,0.258946394729092,4,21
"4x22",0.390537276746793,0.228716095658398,0.185620777703152,0.195125849891656,4,22
"4x23",0.41802858463099,0.196238360832295,0.154646667814978,0.231086386721737,4,23
"4x24",0.408195280975358,0.172512016725846,0.194028224538763,0.225264477760033,4,24
"4x25",0.434115128278028,0.179111249306452,0.155563368425919,0.2312102539896,4,25
"4x26",0.402271486494594,0.164340585335974,0.160044214195868,0.273343713973564,4,26
"4x27",0.374509906635551,0.16300639398467,0.180609203251432,0.281874496128347,4,27
"4x28",0.408852190504363,0.171410100845309,0.187044687500711,0.232693021149616,4,28
"4x29",0.385371722724285,0.24803737542462,0.173200792843292,0.193390109007803,4,29
"4x30",0.340414729812659,0.157244892878303,0.188652401820252,0.313687975488785,4,30
