"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"1x42",0.110318971739764,0.192232611795028,0.241424449664129,0.151874890010465,0.17567330400454,0.128475772786075,1,42
"1x43",0.0648416047974271,0.114673297483615,0.268202795948951,0.214511708542804,0.150925106061205,0.186845487165998,1,43
"1x44",0.0658446087392617,0.172050815913391,0.29167775359838,0.193355670939556,0.155357637493174,0.121713513316237,1,44
"1x45",0.128552105130229,0.150566028171854,0.236170963642187,0.162222546585705,0.180554873781385,0.141933482688639,1,45
"1x46",0.146741800223758,0.180285567315277,0.0665794027587823,0.168853622085329,0.185238378440232,0.252301229176622,1,46
"1x47",0.105289328006547,0.170046409621287,0.192480379628923,0.216226895008964,0.120990430132989,0.19496655760129,1,47
"1x48",0.10868596516928,0.271800082057168,0.194724223779454,0.148370749010352,0.145292293279926,0.13112668670382,1,48
"1x49",0.147706207905435,0.164537652113396,0.163553242430273,0.143212173481215,0.258860229626385,0.122130494443296,1,49
"2x0",0.298299221314084,0.16893640202325,0.107205231313741,0.157893968433886,0.196577419581238,0.0710877573338012,2,0
"2x1",0.232264244685897,0.21718878289624,0.140012420746627,0.114729487283107,0.193462172256482,0.102342892131647,2,1
"2x2",0.250001796041563,0.222723076366728,0.105634611358052,0.148002777661909,0.174661082560861,0.098976656010888,2,2
"2x3",0.274525124644237,0.228484503859897,0.084671405130454,0.120738602365409,0.211624114375175,0.0799562496248282,2,3
"2x4",0.266607779052009,0.245756976396451,0.101133826568338,0.12560961702118,0.172576478079098,0.0883153228829244,2,4
"2x5",0.209600810394109,0.222735595100954,0.157022260543194,0.128452833145743,0.194528609010384,0.087659891805616,2,5
"2x6",0.135352023376569,0.154019657196485,0.190019861131802,0.188293659323712,0.203790248268412,0.12852455070302,2,6
"2x7",0.274575219712749,0.221143179963153,0.106698762505235,0.127228281723488,0.206941207039263,0.0634133490561131,2,7
"2x8",0.270497169440046,0.219199415711195,0.1016863613142,0.130062890407777,0.176958424727579,0.101595738399203,2,8
"2x9",0.28555835618819,0.237548364597894,0.136845606174627,0.115223690298695,0.17358513549039,0.0512388472502037,2,9
"2x10",0.266475618110244,0.222848787476721,0.0706209083348996,0.126158233868578,0.208835589048583,0.105060863160975,2,10
"2x11",0.278693099844776,0.2189911054925,0.0960092300633881,0.116018098498133,0.180844451662301,0.109444014438901,2,11
"2x12",0.287544343938767,0.206532364517271,0.092802915589698,0.13626390430061,0.186888309546189,0.0899681621074654,2,12
"2x13",0.050598988249875,0.0813872727674246,0.240993614763497,0.228708594452437,0.17871372469785,0.219597805068916,2,13
"2x14",0.260768019284338,0.22393686417516,0.110456329094046,0.0999510476320991,0.213382671697273,0.0915050681170842,2,14
"2x15",0.256206462977214,0.221173897354848,0.101071589304101,0.130687674181261,0.212220933161416,0.0786394430211605,2,15
"2x16",0.207644524723173,0.161606220125954,0.158317873840317,0.147567546064128,0.1863136275443,0.138550207702129,2,16
"2x17",0.249865352983865,0.199245114860715,0.139441652700386,0.109473948903364,0.218129847210966,0.083844083340704,2,17
"2x18",0.206106594337694,0.175117418816335,0.217021491364023,0.114545719685349,0.174186562658677,0.113022213137921,2,18
"2x19",0.192077531199189,0.240843061971252,0.115482562157349,0.141124359104648,0.194309066707239,0.116163418860324,2,19
"2x20",0.219563798186227,0.188930051292565,0.147478481222223,0.135582111558967,0.190823504963223,0.117622052776795,2,20
"2x21",0.161278227012731,0.212786365327036,0.0953408606372142,0.15835126346161,0.299812669945617,0.0724306136157926,2,21
"2x22",0.19463965193416,0.240963886402209,0.0954845594358484,0.131029406397726,0.202010035890878,0.135872459939178,2,22
"2x23",0.168249992713215,0.194195705783132,0.177065767960246,0.175005061889969,0.134208108938399,0.151275362715039,2,23
"2x24",0.209086409818891,0.193929979047295,0.14891512748915,0.10407034236172,0.219252893675474,0.124745247607471,2,24
"2x25",0.169455902985123,0.210437394542381,0.176141330168805,0.127066849990009,0.201106705454522,0.11579181685916,2,25
"2x26",0.177832976726074,0.208068485804058,0.129385681126745,0.128093903969797,0.216870596753179,0.139748355620147,2,26
"2x27",0.143183883992302,0.15820389326328,0.144311675677586,0.188116573755571,0.162103311781043,0.204080661530218,2,27
"2x28",0.0788730987299388,0.109201850910119,0.105103594236111,0.191197476793448,0.339430830255743,0.176193149074639,2,28
"2x29",0.163392183942644,0.24423051708644,0.153424660164354,0.136085614047013,0.206988076209386,0.095878948550163,2,29
"2x30",0.144563491841138,0.20404860860172,0.0774021552446275,0.181317348871236,0.165258089957334,0.227410305483945,2,30
"2x31",0.109557367731457,0.16427366686258,0.229857040658944,0.155093587645519,0.199031504896818,0.142186832204682,2,31
"2x32",0.13229268428851,0.21809370640885,0.095309864645145,0.186617150278299,0.14468140930602,0.223005185073176,2,32
"2x33",0.114271582735364,0.170940504057054,0.125218220422682,0.188140964060186,0.241627844978934,0.159800883745779,2,33
"2x34",0.136254648069701,0.203971705750728,0.241149044290233,0.128621450224074,0.198319077845035,0.0916840738202303,2,34
"2x35",0.181278953109035,0.185292186101913,0.167312288181999,0.174412707709437,0.145933857905077,0.145770006992539,2,35
"2x36",0.109206681191893,0.122130062368526,0.259197890263475,0.204992836302886,0.143728607436342,0.160743922436878,2,36
"2x37",0.113909720817481,0.250598345369828,0.140303006792803,0.165692299779245,0.212701695741935,0.116794931498708,2,37
"2x38",0.0983066092044648,0.158113391748598,0.157393184143006,0.193223664829247,0.211388346343937,0.181574803730747,2,38
"2x39",0.119149662724061,0.221222056846773,0.188140165768374,0.163435365520225,0.123991703916547,0.184061045224021,2,39
"2x40",0.0965048378846867,0.160228377838569,0.240360235032144,0.173710568281158,0.141400955326419,0.187795025637023,2,40
"2x41",0.0956195775623397,0.232759630224268,0.220095042308587,0.155061728369947,0.162047880886704,0.134416140648155,2,41
"2x42",0.113073856172213,0.189890764050958,0.176818619128564,0.173151492610829,0.229813328152554,0.117251939884881,2,42
"2x43",0.0647291516283501,0.156629960350748,0.261410179926332,0.197802869714786,0.162944347625837,0.156483490753947,2,43
"2x44",0.0815332951011334,0.246589820045833,0.192450978401125,0.183687574168207,0.230187645685517,0.0655506865981849,2,44
"2x45",0.106057502082908,0.218963211473072,0.156595943822397,0.191593093219564,0.180268491131838,0.146521758270221,2,45
"2x46",0.0888414395989224,0.121870174864121,0.271597362686312,0.150858616380035,0.216723841780157,0.150108564690452,2,46
"2x47",0.0703088974973849,0.123151295071531,0.228907615039288,0.196092414164022,0.2316382744655,0.149901503762273,2,47
"2x48",0.103015247683224,0.206623982343274,0.17712385407387,0.156997597454074,0.220686138310889,0.135553180134669,2,48
"2x49",0.102812817351892,0.217381146794754,0.150896087231066,0.161342412852634,0.192923327725308,0.174644208044346,2,49
"3x0",0.269003931359742,0.190353832128019,0.0746778872597304,0.144825970936804,0.221578038173618,0.0995603401420867,3,0
"3x1",0.28393501658381,0.252761430878777,0.0784820937183034,0.127698898637615,0.168372183355057,0.0887503768264376,3,1
"3x2",0.259950322408896,0.238026965320238,0.10557686649004,0.106414386642396,0.207641054469309,0.0823904046691203,3,2
"3x3",0.238736971272718,0.276207662807958,0.120733873148019,0.116359635097923,0.198436024113656,0.0495258335597264,3,3
