	Cancer	Ductal	Macrophages	Mast	Monocytes	mDCs
1x48	0.1458599	0.30838263	0.10627261	6.9335043e-13	0.10095376	0.33853114
1x49	0.21157865	0.07059997	0.10740094	0.19214344	0.12074295	0.29753405
2x0	0.6287005	1.9214973e-11	0.07802408	1.5265572e-12	0.06503488	0.22824058
2x1	1.1097462e-10	2.3179828e-11	0.10468921	1.860282e-12	0.18327221	0.7120386
2x2	0.4320303	6.230942e-11	0.2338668	3.052565e-12	0.33410293	1.1390194e-11
2x3	1.0	3.2273094e-11	1.0827465e-11	2.9402967e-12	5.5632946e-12	1.5886577e-11
2x4	0.9858367	0.014163307	1.545855e-11	2.1288093e-12	9.368843e-12	1.553365e-11
2x5	0.34415397	0.24234743	4.4897412e-11	1.2658143e-12	0.09777349	0.31572506
2x6	0.3064688	0.05938487	0.13553268	0.12993203	0.09280147	0.27588013
2x7	1.0	5.9750156e-11	2.3697306e-11	5.786069e-12	1.4431104e-11	1.5823612e-11
2x8	0.034727693	3.778462e-11	0.68485856	4.451537e-12	0.13146894	0.14894474
2x9	1.0	9.2235254e-11	1.2974715e-11	4.4386894e-12	9.503011e-12	1.1112222e-11
2x10	0.9307622	3.3537763e-11	2.214746e-11	2.525919e-12	6.8002765e-12	0.06923779
2x11	1.0	8.369936e-11	3.285049e-11	5.4956825e-12	2.7692607e-11	1.6628999e-11
2x12	0.54869366	0.1316847	0.14489987	0.021806456	0.07337597	0.079539396
2x13	0.25183776	0.114297	0.1779447	0.12373152	0.102180265	0.23000881
2x14	1.0	4.291664e-11	8.415625e-12	1.968174e-12	1.0332637e-11	6.043204e-12
2x15	1.0	3.1357795e-11	1.1949759e-10	2.6138662e-12	2.0700438e-11	8.2918585e-12
2x16	0.28323337	8.9010145e-12	0.15588747	1.0275705e-12	0.20971471	0.35116443
2x17	0.5934049	3.83272e-10	2.1403622e-10	1.926009e-12	0.060204603	0.34639058
2x18	0.4303447	2.2638122e-11	0.05404924	1.1369552e-12	0.16848557	0.3471205
2x19	0.2921296	0.22020875	0.13765855	1.0493724e-12	0.0505463	0.29945683
2x20	0.31352347	1.0942503e-11	0.14079422	1.2391696e-12	0.1570886	0.38859373
2x21	0.3905515	4.937424e-10	0.15535845	0.24405982	8.290561e-11	0.21003024
2x22	0.30931106	0.07933803	0.16257875	1.3594819e-12	0.25921294	0.18955922
2x23	0.13476086	0.1428259	0.10246517	8.617066e-13	0.18488303	0.4350651
2x24	0.35431257	0.030134495	0.123737976	0.17073889	0.10958818	0.21148784
2x25	0.2551653	0.15106915	0.0617736	8.6865167e-13	0.09732834	0.4346636
2x26	0.23369391	0.068442605	0.09388321	0.22056699	0.10637512	0.27703816
2x27	0.16863787	0.16310875	0.20704834	6.2490546e-13	0.22518836	0.23601666
2x28	0.17750455	0.17402303	0.15325727	0.30656856	0.10447621	0.0841704
2x29	0.28033265	0.06689549	0.12515126	8.3229793e-13	0.120102234	0.4075184
2x30	0.10108887	0.23886338	0.21182217	0.1360796	0.26220703	0.04993897
2x31	0.22494544	0.20216486	0.13263533	6.5360445e-13	0.094489865	0.34576446
2x32	0.17813943	0.17495194	0.16929863	7.986221e-13	0.26814806	0.20946188
2x33	0.1575782	0.15062328	0.13786565	0.2329377	0.17190877	0.14908645
2x34	0.20719093	0.18709889	0.07899497	0.18122146	6.37112e-11	0.34549376
2x35	0.26303047	2.9077665e-09	0.14126353	8.272578e-13	0.23596677	0.35973918
2x36	0.2067891	0.22818956	0.1846106	5.0160033e-13	0.09208962	0.2883211
2x37	0.07566887	0.2991721	0.13794152	0.21045405	0.03295649	0.24380693
2x38	0.29085028	0.08310186	0.19227873	0.17256641	0.14162412	0.119578645
2x39	8.826674e-11	0.35334858	0.16076022	8.082965e-13	0.19518425	0.290707
2x40	0.24603076	0.202702	0.13332134	5.619708e-13	0.17345709	0.24448882
2x41	0.18144265	0.28983974	0.10182054	7.66783e-13	0.10664843	0.3202487
2x42	0.25612885	0.19004798	0.0878159	0.103196464	0.117184296	0.24562657
2x43	0.18694867	0.2241758	0.16650827	6.2895533e-13	0.12847368	0.29389358
2x44	0.15963101	0.38263494	0.11676966	0.0890777	0.011514736	0.2403719
2x45	0.20397018	0.1620039	0.11055569	8.164224e-13	0.18507865	0.3383916
2x46	0.22136874	0.13849986	0.051508863	0.1531495	0.13235758	0.30311546
2x47	0.23190954	0.16699454	0.09427081	0.15610285	0.11440973	0.23631254
2x48	0.11507987	0.2145422	0.105588876	0.17274337	0.13485552	0.25719017
2x49	0.15611683	0.17007652	0.17795502	0.2078909	0.12438313	0.16357756
