	Cancer	Ductal	Macrophages	Mast	Monocytes	mDCs
2x37	0.18851538	0.37083507	0.12921281	0.14671506	3.341008e-11	0.16472165
2x38	0.20898174	0.12120099	0.40051928	0.18681149	0.0763804	0.0061060814
2x39	0.1760615	0.30857867	0.16079406	1.2309755e-11	0.13354085	0.22102492
2x40	0.27352777	0.10773512	0.22598137	4.718325e-12	0.16836856	0.22438718
2x41	0.13757613	0.2756907	0.32266733	9.382623e-12	0.08381511	0.1802507
2x42	0.29822195	0.16496018	0.16232309	0.119953886	0.05309569	0.20144516
2x43	0.21790753	0.17662288	0.17021577	0.02552819	0.10783581	0.30188978
2x44	0.13749589	0.3636789	0.12314727	0.09594396	2.741346e-11	0.27973396
2x45	0.08997843	0.26818374	0.26075777	0.025074454	0.1294446	0.226561
2x46	0.20543511	0.1287493	0.11868188	0.19087061	0.08592721	0.2703358
2x47	0.12685236	0.13119873	0.13660057	0.19391614	0.12086727	0.29056495
2x48	0.10255069	0.2549973	0.24197929	0.14193065	0.089147165	0.16939493
2x49	0.047467355	0.26874056	0.3646938	0.16359638	0.0866716	0.06883029
3x0	0.6961822	8.9027735e-12	0.11170984	0.19192943	0.00017864429	3.0043839e-12
3x1	0.8651523	0.13484763	4.202167e-12	2.6875151e-12	6.4379942e-12	1.9358185e-12
3x2	1.0	1.6345673e-11	4.0647806e-12	2.7543213e-12	8.340531e-12	2.5162851e-12
3x3	0.8625123	0.13748768	4.2064308e-12	3.5486887e-12	4.336457e-12	2.0482721e-12
3x4	1.0	5.962684e-12	1.1573117e-11	4.11456e-12	6.8562825e-12	1.009327e-11
3x5	1.0	8.946963e-12	4.9102614e-12	2.5219085e-12	3.0639512e-11	2.82678e-12
3x6	1.0	5.20168e-12	1.8611028e-11	3.76397e-12	2.8954594e-11	4.1271053e-12
3x7	0.9435986	4.965775e-12	7.839532e-12	4.004675e-12	0.056401387	2.9062896e-12
3x8	0.27838942	1.5537782e-12	0.37351733	2.5574426e-11	0.11835389	0.22973938
3x9	0.8681371	0.1318629	3.6304876e-12	2.3746233e-12	4.1343565e-12	2.033728e-12
3x10	1.0	5.2135895e-12	3.9527565e-12	2.0510189e-12	4.359924e-12	2.0058395e-12
3x11	1.0	5.2161804e-12	3.807413e-12	1.6856795e-12	3.5814234e-12	2.013646e-12
3x12	0.7271653	6.3069025e-12	0.2058615	3.3428117e-12	0.06697314	4.2393697e-12
3x13	1.0	1.7763907e-11	4.7906666e-12	3.3349202e-12	5.6835587e-12	2.6606718e-12
3x14	0.35661185	2.7147269e-12	0.21380097	8.500506e-11	0.10755621	0.32203096
3x15	1.0	5.772129e-12	4.67674e-12	3.0851344e-12	4.3961904e-12	3.1706272e-12
3x16	0.6834415	5.744496e-12	0.015697045	8.448993e-12	1.6890583e-11	0.3008614
3x17	1.0	4.285467e-12	3.2558303e-12	2.293342e-12	2.767164e-12	3.5018214e-12
3x18	0.68922794	5.0566617e-12	1.4295524e-11	4.31198e-12	0.24798238	0.06278969
3x19	0.71469796	0.0482542	0.16641389	2.0204107e-12	0.0706339	3.784111e-12
3x20	0.54399973	2.5679341e-12	0.31298277	2.9021902e-12	0.14301753	6.793747e-11
3x21	0.40385768	0.0928421	0.04087597	0.23598605	2.3201153e-11	0.22643822
3x22	0.62438405	3.1809841e-12	2.0349815e-10	2.032997e-12	0.19706127	0.17855474
3x23	0.5080759	0.07579582	0.3317617	2.6178838e-12	0.08436665	1.66108e-11
3x24	0.3570537	0.08664135	0.3046125	4.043018e-12	0.08243064	0.16926177
3x25	0.2880153	0.15424311	1.2876008e-11	0.1225089	0.11869473	0.31653798
3x26	0.28372204	0.15821825	0.1862459	2.0760756e-12	0.06661314	0.30520076
3x27	0.40993112	0.12542517	0.12073642	0.14253433	0.20137297	8.516898e-11
3x28	0.30249783	0.20403065	0.37095475	0.022647727	0.01909573	0.080773346
3x29	0.48839372	0.038446512	2.587887e-10	0.02367821	0.12112712	0.32835442
3x30	0.256354	0.13038659	0.25786313	6.0662976e-12	0.08991723	0.26547903
3x31	0.2755905	0.09302748	0.22016121	0.015640045	0.18471475	0.210866
3x32	0.4945971	0.052881975	0.066571794	4.5878024e-12	0.113694996	0.2722541
3x33	0.29306492	0.06479352	0.24722444	0.005487997	0.08442535	0.30500382
3x34	0.25882646	0.081880175	0.25045782	0.02256995	0.15584604	0.23041958
