	Macrophages	Mast	Monocytes	mDCs
6x31	0.080387406	3.3189274e-12	0.030365735	0.8892469
6x32	0.11322969	0.20447937	0.031566594	0.6507244
6x33	0.07006048	0.21695541	0.043139912	0.66984427
6x34	0.2551702	0.21416003	0.013087376	0.5175824
6x35	0.100812726	1.017616e-10	0.013580491	0.88560677
6x36	2.3809172e-11	0.51472765	7.384968e-13	0.48527235
6x37	0.33805656	0.266551	0.04350223	0.35189018
6x38	0.23790006	0.6115076	0.045384288	0.105208
6x39	0.15559083	1.6073651e-11	0.15014568	0.6942635
6x40	0.044974778	2.2272167e-12	0.09215282	0.86287236
6x41	0.037040442	0.022682335	0.03223887	0.9080383
6x42	0.08062842	2.3868965e-12	0.007950125	0.9114215
6x43	0.11136997	0.067054175	0.001433022	0.8201428
6x44	5.2879216e-12	7.801473e-12	0.020794692	0.9792053
6x45	0.24161142	1.3703081e-11	0.023618713	0.73476994
6x46	0.07053891	1.9898694e-12	0.012360454	0.9171006
6x47	1.7137012e-11	0.5018376	0.022848956	0.47531343
6x48	0.30005065	0.57542723	0.042189464	0.082332626
6x49	2.2942557e-12	0.38994673	0.09306484	0.5169884
7x0	0.25321546	0.3292169	0.113846384	0.30372125
7x1	2.8662017e-11	0.10529311	0.046589646	0.84811723
7x2	0.20704167	0.44405875	0.11781476	0.23108494
7x3	0.11783232	0.358112	0.016717369	0.50733835
7x4	0.15445665	0.56164193	0.0097872475	0.27411416
7x5	0.21040171	0.44013292	0.08839167	0.26107368
7x6	0.18970339	0.3996665	0.2134488	0.19718131
7x7	6.9013106e-10	6.329424e-10	1.0	2.9195413e-10
7x8	0.20223954	0.43722627	0.09786607	0.2626681
7x9	0.2711925	0.38378653	0.106929176	0.23809175
7x10	0.20768982	0.41402566	0.11740127	0.26088327
7x11	0.21082795	0.4095383	0.12111541	0.2585183
7x12	0.05599563	0.34580895	0.025206957	0.5729885
7x13	0.37721935	0.09060433	0.45278755	0.079388775
7x14	0.24340172	0.40505427	0.12098195	0.230562
7x15	0.21420324	0.39514202	0.12391224	0.2667425
7x16	0.23095235	0.32209095	0.15798172	0.28897497
7x17	1.1834758e-10	1.8178124e-10	1.0	1.0720953e-10
7x18	0.21949695	0.38838536	0.13338046	0.2587372
7x19	0.12519318	3.0987916e-12	0.01431304	0.8604938
7x20	2.7510693e-11	0.06895441	2.2451261e-11	0.9310456
7x21	5.982261e-12	0.7411607	5.588431e-12	0.25883928
7x22	0.18409741	0.68964577	0.05118372	0.075073116
7x23	0.05089856	0.4432621	0.010526264	0.49531308
7x24	0.095856674	4.0962468e-12	0.19728087	0.70686245
7x25	5.927321e-12	0.3683347	2.7737168e-12	0.6316652
7x26	0.06340797	0.01836003	0.10741356	0.81081843
7x27	1.1094266e-12	0.0778883	0.004794764	0.9173169
7x28	0.17426835	7.602494e-12	0.2105503	0.6151814
7x29	0.2313535	1.414164e-11	0.0009479412	0.7676985
7x30	0.020030497	0.51005435	0.011021963	0.45889327
7x31	0.1678054	0.38291857	0.07869736	0.3705787
7x32	0.098308116	0.2192452	0.055469517	0.62697715
7x33	2.0575351e-12	0.020119406	0.042839255	0.9370413
7x34	2.5264458e-12	0.30508125	0.07908648	0.6158323
7x35	0.10319503	0.3339916	0.10776299	0.45505044
7x36	0.06879563	0.1174021	0.07156723	0.742235
7x37	0.05446939	0.5457408	0.044416875	0.35537294
7x38	0.20364538	2.2025884e-12	0.041294124	0.7550605
7x39	0.2984207	0.30776387	0.006559617	0.38725582
7x40	0.44692993	2.9283145e-11	0.17683634	0.37623376
7x41	1.5965913e-10	7.1148096e-12	0.27961954	0.7203805
7x42	0.08034461	0.52980465	0.20480208	0.18504865
7x43	0.12514281	0.061696365	0.09275805	0.7204028
7x44	6.5521998e-12	0.30866176	0.037938874	0.65339935
7x45	1.9190563e-12	0.3567222	1.1984114e-12	0.64327776
7x46	0.090333916	0.09601083	0.006120662	0.8075346
7x47	0.015672673	0.27999082	0.002097413	0.7022391
7x48	0.66048765	4.527211e-12	0.0051298565	0.33438247
7x49	0.052486494	5.218805e-12	2.0336356e-11	0.9475135
8x0	0.29138818	0.28721392	0.1643816	0.2570163
8x1	6.5839218e-12	1.3521807e-11	3.0575475e-12	1.0
8x2	0.21730848	0.4192151	0.15385221	0.20962426
8x3	0.20767272	0.37836698	0.16507417	0.24888615
8x4	0.21456407	0.2836268	0.35288903	0.14892015
8x5	0.21632676	0.39599684	0.13551953	0.25215682
8x6	0.25024018	0.3561443	0.07762777	0.3159877
8x7	0.2075815	0.39461908	0.12847744	0.26932198
8x8	0.2332008	0.3036266	0.113991015	0.3491816
8x9	0.26207358	0.38257658	0.10564825	0.24970157
8x10	0.23675297	0.35718742	0.15107979	0.25497985
8x11	0.22456114	0.37319878	0.13678142	0.26545855
8x12	0.24105771	0.34413546	0.18579096	0.22901593
8x13	0.18656813	0.46611592	0.10464984	0.24266608
8x14	0.22301474	0.3766801	0.110448115	0.289857
8x15	5.436306e-10	5.385098e-10	1.0	3.1420044e-10
8x16	0.15397315	7.2418534e-12	0.096185006	0.74984187
8x17	0.27006394	0.32317364	0.1925706	0.21419181
8x18	1.9691443e-10	6.558636e-11	1.0	4.3208777e-11
8x19	3.8691433e-12	1.9210075e-11	0.0013062754	0.9986937
8x20	2.2700992e-11	1.0	3.8806016e-12	5.1605217e-12
8x21	0.18367706	4.289859e-12	5.5716996e-06	0.8163174
8x22	0.14522235	0.5453691	0.051490627	0.25791794
8x23	3.375775e-12	3.2619078e-11	1.258563e-12	1.0
8x24	0.86580604	1.2043986e-11	0.13419391	4.0015317e-11
8x25	0.19357158	0.5262108	0.030558048	0.24965963
8x26	0.043955978	0.41530895	0.111079685	0.42965543
8x27	0.21878462	4.3434336e-12	4.00578e-12	0.78121537
8x28	0.09489489	0.54440284	0.05401618	0.30668604
8x29	0.34219182	0.09506561	0.014372183	0.54837036
8x30	0.006222096	4.472183e-12	2.5476796e-10	0.99377793
8x31	0.24563189	0.46719334	0.11593586	0.17123893
8x32	0.014196526	0.070371315	0.038112774	0.8773194
8x33	0.1218037	0.021486377	0.00074453076	0.85596544
8x34	0.13679701	0.035807498	0.039161917	0.7882336
8x35	0.10811563	0.383054	0.10409393	0.4047365
8x36	0.2338788	1.2942687e-11	0.15499425	0.61112696
8x37	0.0056492495	0.28686884	0.0076325363	0.6998494
8x38	2.4749205e-10	0.43469244	0.010457746	0.5548498
8x39	0.0374868	0.3809392	0.18916222	0.39241177
8x40	0.16420881	0.6431192	5.3072594e-12	0.19267201
8x41	0.18150967	3.1015457e-12	1.486226e-12	0.8184903
8x42	0.1421336	0.029828701	1.3496589e-09	0.8280377
8x43	0.26985225	0.22879209	0.013425119	0.4879305
8x44	0.095903404	0.46751797	0.025578383	0.4110002
8x45	0.051144846	0.21739866	0.010145231	0.7213113
8x46	0.02476096	0.32664576	0.013530718	0.6350625
8x47	0.11203028	0.6214816	2.2273496e-11	0.2664882
8x48	0.6036996	9.701886e-12	0.10374363	0.29255673
8x49	3.6605445e-12	0.31753334	0.01038398	0.6720827
9x0	1.1021189e-11	9.36233e-11	6.610768e-12	1.0
9x1	0.24006264	0.37963313	0.11391284	0.26639143
9x2	9.2176977e-10	1.1689659e-09	1.0	7.6555995e-10
9x3	0.18775797	0.43933693	0.117158696	0.25574636
9x4	0.2545892	0.4370989	0.08717667	0.22113524
9x5	9.09138e-11	8.292001e-11	1.0	5.032376e-11
9x6	0.22341143	0.4019715	0.12356674	0.2510503
9x7	0.18700148	0.4923263	0.09231149	0.22836073
9x8	0.23425741	0.400545	0.1146185	0.25057915
