"","cell_ID","mDCs","Macrophages","Mast","Monocytes"
"52","1x1",0.621683712358416,0,0,0.378316287641584
"53","1x2",0.869266921716112,0,0.130733078283888,0
"54","1x3",0.427926522233609,0.169473077116016,0,0.402600400650376
"55","1x4",0.510078579247063,0,0,0.489921420752937
"56","1x5",0,0.131604231220533,0.248198918849206,0.62019684993026
"57","1x6",0.424529250292326,0,0,0.575470749707674
"58","1x7",0.707270262601133,0,0,0.292729737398867
"59","1x8",0.37106854439485,0,0.327631125385803,0.301300330219346
"60","1x9",0.282032558024349,0,0,0.717967441975651
"61","1x10",0.677224810897355,0.322775189102646,0,0
"62","1x11",0.520866275942248,0,0,0.479133724057752
"63","1x12",0.305334972295471,0,0.333515188598304,0.361149839106225
"64","1x13",0.609651570016939,0,0,0.390348429983061
"65","1x14",0.137286262573626,0,0,0.862713737426374
"66","1x15",0.440054596617614,0,0,0.559945403382386
"67","1x16",0.800402547463304,0,0.199597452536696,0
"68","1x17",1,0,0,0
"69","1x18",0,0.428988839080424,0,0.571011160919576
"70","1x19",0.319164194980808,0.456448813465793,0,0.224386991553399
"71","1x20",1,0,0,0
"72","1x21",0.339236332527175,0,0,0.660763667472825
"73","1x22",1,0,0,0
"74","1x23",0.853016237045589,0.146983762954411,0,0
"75","1x24",0.378249676525579,0.422636191098224,0.199114132376198,0
"76","1x25",1,0,0,0
"77","1x26",0.191883429086977,0,0,0.808116570913023
"78","1x27",0.53676458043151,0,0,0.46323541956849
"79","1x28",0.607797940555001,0.279588569544401,0.112613489900598,0
"80","1x29",0.261262581400302,0,0,0.738737418599698
"81","1x30",0.650495639951621,0.120694303468785,0,0.228810056579594
"82","1x31",1,0,0,0
"83","1x32",0.543347983042037,0,0,0.456652016957963
"84","1x33",1,0,0,0
"85","1x34",0.377427691762946,0,0.320099640763863,0.302472667473192
"86","1x35",0.665220081330157,0.334779918669843,0,0
"87","1x36",0.237315462375384,0.427244638306064,0,0.335439899318551
"88","1x37",0.208001596470324,0.261781254947411,0,0.530217148582265
"89","1x38",0.451641496365679,0.222973325475842,0,0.325385178158479
"90","1x39",0,0.234539435629393,0.221539682098315,0.543920882272291
"91","1x40",0.695504853157386,0,0.304495146842614,0
"92","1x41",1,0,0,0
"93","1x42",0.544698892184209,0.238495312211046,0.216805795604745,0
"94","1x43",1,0,0,0
"95","1x44",1,0,0,0
"96","1x45",0.619510004509566,0,0,0.380489995490434
"97","1x46",0,0.259117381963988,0.143330105475557,0.597552512560455
"98","1x47",1,0,0,0
"99","1x48",0.631026079657474,0.368973920342526,0,0
"100","1x49",0.641596377372661,0,0,0.358403622627339
"101","2x0",0.190926356781554,0.468292147445307,0,0.340781495773139
"102","2x1",0.855035893232383,0,0.144964106767617,0
"103","2x2",0.338496892045245,0,0,0.661503107954755
"104","2x3",0.308850734042054,0,0.231733102342673,0.459416163615274
"105","2x4",0.538500912924448,0,0,0.461499087075552
"106","2x5",0.55602298762078,0,0,0.44397701237922
"107","2x6",1,0,0,0
"108","2x7",0.392688796827472,0,0.159607921478481,0.447703281694047
"109","2x8",0,0,0.125764523288669,0.874235476711331
"110","2x9",0.433598878844771,0,0,0.566401121155229
"111","2x10",0.269662785017438,0,0.165000972381941,0.565336242600621
"112","2x11",0.200782504225639,0,0.318562902628268,0.480654593146093
"113","2x12",0.512202339590308,0,0,0.487797660409692
"114","2x13",1,0,0,0
"115","2x14",0.284781788942598,0,0,0.715218211057402
"116","2x15",0.279213731943773,0,0.344023374109499,0.376762893946728
"117","2x16",0.63668974599927,0.36331025400073,0,0
"118","2x17",0.450211458902762,0,0,0.549788541097238
"119","2x18",0,0,0,0
"120","2x19",0,0.329200395845454,0,0.670799604154546
"121","2x20",0.635162004575598,0,0,0.364837995424402
"122","2x21",0.582614045282108,0,0,0.417385954717892
"123","2x22",0,0.336859099142099,0,0.663140900857901
"124","2x23",1,0,0,0
"125","2x24",0.289463383765965,0,0.311006049553462,0.399530566680573
"126","2x25",0.901741149244503,0,0.0982588507554968,0
"127","2x26",0.60734477174479,0,0.109027133015352,0.283628095239858
"128","2x27",0.6890435122583,0.3109564877417,0,0
"129","2x28",0,0.356791715425783,0.341096389736438,0.302111894837779
"130","2x29",0.63750385346374,0,0,0.36249614653626
"131","2x30",0,0.163504522620589,0,0.836495477379411
"132","2x31",0.74306387408843,0.25693612591157,0,0
"133","2x32",0.358108087184801,0,0,0.641891912815199
"134","2x33",0.730610933181348,0,0.269389066818652,0
"135","2x34",0.741970832314361,0.258029167685639,0,0
"136","2x35",0.59486407702435,0,0,0.40513592297565
"137","2x36",1,0,0,0
"138","2x37",0.521160679156854,0,0.216178334556702,0.262660986286444
"139","2x38",0.299741914717605,0.17591747896719,0.253052231001589,0.271288375313616
"140","2x39",0.604468228422146,0,0,0.395531771577854
"141","2x40",1,0,0,0
"142","2x41",1,0,0,0
"143","2x42",0.581656075446335,0,0,0.418343924553665
"144","2x43",0.892360656470508,0,0.107639343529492,0
"145","2x44",0.781003256737253,0,0,0.218996743262747
"146","2x45",1,0,0,0
"147","2x46",0.506478119914655,0,0.216789010331224,0.276732869754122
"148","2x47",0.587305520386876,0,0.17782305235707,0.234871427256054
