"","cell_ID","Ductal","Cancer","mDCs","pDCs","Macrophages","Mast","T","Monocytes"
"51","1x0",0,1,0,0,0,0,0,0
"52","1x1",0.187417631506297,0.812582368493703,0,0,0,0,0,0
"53","1x2",0.100490244321981,0.703684187842073,0.195825567835945,0,0,0,0,0
"54","1x3",0.205127161452363,0.543264255980457,0.25160858256718,0,0,0,0,0
"55","1x4",0.0724445837966755,0.927555416203324,0,0,0,0,0,0
"56","1x5",0,1,0,0,0,0,0,0
"57","1x6",0,1,0,0,0,0,0,0
"58","1x7",0,1,0,0,0,0,0,0
"59","1x8",0.177345608674164,0.822654391325836,0,0,0,0,0,0
"60","1x9",0,1,0,0,0,0,0,0
"61","1x10",0,0.244642207033056,0.110820512418078,0,0.543315212016643,0,0,0.101222068532223
"62","1x11",0,1,0,0,0,0,0,0
"63","1x12",0.323918661252409,0.676081338747591,0,0,0,0,0,0
"64","1x13",0,1,0,0,0,0,0,0
"65","1x14",0,1,0,0,0,0,0,0
"66","1x15",0.102466479870211,0.897533520129789,0,0,0,0,0,0
"67","1x16",0,0.749118899506321,0,0,0,0.250881100493679,0,0
"68","1x17",0.191405775380012,0.808594224619988,0,0,0,0,0,0
"69","1x18",0,0.871539113279307,0.128460886720693,0,0,0,0,0
"70","1x19",0,0.83669227123716,0.16330772876284,0,0,0,0,0
"71","1x20",0.100332877178501,0.471866930512591,0,0,0.427800192308907,0,0,0
"72","1x21",0.234537203499774,0.541133042976312,0,0,0,0.110774021287639,0,0.113555732236275
"73","1x22",0.178153304607576,0.387030046537205,0.20537549342796,0,0,0.229441155427259,0,0
"74","1x23",0,0.683458909733039,0.316541090266961,0,0,0,0,0
"75","1x24",0,0.744442597796022,0.255557402203978,0,0,0,0,0
"76","1x25",0,0.498801070556342,0.122879021648913,0,0.378319907794744,0,0,0
"77","1x26",0,0.529019352563172,0,0,0.105646481441254,0,0,0.365334165995574
"78","1x27",0.247356946810604,0.377780427412855,0.374862625776541,0,0,0,0,0
"79","1x28",0.250527005502268,0.402126000034222,0,0,0.135886844028451,0,0,0.211460150435058
"80","1x29",0.380636220140097,0.1068960125395,0,0,0.354904708079004,0,0,0.157563059241399
"81","1x30",0,0.456137345201241,0.208216098816355,0,0.211356151827814,0.124290404154589,0,0
"82","1x31",0,0.509639443380336,0,0,0.25551867476937,0,0,0.234841881850294
"83","1x32",0.213876920725713,0.24086166021784,0,0,0.545261419056447,0,0,0
"84","1x33",0,0.467706817163931,0.275757958795754,0,0.256535224040315,0,0,0
"85","1x34",0.229855680024987,0.315067065677967,0,0,0.215256351977498,0.239820902319548,0,0
"86","1x35",0.334481844463506,0.164075608947698,0.246489528711033,0,0.254953017877763,0,0,0
"87","1x36",0.187225680733915,0.389546733799839,0,0,0.213678258265584,0.209549327200663,0,0
"88","1x37",0.329719781658708,0.141175223005413,0.155375088016572,0,0,0.14162984596212,0,0.232100061357186
"89","1x38",0.192868382484731,0.353187851121514,0,0,0.453943766393755,0,0,0
"90","1x39",0,0.549540214223259,0,0,0,0.167606095343893,0,0.282853690432849
"91","1x40",0,0.247092914693336,0.493159884976466,0,0,0.259747200330197,0,0
"92","1x41",0,0.277587147981861,0,0,0.722412852018139,0,0,0
"93","1x42",0.30385464907173,0.206373527594804,0.489771823333465,0,0,0,0,0
"94","1x43",0,0.203155575966526,0,0,0.692105981849116,0,0,0.104738442184358
