,x,y
14x4,14,4
14x5,14,5
14x6,14,6
14x7,14,7
14x8,14,8
14x9,14,9
14x10,14,10
14x11,14,11
14x12,14,12
14x13,14,13
14x14,14,14
14x15,14,15
14x16,14,16
14x17,14,17
14x18,14,18
14x19,14,19
14x20,14,20
14x21,14,21
14x22,14,22
14x23,14,23
14x24,14,24
14x25,14,25
14x26,14,26
14x27,14,27
14x28,14,28
14x29,14,29
14x30,14,30
14x31,14,31
14x32,14,32
14x33,14,33
14x34,14,34
14x35,14,35
14x36,14,36
14x37,14,37
14x38,14,38
14x39,14,39
14x40,14,40
14x41,14,41
14x42,14,42
14x43,14,43
14x44,14,44
14x45,14,45
14x46,14,46
14x47,14,47
14x48,14,48
14x49,14,49
15x0,15,0
15x1,15,1
15x2,15,2
15x3,15,3
15x4,15,4
15x5,15,5
15x6,15,6
15x7,15,7
15x8,15,8
15x9,15,9
15x10,15,10
15x11,15,11
15x12,15,12
15x13,15,13
15x14,15,14
15x15,15,15
15x16,15,16
15x17,15,17
15x18,15,18
15x19,15,19
15x20,15,20
15x21,15,21
15x22,15,22
15x23,15,23
15x24,15,24
15x25,15,25
15x26,15,26
15x27,15,27
15x28,15,28
15x29,15,29
15x30,15,30
15x31,15,31
15x32,15,32
15x33,15,33
15x34,15,34
15x35,15,35
15x36,15,36
15x37,15,37
15x38,15,38
15x39,15,39
15x40,15,40
15x41,15,41
15x42,15,42
15x43,15,43
15x44,15,44
15x45,15,45
15x46,15,46
15x47,15,47
15x48,15,48
15x49,15,49
16x0,16,0
16x1,16,1
16x2,16,2
16x3,16,3
16x4,16,4
16x5,16,5
16x6,16,6
16x7,16,7
16x8,16,8
16x9,16,9
16x10,16,10
16x11,16,11
16x12,16,12
16x13,16,13
16x14,16,14
16x15,16,15
16x16,16,16
16x17,16,17
16x18,16,18
16x19,16,19
16x20,16,20
16x21,16,21
16x22,16,22
16x23,16,23
16x24,16,24
16x25,16,25
16x26,16,26
16x27,16,27
16x28,16,28
16x29,16,29
16x30,16,30
16x31,16,31
16x32,16,32
16x33,16,33
16x34,16,34
16x35,16,35
16x36,16,36
16x37,16,37
16x38,16,38
16x39,16,39
16x40,16,40
16x41,16,41
16x42,16,42
16x43,16,43
16x44,16,44
16x45,16,45
16x46,16,46
16x47,16,47
16x48,16,48
16x49,16,49
17x0,17,0
17x1,17,1
17x2,17,2
17x3,17,3
17x4,17,4
17x5,17,5
17x6,17,6
17x7,17,7
17x8,17,8
17x9,17,9
17x10,17,10
17x11,17,11
17x12,17,12
17x13,17,13
17x14,17,14
17x15,17,15
17x16,17,16
17x17,17,17
17x18,17,18
17x19,17,19
17x20,17,20
17x21,17,21
17x22,17,22
17x23,17,23
17x24,17,24
17x25,17,25
17x26,17,26
17x27,17,27
17x28,17,28
17x29,17,29
17x30,17,30
17x31,17,31
17x32,17,32
17x33,17,33
17x34,17,34
17x35,17,35
17x36,17,36
17x37,17,37
17x38,17,38
17x39,17,39
17x40,17,40
17x41,17,41
17x42,17,42
17x43,17,43
17x44,17,44
17x45,17,45
17x46,17,46
17x47,17,47
17x48,17,48
17x49,17,49
18x0,18,0
18x1,18,1
18x2,18,2
18x3,18,3
18x4,18,4
18x5,18,5
18x6,18,6
18x7,18,7
