"","Cancer","Ductal","Stroma","coordX","coordY"
"2x11",0.457015148896847,0.368471668665217,0.174513182437936,2,11
"2x12",0.506776737379784,0.313238730518805,0.179984532101411,2,12
"2x13",0.170846669617414,0.151185699087418,0.677967631295168,2,13
"2x14",0.463395194077616,0.334567886705645,0.202036919216739,2,14
"2x15",0.50685062027458,0.319567576584202,0.173581803141217,2,15
"2x16",0.402579158911933,0.227480863210178,0.36993997787789,2,16
"2x17",0.48589455712268,0.287965851665228,0.226139591212092,2,17
"2x18",0.389142510344395,0.24783393317556,0.363023556480045,2,18
"2x19",0.343485259372665,0.364438387952953,0.292076352674383,2,19
"2x20",0.413551745056812,0.281802663784176,0.304645591159012,2,20
"2x21",0.375329219132043,0.265993345220974,0.358677435646984,2,21
"2x22",0.359957652884619,0.347274471343164,0.292767875772217,2,22
"2x23",0.351597426741691,0.283550391018452,0.364852182239857,2,23
"2x24",0.407659057312797,0.244584454719871,0.347756487967331,2,24
"2x25",0.305762595950571,0.326231843482801,0.368005560566628,2,25
"2x26",0.371870675654968,0.266441196915818,0.361688127429214,2,26
"2x27",0.270006252668486,0.219640575324341,0.510353172007173,2,27
"2x28",0.220441627885905,0.169003677448891,0.610554694665204,2,28
"2x29",0.341090387205123,0.329202559974907,0.32970705281997,2,29
"2x30",0.300600781712494,0.286289316011726,0.41310990227578,2,30
"2x31",0.299921306897282,0.210705213951236,0.489373479151482,2,31
"2x32",0.280691074805414,0.279452100204404,0.439856824990182,2,32
"2x33",0.29700249631245,0.239966475329142,0.463031028358409,2,33
"2x34",0.318426616316817,0.334092684011928,0.347480699671255,2,34
"2x35",0.336132105285642,0.299493680964233,0.364374213750125,2,35
"2x36",0.202556869866594,0.239864787436604,0.557578342696802,2,36
"2x37",0.309884372581358,0.352453210860761,0.337662416557881,2,37
"2x38",0.296380870548749,0.159127965713833,0.544491163737418,2,38
"2x39",0.215051126808971,0.358309147345621,0.426639725845408,2,39
"2x40",0.244876134171997,0.245980675655915,0.509143190172088,2,40
"2x41",0.269560102348502,0.324969696223818,0.405470201427681,2,41
"2x42",0.274399866096365,0.243683810669012,0.481916323234623,2,42
"2x43",0.21324796095542,0.199369593615352,0.587382445429229,2,43
"2x44",0.240891629230923,0.371799876017603,0.387308494751474,2,44
"2x45",0.261147503207369,0.280575721440197,0.458276775352434,2,45
"2x46",0.222638821868828,0.198982417138662,0.578378760992509,2,46
"2x47",0.238351423087863,0.167077285000189,0.594571291911949,2,47
"2x48",0.247918138479332,0.284339401728857,0.46774245979181,2,48
"2x49",0.259567346693923,0.287574254206029,0.452858399100048,2,49
"3x0",0.42157317525928,0.314321362007912,0.264105462732808,3,0
"3x1",0.501503883817048,0.328448591723621,0.17004752445933,3,1
"3x2",0.457480756567298,0.386108147639644,0.156411095793059,3,2
"3x3",0.455418349949094,0.371367999617404,0.173213650433503,3,3
"3x4",0.498228196527987,0.314889702072084,0.18688210139993,3,4
"3x5",0.488913766092486,0.334202985962115,0.1768832479454,3,5
"3x6",0.481451896701775,0.327536969179599,0.191011134118626,3,6
"3x7",0.474670522476344,0.329201840166062,0.196127637357594,3,7
"3x8",0.267562791612751,0.202545491984773,0.529891716402476,3,8
"3x9",0.427536413398486,0.39300349320216,0.179460093399354,3,9
"3x10",0.486568415981739,0.325930734871505,0.187500849146756,3,10
"3x11",0.503065566384061,0.329625142191934,0.167309291424005,3,11
"3x12",0.407968761181119,0.330329675703891,0.261701563114989,3,12
"3x13",0.483922716852887,0.367932357039096,0.148144926108017,3,13
"3x14",0.340037987038219,0.25662539167675,0.403336621285031,3,14
"3x15",0.471345485754522,0.334308747357927,0.194345766887551,3,15
"3x16",0.457460961476158,0.309084538217325,0.233454500306517,3,16
"3x17",0.471864989316533,0.363683771958764,0.164451238724703,3,17
"3x18",0.476010695690199,0.26420890397386,0.259780400335941,3,18
"3x19",0.434563847401576,0.316412034436637,0.249024118161787,3,19
"3x20",0.3695262151178,0.235740372913757,0.394733411968442,3,20
"3x21",0.320817782456728,0.257350847926445,0.421831369616827,3,21
"3x22",0.433145609524256,0.245547874994433,0.321306515481311,3,22
"3x23",0.415796556789327,0.277820779658447,0.306382663552226,3,23
"3x24",0.285800114652734,0.316024479106752,0.398175406240515,3,24
"3x25",0.27385575991265,0.233123596117623,0.493020643969727,3,25
