"","Ductal","Cancer","Stroma","coordX","coordY"
"7x14",0.156297717277735,0.728388170221705,0.11531411250056,7,14
"7x15",0.131928672081723,0.728618872267095,0.139452455651182,7,15
"7x16",0.175286128388042,0.704212830319622,0.120501041292336,7,16
"7x17",0.143510388734458,0.727359158358758,0.129130452906784,7,17
"7x18",0.188722475357886,0.684043078773217,0.127234445868897,7,18
"7x19",0.228837480419315,0.458021529642752,0.313140989937933,7,19
"7x20",0.318019262270627,0.50792400456733,0.174056733162043,7,20
"7x21",0.217155236674998,0.517139922132373,0.26570484119263,7,21
"7x22",0.131868058119814,0.472621467328696,0.395510474551491,7,22
"7x23",0.173695708390565,0.420625205318954,0.405679086290481,7,23
"7x24",0.159088749618103,0.543926610803562,0.296984639578336,7,24
"7x25",0.164291879803576,0.352104910787245,0.483603209409179,7,25
"7x26",0.113265856340251,0.33015636089201,0.556577782767739,7,26
"7x27",0.112194167037824,0.313316816536012,0.574489016426164,7,27
"7x28",0.0935608781249522,0.221164376592803,0.685274745282245,7,28
"7x29",0.157480247143982,0.229058192334246,0.613461560521772,7,29
"7x30",0.145217372717897,0.287270825900359,0.567511801381744,7,30
"7x31",0.171127675117574,0.375204386320532,0.453667938561894,7,31
"7x32",0.166782835135373,0.161116836228001,0.672100328636625,7,32
"7x33",0.0931071733492214,0.271080744787662,0.635812081863117,7,33
"7x34",0.250841028195186,0.1181980719701,0.630960899834714,7,34
"7x35",0.172929810213688,0.241338048173501,0.585732141612811,7,35
"7x36",0.150401898527886,0.287799027559287,0.561799073912827,7,36
"7x37",0.100287227512931,0.190996953718882,0.708715818768187,7,37
"7x38",0.188144659988992,0.127036445964601,0.684818894046407,7,38
"7x39",0.184936162160996,0.386436142964675,0.428627694874329,7,39
"7x40",0.330015049693766,0.145395280147209,0.524589670159025,7,40
"7x41",0.190854803657166,0.345186112594763,0.463959083748071,7,41
"7x42",0.139471973590247,0.28691755457775,0.573610471832004,7,42
"7x43",0.276332756019927,0.28887612170156,0.434791122278513,7,43
"7x44",0.233857344518876,0.278288072114047,0.487854583367077,7,44
"7x45",0.132246193391579,0.347190221751107,0.520563584857314,7,45
"7x46",0.109610044773965,0.171328463907815,0.71906149131822,7,46
"7x47",0.17603596982265,0.241855840408664,0.582108189768686,7,47
"7x48",0.331134604197433,0.25045942838628,0.418405967416286,7,48
"7x49",0.291233319225769,0.425678830213646,0.283087850560586,7,49
"8x0",0.166836510225634,0.716107104989135,0.11705638478523,8,0
"8x1",0.146871560479895,0.665298722391843,0.187829717128262,8,1
"8x2",0.100946524781332,0.788794480937401,0.110258994281268,8,2
"8x3",0.230657033586676,0.650925108329532,0.118417858083792,8,3
"8x4",0.14231795551603,0.724645109364032,0.133036935119938,8,4
"8x5",0.165699815682194,0.727222782653211,0.107077401664595,8,5
"8x6",0.132423073300655,0.721780404440308,0.145796522259038,8,6
"8x7",0.156565901903665,0.718197551511055,0.12523654658528,8,7
"8x8",0.167486576377079,0.707532747646215,0.124980675976706,8,8
