"","E","M","S"
"76x24",0.000379963172848861,0.925425385185476,0.0687801140286014
"92x50",0.00077543504660468,0.576826236722389,0.304881584735719
"39x47",0.000379963172845772,0.649417797877626,0.182976772765391
"42x48",0.000542804532641222,0.946664864961114,0.0983735032318331
"40x24",0.629471979896369,0.000379963172845759,0.691068409112482
"74x36",0.00877645569304058,0.920618020061713,0.000379963172841032
"10x22",0.162404318508362,0.000441700132142957,0.953890801169241
"61x55",0.000186181954703494,0.757981118553068,0.000186181954689785
"44x38",0.0985666224500752,0.000594740057208749,1.0245834297333
"92x60",0.000265974220992042,0.000265974220992042,1.5014056315653
"93x35",0.00290201522304611,0.716025679865203,0.000379963172854269
"41x53",0.00873187823887776,0.919281037011275,0.000265974220985408
"18x18",0.142605569582001,0.000265974220991984,1.33369368012711
"27x29",0.307079687460386,0.000265974220992143,1.40581305919467
"6x62",0.000542804532636818,0.783817728320986,0.162566368449063
"54x60",0.000265974220986177,0.825901037691809,0.0444726634648017
"68x36",0.0149243839948276,0.938755244528312,0.000542804532636815
"27x27",0.217544957270833,0.000186181954694525,1.23323475768282
"77x35",0.00251879117557624,0.93297571258244,0.000379963172839125
"29x39",0.000379963172845773,0.056479377145994,1.01807766925086
"80x36",0.00533161885634508,0.980832662898087,0.00037996317284107
"39x59",0.0031959042433862,0.928957509825649,0.00817529384000889
"73x59",0.00037996317284578,0.196862097866391,0.659318590763617
"69x53",0.000542804532636824,0.389802499731668,0.452631022488845
"23x65",0.000542804532653638,0.925378872340335,0.0251055945306145
"35x57",0.00382773461858293,0.839251367356476,0.000959329944757775
"68x50",0.000379963172845771,0.485535007710546,0.385153733937894
"73x35",0.00842451059237324,0.886572252657143,0.000265974220993545
"81x57",0.000265974220992037,0.0637297841804038,1.11320915647035
"87x27",0.00392453208851842,0.921778604510982,0.000379963172841033
"38x24",0.534310864703868,0.000542804532636818,0.688592436187483
"46x30",0.00037996317284577,0.000552749691757511,1.02003631035812
"21x63",0.00636265688048941,0.872800122034805,0.000379963172836293
"26x60",0.00776629216761572,0.89332503577187,0.000542804532630046
"1x59",0.000542804532636822,0.740439605308538,0.0695289841554609
"81x25",0.00740394990261834,0.956835776421479,0.000379963172846451
"92x44",0.000379963172761495,0.930691339145738,0.0277793279084455
"31x33",0.365284679230073,0.000542804532636792,0.947776270003441
"25x41",0.0395207100236904,0.310214165975579,0.429743085216862
"48x62",0.00444223373928217,0.899591492767223,0.00554500145054954
"10x28",0.000265974220992037,0.000310674115120766,1.19136747006796
"27x49",0.00301960514880698,0.922714000107405,0.000379963172836293
"80x52",0.0005428045326368,0.635328966860189,0.386165189913165
"85x57",0.000542804532630854,0.451808813176688,0.670845749178732
"34x46",0.000379963172845772,0.653575090392294,0.36396826677935
"30x36",0.183187130652017,0.000381311736952064,1.05551680404023
"38x52",0.000265974220979916,0.857111614823388,0.053588266598825
"19x23",0.283259103869959,0.000312783519950559,1.11354756806337
"37x67",0.000379963172774114,0.846148642068901,0.0538980073432153
"46x52",0.0041787534566419,0.855310518918651,0.000379963172846207
"86x48",0.000998436776703118,0.820386716184537,0.024566088028508
"57x57",0.00451721869552596,0.865838954344049,0.000265974220985405
"7x25",0.0954277775043079,0.000501881381168175,1.02484865728667
"2x46",0.000542804532636817,0.616019086336648,0.360760267062177
"33x69",0.00914176388216947,0.856484110038104,0.000379963172841032
"79x39",0.00105913090856659,0.885396647092926,0.000186181954702251
"16x52",0.0748159104813519,1.16150502498357,0.000379963172845772
"92x32",0.000186181954753145,0.712824995964401,0.000186181954689782
"15x51",0.000775435046624024,0.537313184396843,0.346838095837763
"30x48",0.034865273933893,0.992844807064468,0.054881450357848
"78x44",0.00206750465307435,0.825182126854995,0.000379963172836293
"59x25",0.000379963172845769,0.551837727449533,0.794459333565642
"16x30",0.00026597422099204,0.000284202099861258,1.39231263668355
"35x19",0.094775475451508,0.000265974220992032,1.1002175386856
"9x65",0.000379963172771827,0.812460781015534,0.0180159935155963
"27x55",0.00037996317286899,0.92734724282298,0.0051763677103004
"32x66",0.00861864303294538,1.01681917029844,0.000379963172845771
"50x40",0.0832138768342157,0.54984449938484,0.578543753541017
"66x58",0.000775435046639373,0.705856230764677,0.211144762796356
"5x59",0.000379963172845773,0.492018427997997,0.404861247415032
"63x51",0.000542804532636816,0.663400090826395,0.16367211980145
"9x63",0.000542804532650357,0.597769470278264,0.341138736460954
"58x66",0.000379963172762525,0.769269981424715,0.0212248289084349
"63x49",0.000542804532636817,0.781575243855744,0.133437024194164
"83x45",0.000379963172864517,0.777024976272708,0.00696024958017159
"9x67",0.00748320503397803,0.949135072751913,0.000379963172841033
