"","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"0x35",0.41539208140566,0.159280194504525,0.17881186550456,0.246515858585255,0,35
"0x36",0.355120858910912,0.165390879263799,0.244154250097722,0.235334011727567,0,36
"0x37",0.373134068645261,0.205498061177787,0.131201867208233,0.290166002968719,0,37
"0x38",0.332136231069985,0.191100906567499,0.159621077536826,0.31714178482569,0,38
"0x39",0.445051124091922,0.178439920038364,0.159337485747291,0.217171470122423,0,39
"0x40",0.342103850488533,0.174201819500177,0.232757346943709,0.250936983067581,0,40
"0x41",0.294013229152835,0.174640522850174,0.129794303512398,0.401551944484593,0,41
"0x42",0.312243569634694,0.20215249762555,0.203817954550808,0.281785978188948,0,42
"0x43",0.362803698715721,0.18314838966564,0.1837585768763,0.270289334742339,0,43
"0x44",0.347691145442965,0.153854789067225,0.235884640975321,0.262569424514489,0,44
"0x45",0.333454208651015,0.184254822927678,0.173697555348463,0.308593413072844,0,45
"0x46",0.333204540091712,0.174339160803782,0.246882094171563,0.245574204932943,0,46
"0x47",0.377182681394145,0.178283442721686,0.174460778191924,0.270073097692245,0,47
"0x48",0.32410513285197,0.158427342310198,0.155975659932959,0.361491864904873,0,48
"0x49",0.385307720752807,0.204970370417368,0.167869992201749,0.241851916628075,0,49
"1x0",0.407402674654943,0.158797742974868,0.191835807784993,0.241963774585196,1,0
"1x1",0.438444284748172,0.140427919420865,0.187238407635216,0.233889388195748,1,1
"1x2",0.430075276906456,0.161499525085727,0.190252447975542,0.218172750032275,1,2
"1x3",0.416464287489154,0.174129033576951,0.182125357744739,0.227281321189156,1,3
"1x4",0.364733745083992,0.145551555963012,0.206679310494947,0.283035388458049,1,4
"1x5",0.402869149494051,0.114230207994224,0.224548391078973,0.258352251432752,1,5
"1x6",0.393431005133423,0.170358599894425,0.200167787543381,0.23604260742877,1,6
"1x7",0.452873034414216,0.138156367341275,0.197652182421954,0.211318415822556,1,7
"1x8",0.37763920638338,0.171566487525617,0.222138147717503,0.228656158373499,1,8
"1x9",0.384379645362992,0.177982894378053,0.215981248401617,0.221656211857338,1,9
