"","Cancer","Stroma","Ductal","coordX","coordY"
"2x9",0.712315151770863,0.124113146104391,0.163571702124747,2,9
"2x10",0.660820722263345,0.144229376910883,0.194949900825772,2,10
"2x11",0.697944791107481,0.129135059795922,0.172920149096597,2,11
"2x12",0.775354556765291,0.121102290442438,0.103543152792271,2,12
"2x13",0.203571442107493,0.677769764518813,0.118658793373694,2,13
"2x14",0.691430719864696,0.147752657375683,0.160816622759621,2,14
"2x15",0.694123896323428,0.139974869111717,0.165901234564855,2,15
"2x16",0.571639616221951,0.321254951420886,0.107105432357163,2,16
"2x17",0.654701897848588,0.205379182096231,0.139918920055181,2,17
"2x18",0.574593389764734,0.330475115456363,0.0949314947789028,2,18
"2x19",0.502484118725204,0.260224762951097,0.2372911183237,2,19
"2x20",0.610076359741081,0.255514005699239,0.13440963455968,2,20
"2x21",0.456666515584976,0.322231844992803,0.221101639422221,2,21
"2x22",0.507826595065567,0.229572053315308,0.262601351619124,2,22
"2x23",0.447372293350895,0.334652715520028,0.217974991129076,2,23
"2x24",0.518314336738062,0.307533327092008,0.17415233616993,2,24
"2x25",0.50508228582792,0.339884939586983,0.155032774585097,2,25
"2x26",0.455820435537598,0.314535017086363,0.229644547376038,2,26
"2x27",0.440786891356399,0.422485112330313,0.136727996313288,2,27
"2x28",0.236736929557765,0.590058875686452,0.173204194755783,2,28
"2x29",0.405538320877477,0.30676750515963,0.287694173962893,2,29
"2x30",0.377376917131909,0.353528878442776,0.269094204425316,2,30
"2x31",0.299218265289208,0.490693685631189,0.210088049079603,2,31
"2x32",0.321836860354929,0.373111876813347,0.305051262831724,2,32
"2x33",0.336517539652908,0.464770231114967,0.198712229232125,2,33
"2x34",0.408047700261589,0.364632970359882,0.22731932937853,2,34
"2x35",0.500528735448095,0.313645896475378,0.185825368076527,2,35
"2x36",0.327807713220661,0.552820862475112,0.119371424304227,2,36
"2x37",0.288404832502459,0.312678900637014,0.398916266860527,2,37
"2x38",0.253526898627769,0.530205815442853,0.216267285929378,2,38
"2x39",0.254936169649233,0.39977456865283,0.345289261697937,2,39
"2x40",0.263814333125029,0.523212866360683,0.212972800514287,2,40
"2x41",0.248215404469824,0.407304052851262,0.344480542678914,2,41
"2x42",0.311755219979875,0.423791268948411,0.264453511071714,2,42
"2x43",0.24418984685494,0.552679147199214,0.203131005945847,2,43
"2x44",0.220456802052517,0.388510296967767,0.391032900979716,2,44
"2x45",0.285593431625049,0.414256673842255,0.300149894532696,2,45
"2x46",0.217998009409412,0.602477842193273,0.179524148397315,2,46
"2x47",0.201529012632392,0.614914503196375,0.183556484171233,2,47
"2x48",0.26740489416749,0.444524808617358,0.288070297215153,2,48
"2x49",0.251074443853173,0.415407220734772,0.333518335412055,2,49
"3x0",0.627725850205886,0.208339871135953,0.163934278658161,3,0
"3x1",0.621214201421031,0.10997189972558,0.268813898853389,3,1
"3x2",0.746276526244695,0.131421471091522,0.122302002663783,3,2
"3x3",0.640807022974856,0.107833178083574,0.251359798941569,3,3
"3x4",0.700970037849349,0.129399825897781,0.16963013625287,3,4
"3x5",0.719161409515066,0.124280804467673,0.156557786017261,3,5
"3x6",0.754145828872848,0.119812439301239,0.126041731825913,3,6
"3x7",0.711587536752764,0.149195296789853,0.139217166457384,3,7
"3x8",0.408547424762367,0.482170435938512,0.10928213929912,3,8
"3x9",0.63333171896137,0.120862700118463,0.245805580920166,3,9
"3x10",0.674711111240927,0.131462157719214,0.193826731039859,3,10
"3x11",0.77318044389388,0.121008123467505,0.105811432638615,3,11
"3x12",0.629099587103235,0.213627571579984,0.157272841316781,3,12
"3x13",0.682926052869054,0.112819823706907,0.204254123424039,3,13
"3x14",0.551846562052621,0.350285980425318,0.0978674575220607,3,14
"3x15",0.705091777091953,0.123008697309185,0.171899525598862,3,15
"3x16",0.646444960070624,0.197538080796848,0.156016959132528,3,16
"3x17",0.742961689384059,0.127527768974316,0.129510541641624,3,17
"3x18",0.67121951694836,0.170254783396537,0.158525699655102,3,18
"3x19",0.621513620346299,0.185840423497853,0.192645956155848,3,19
"3x20",0.583094995562877,0.300740144078211,0.116164860358912,3,20
"3x21",0.383357412457336,0.399510982223859,0.217131605318806,3,21
"3x22",0.655920662959562,0.252196251429535,0.0918830856109029,3,22
"3x23",0.558379189818952,0.272606574626001,0.169014235555047,3,23
"3x24",0.429161798879884,0.37495181441801,0.195886386702106,3,24
"3x25",0.315501538400742,0.474977038197946,0.209521423401311,3,25
"3x26",0.380014263284975,0.428048986323086,0.19193675039194,3,26
"3x27",0.428283185180566,0.33844860595301,0.233268208866424,3,27
"3x28",0.383657523083656,0.302165687163995,0.314176789752349,3,28
"3x29",0.452537194714638,0.388648173294805,0.158814631990557,3,29
"3x30",0.296517800358662,0.502123330361428,0.20135886927991,3,30
"3x31",0.340324579087064,0.516164211086275,0.14351120982666,3,31
"3x32",0.448234573564129,0.373026408693082,0.178739017742789,3,32
"3x33",0.347493921679127,0.547017499679238,0.105488578641635,3,33
"3x34",0.22576363541171,0.597617191131188,0.176619173457102,3,34
"3x35",0.180984868404404,0.546483588622438,0.272531542973158,3,35
