"","Ductal","Cancer","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"0x26",0.154014413485668,0.414109869760429,0.0997343642810716,0.154749085473303,0.102257410486574,0.0751348565129539,0,26
"0x27",0.121148851974747,0.335018827503284,0.0776035203644246,0.272541715770856,0.0912969989715469,0.102390085415141,0,27
"0x28",0.106176642468772,0.203930928929768,0.165313234928209,0.229349392748246,0.154603596240257,0.140626204684748,0,28
"0x29",0.112470420249774,0.269393457540349,0.2709581749097,0.204550221245527,0.031872048968293,0.110755677086357,0,29
"0x30",0.192730497295567,0.288904201885236,0.131515173582441,0.142147124171085,0.0427177963414562,0.201985206724215,0,30
"0x31",0.154351533614246,0.350672984255314,0.200757807136461,0.12029178180193,0.0649045670675788,0.10902132612447,0,31
"0x32",0.0489507344085941,0.338935146886326,0.31703917741065,0.104847997751035,0.0451111097460701,0.145115833797324,0,32
"0x33",0.126522050757861,0.434709199925649,0.16315808134891,0.151316664433886,0.0401080371125393,0.0841859664211544,0,33
"0x34",0.0735470298721284,0.273300522670807,0.0303562866314637,0.191293553927817,0.311531374435877,0.119971232461907,0,34
"0x35",0.0845738894669202,0.221291806804425,0.234559820906715,0.225044028423298,0.151779501760062,0.0827509526385794,0,35
"0x36",0.141340494786167,0.26562470103601,0.0918327280860369,0.164810254120825,0.213042452949632,0.12334936902133,0,36
"0x37",0.147538982480978,0.239747911117587,0.202669380627385,0.222215229170556,0.0319392598344685,0.155889236769025,0,37
"0x38",0.243962210056974,0.239771376939536,0.0748665745544318,0.205569173457163,0.0412616601264246,0.194569004865471,0,38
"0x39",0.160029447947757,0.221525614824068,0.320094965002861,0.154251719395989,0.0561558357407171,0.0879424170886086,0,39
"0x40",0.174178674721365,0.26043005390604,0.188454752087935,0.111589104440482,0.12387088072,0.141476534124178,0,40
"0x41",0.20510742580586,0.099093948824454,0.220074396324176,0.22651657415286,0.0192212681273683,0.229986386765281,0,41
"0x42",0.107775565274279,0.13201873965665,0.199170303679978,0.209639554170085,0.190937077883854,0.160458759335154,0,42
"0x43",0.223195325835995,0.243418253086112,0.154383896341775,0.227266298462276,0.0539235271441811,0.0978126991296605,0,43
"0x44",0.28822671805893,0.112381506428237,0.125051791968059,0.242454640382124,0.142385639271144,0.0894997038915047,0,44
"0x45",0.105340761557524,0.304475482937953,0.0457990324433603,0.311073350087285,0.0406341164769147,0.192677256496964,0,45
"0x46",0.150287827316161,0.219384836039242,0.165072937708356,0.212930466341871,0.166445171072254,0.0858787615221159,0,46
"0x47",0.25176434123622,0.138387840053855,0.0892648834476884,0.322694114081729,0.063956483788919,0.133932337391589,0,47
"0x48",0.131873697228128,0.17039516867936,0.294077172269903,0.148348512395122,0.0601360681555899,0.195169381271897,0,48
"0x49",0.232072037578388,0.258469477227155,0.0564071382269184,0.274179652927711,0.0332767260709092,0.145594967968918,0,49
"1x0",0.17587079771451,0.530867187064257,0.0162671096630156,0.13885193168924,0.046186753449393,0.0919562204195837,1,0
"1x1",0.185384952922229,0.495427847227965,0.0550443543256509,0.118513022045635,0.0465411258936757,0.099088697584844,1,1
"1x2",0.123315650730078,0.476728321935453,0.129279807971599,0.131314482837273,0.0317029725039557,0.107658764021641,1,2
"1x3",0.187703385599875,0.361167625032599,0.187837638990826,0.113957901268194,0.0661248432328638,0.0832086058756419,1,3
"1x4",0.174421124938741,0.549162831375086,0.0156761767731801,0.0904199443172439,0.0805677976143603,0.0897521249813892,1,4
"1x5",0.0848202597248621,0.597523375114453,0.0493801365374868,0.072464395437604,0.0969679466162822,0.0988438865693122,1,5
"1x6",0.145450720312999,0.545067496642962,0.0332604704305694,0.116123669358538,0.0677502564271986,0.0923473868277331,1,6
"1x7",0.0720172867508163,0.650079503638632,0.0829592447297849,0.064571094850074,0.0540671735743908,0.0763056964563021,1,7
"1x8",0.183137128416323,0.510768550256537,0.0520040685335432,0.0862705848445598,0.0689013622625488,0.098918305686488,1,8
"1x9",0.139608888304836,0.578905088140016,0.0388252329563142,0.0994120318234408,0.0486588610888214,0.0945898976865716,1,9
"1x10",0.0269263147306952,0.194400642251533,0.27184665569494,0.285840301862517,0.0386334849554114,0.182352600504904,1,10
"1x11",0.106999084515026,0.559968475889329,0.0909717165490838,0.0839310230417916,0.0639183697816066,0.0942113302231625,1,11
"1x12",0.224032513796055,0.433251517037416,0.0774693076486815,0.132023587275381,0.0546889412731705,0.0785341329692956,1,12
"1x13",0.106093116828301,0.529926604735791,0.122812117715512,0.0703944343943799,0.0651944540372337,0.105579272288782,1,13
