"","Macrophages","Mast","mDCs","Monocytes"
"1x21",0.127333365706219,0.184455777507262,0.395074076307736,0.0872374603019028
"1x22",0.0665289786814734,0.258800140778214,0.500480352657757,0.0244635638924019
"1x23",0.0777484934447912,0.0681704529244175,0.673537512794551,0.0532231341854448
"1x24",0.0990317192339253,0.102160870082157,0.610972881186844,0.0390904506315881
"1x25",0.0845097673929555,0.0474226091002137,0.770986550592209,0.0306709753649474
"1x26",0.0999099751353406,0.102451877637126,0.437951415142831,0.256532905439598
"1x27",0.0617749332053517,0.0510661380201245,0.767892475275553,0.0539714308097884
"1x28",0.117766523450741,0.0932778917859422,0.602378009225058,0.0775158744554571
"1x29",0.147543484569564,0.0933120602314135,0.525387940940887,0.150809941615526
"1x30",0.0869995748567993,0.174202903364402,0.677312554183389,0.0282906467391166
"1x31",0.038938435443634,0.0681112226320604,0.692069163504911,0.173212727564914
"1x32",0.0708518656918257,0.100002019297987,0.72132194319756,0.058293428307043
"1x33",0.0428081235628984,0.0567224572311659,0.816673558902606,0.0223885046878537
"1x34",0.0670969635633592,0.257723414970981,0.529741561599712,0.0389986630953984
"1x35",0.119189386843978,0.0901265698517413,0.730524858000376,0.0420309876418467
"1x36",0.15494245635135,0.242662644059424,0.417649275966425,0.053851495359294
"1x37",0.115149479444512,0.216188294254591,0.456531807821269,0.115608798710026
"1x38",0.0533504357651984,0.0503950964977308,0.815865137949956,0.0700800527328479
"1x39",0.0993492492196536,0.239359143266652,0.39989920036467,0.108681254499194
"1x40",0.0726127687484367,0.200495877990656,0.715883142937872,0.0219674637719949
"1x41",0.161200600260636,0.0459492454026737,0.737093199799305,0.0481880976690409
"1x42",0.0590610345293181,0.0914307521901098,0.758753080475736,0.0270575103932291
"1x43",0.0826607325972639,0.0274170038477687,0.860735563798441,0.1003441816849
"1x44",0.0656980633116932,0.0364628996601038,0.906465727515929,0.00849559646532565
"1x45",0.0379596712712898,0.119324739812605,0.762792323507572,0.035333163810623
"1x46",0.173571063832027,0.231594394621129,0.329362181159858,0.13585704398731
"1x47",0.163779336380542,0.0637308580695476,0.656311044008714,0.0599269055398571
"1x48",0.0692511737435078,0.0994621213679919,0.686116259685811,0.0258966610129508
"1x49",0.0571947308899462,0.205175752492886,0.592239769356361,0.0314323730360009
"2x0",0.0744613277900688,0.146826962542565,0.526377228538406,0.034899920670655
"2x1",0.0624924111325564,0.182282628948942,0.524594872823714,0.0322857780782304
"2x2",0.115326914486787,0.17426043394091,0.408486752213675,0.037538557842449
"2x3",0.0772382658103212,0.183342420516835,0.465244427835821,0.0255876743643214
"2x4",0.0783804407291622,0.18716694533419,0.455525280070585,0.0339564215016169
"2x5",0.0493196953193922,0.160401879171232,0.543087533715911,0.0253454531574563
"2x6",0.061496209612791,0.169128715318932,0.662339261137338,0.040651930719042
"2x7",0.0636474335406753,0.247454346307248,0.39006501097324,0.0220886517544824
"2x8",0.0644451322131659,0.197777985147669,0.425720182100257,0.0520974566282919
"2x9",0.0604045654654246,0.193742303214485,0.425865483809354,0.0310108916257434
"2x10",0.0693691106570352,0.232187746625382,0.392395413729373,0.0414969448465683
"2x11",0.090133193130917,0.235276480287706,0.357132581079946,0.0471245880754343
