"","Ductal","Cancer","Stroma"
"1x2",0.0711066933897688,0.725441146030034,0.203452160580197
"1x3",0.159175018536786,0.581708600864528,0.259116380598686
"1x4",0.188288537002881,0.783670299062881,0.0280411639342377
"1x5",0.0301713694906326,0.866298481765674,0.103530148743693
"1x6",0.158067192493178,0.778171730542233,0.0637610769645895
"1x7",0.150921147260652,0.827295639000202,0.0217832137391456
"1x8",0.222027945334045,0.742705271676131,0.035266782989824
"1x9",0.135909666697904,0.832724202285579,0.0313661310165164
"1x10",0.0829676924099757,0.879574804920118,0.0374575026699067
"1x11",0.179647943587508,0.731106997579439,0.0892450588330532
"1x12",0.26183679944318,0.628548835879419,0.109614364677401
"1x13",0.0743751321537216,0.776734392677623,0.148890475168655
"1x14",0.0869115387681507,0.808021793681652,0.105066667550198
"1x15",0.18768185982494,0.738656079317979,0.0736620608570811
"1x16",0.0928545069952407,0.579014332797191,0.328131160207569
"1x17",0.170641759424779,0.711899011275095,0.117459229300125
"1x18",0.188329342874631,0.660560255498608,0.151110401626762
"1x19",0.160036815612824,0.627616578843858,0.212346605543318
"1x20",0.11516351807163,0.540367850117625,0.344468631810745
"1x21",0.281808935398496,0.533411427037603,0.184779637563901
"1x22",0.176525623049604,0.487510568008812,0.335963808941584
"1x23",0.0662585023333114,0.570779613417898,0.362961884248791
"1x24",0.0347408461685972,0.666287099877445,0.298972053953957
"1x25",0.104949434095379,0.50236834639097,0.392682219513651
"1x26",0.142802545388662,0.538664569615937,0.318532884995402
"1x27",0.196633524492395,0.384794138248781,0.418572337258824
"1x28",0.223413611058664,0.457103095122116,0.319483293819219
"1x29",0.433323661990506,0.140650158457001,0.426026179552492
"1x30",0.160757631335042,0.363390480071364,0.475851888593594
"1x31",0.12372318189502,0.455566550549452,0.420710267555528
"1x32",0.282803464611373,0.288146503797044,0.429050031591584
"1x33",0.0980407667066046,0.451030646273655,0.45092858701974
"1x34",0.224947269759812,0.328347503680008,0.44670522656018
"1x35",0.175581746572903,0.341309997976288,0.483108255450809
"1x36",0.228960924847578,0.427112012691085,0.343927062461337
"1x37",0.311454036923389,0.258548989532488,0.429996973544123
"1x38",0.231175869960649,0.353565417374181,0.41525871266517
"1x39",0.104396630451244,0.556830069720192,0.338773299828564
"1x40",0.0933936779508609,0.316380560641759,0.59022576140738
"1x41",0.115762767975786,0.280952850423178,0.603284381601037
"1x42",0.227681985121599,0.285872455263108,0.486445559615293
"1x43",0.110234493667213,0.299769623708041,0.589995882624747
"1x44",0.240498218634772,0.208522197161939,0.55097958420329
"1x45",0.150888136870674,0.355099757845304,0.494012105284021
"1x46",0.219356767441292,0.400601620022795,0.380041612535913
"1x47",0.253316111257128,0.266403955772606,0.480279932970266
"1x48",0.368982968762331,0.374752608841792,0.256264422395877
"1x49",0.148938895709536,0.442741770024432,0.408319334266031
"2x0",0.109622315378568,0.753468009324498,0.136909675296934
"2x1",0.0588671973280272,0.787511465335562,0.153621337336411
"2x2",0.156369110315681,0.773717259031323,0.0699136306529953
"2x3",0.172166718317752,0.811549441093896,0.016283840588352
"2x4",0.161594793980196,0.789110484331448,0.0492947216883561
"2x5",0.0996089756309924,0.678017961448367,0.22237306292064
"2x6",0.0545182774321435,0.872126778053417,0.0733549445144393
"2x7",0.0704440545144138,0.915327305671924,0.0142286398136627
"2x8",0.0292691788350577,0.926188782791695,0.0445420383732472
"2x9",0.0531567080288101,0.90425404275384,0.0425892492173496
"2x10",0.0819852285846202,0.852701018173133,0.0653137532422465
"2x11",0.12933626937901,0.837216075004305,0.0334476556166852
"2x12",0.00838410615421685,0.982910634187402,0.00870525965838094
"2x13",0.0383837823832444,0.907197847642211,0.0544183699745445
"2x14",0.0735294444087759,0.893914434724802,0.0325561208664219
"2x15",0.0963654611718156,0.881763984849606,0.0218705539785787
"2x16",0.0684118789472861,0.630201615944224,0.30138650510849
