,region_ind,region,gene,lfc,pval,padj
13362,1,blue,Smarca2,2.0312462,0.2983572336935121,1.0
13363,1,blue,Vldlr,1.4319459,0.9520226332109347,1.0
13364,1,blue,Pum3,0.0050788126,4.999292645560762e-90,6.433589705572144e-86
13365,1,blue,Rfx3,0.24973239,0.0031894579485066887,0.9999923554627302
13366,1,blue,Glis3,1.257972,0.885801372616345,1.0
13367,1,blue,Slc1a1,-0.4268951,0.6463054041890258,1.0
13368,1,blue,Plpp6,-0.024031105,3.745720809974766e-09,1.8623550481604762e-05
13369,1,blue,Cdc37l1,0.34978685,7.355122392303279e-36,5.726698294647333e-32
13370,1,blue,Ak3,0.019121364,2.2604689399290223e-45,1.9600526178124553e-41
13371,1,blue,Rcl1,-0.18064182,3.7300598276484676e-97,4.95389245709993e-93
13372,1,blue,Jak2,1.0133376,2.3465223935932652e-26,1.6207430172548683e-22
13373,1,blue,Insl6,-1.233918,1.1122086889086848e-75,1.2858244652473304e-71
13374,1,blue,Plgrkt,-0.14387164,3.05907261311773e-95,4.035834498486221e-91
13375,1,blue,Cd274,0.23768933,5.106722191289427e-37,4.0373745644334205e-33
13376,1,blue,Pdcd1lg2,0.8418537,7.01257451687615e-07,0.003214996143408505
13377,1,blue,A930007I19Rik,0.9694351,0.6859608078616717,1.0
13378,1,blue,Ric1,0.7388979,3.3590113748413465e-18,2.029514672679121e-14
13379,1,blue,Ermp1,-0.17986341,1.958482519577695e-89,2.5095995005868586e-85
13380,1,blue,9930021J03Rik,0.40962943,1.0624325731830086e-25,7.269163665718145e-22
13381,1,blue,Ranbp6,0.6169275,1.0095781346863332e-07,0.00048044376628285525
13382,1,blue,Il33,0.92406476,4.782705542520255e-16,2.779230190754659e-12
13383,1,blue,Uhrf2,0.2321164,3.447676928943211e-86,4.326489778130835e-82
13384,1,blue,Gldc,-0.91856337,2.6891655470548077e-07,0.0012574694505327467
13385,1,blue,Prkg1,1.1775297,0.9854226220653706,1.0
13386,1,blue,Cstf2t,1.6895368,0.4133382489406423,1.0
13387,1,blue,Asah2,0.4569795,6.323094592054321e-10,3.217185354302467e-06
13388,1,blue,Sgms1,0.18522751,1.1018010502824114e-35,8.566503165945749e-32
13389,1,blue,2700046G09Rik,0.44805717,0.1372371383751468,1.0
13390,1,blue,Rpl9-ps6,0.41761073,2.3137256157320513e-30,1.6804589147061888e-26
13391,1,blue,Minpp1,0.012017488,3.390551049586095e-89,4.3395662883652435e-85
13392,1,blue,Papss2,1.2348655,0.5708891495972436,1.0
13393,1,blue,Atad1,0.0009507507,5.93576145565332e-89,7.581748107305986e-85
13394,1,blue,Pten,0.5395435,8.424952015222685e-72,9.429206295437229e-68
13395,1,blue,Lipo3,0.227691,2.0089347123319212e-16,1.1780393153107449e-12
13396,1,blue,Stambpl1,0.4984945,3.140891964425953e-33,2.366976184391398e-29
13397,1,blue,Acta2,0.28853408,2.492703888772153e-10,1.2817475183273398e-06
13398,1,blue,Fas,0.60327667,1.0735283110007503e-07,0.0005104397733879395
13399,1,blue,Ch25h,0.11107962,9.12626895096971e-16,5.2722455729613065e-12
13400,1,blue,Lipa,0.20887181,4.255387897644792e-79,5.060507287879187e-75
13401,1,blue,Ifit2,-0.48383495,1.5708738138303765e-55,1.5096097350909918e-51
13402,1,blue,Ifit3,0.007940218,7.53570083038083e-61,7.601261427605144e-57
13403,1,blue,Ifit1bl1,-0.13546082,2.0555028354579777e-10,1.0594056003334129e-06
