"","cell_ID","Ductal","Cancer","mDCs","Macrophages","Mast","Monocytes"
"50","0x49",0.427429815106466,0.219486221260979,0,0.353083963632555,0,0
"51","1x0",0,1,0,0,0,0
"52","1x1",0.195978919148746,0.804021080851254,0,0,0,0
"53","1x2",0.111390621547036,0.700536808342054,0.18807257011091,0,0,0
"54","1x3",0.168449561173492,0.5561667742108,0.275383664615707,0,0,0
"55","1x4",0.0749506609518647,0.925049339048135,0,0,0,0
"56","1x5",0,1,0,0,0,0
"57","1x6",0,1,0,0,0,0
"58","1x7",0,1,0,0,0,0
"59","1x8",0.180982162041452,0.819017837958548,0,0,0,0
"60","1x9",0,1,0,0,0,0
"61","1x10",0,0.247194075378645,0.113913300497628,0.530490364523728,0,0.108402259599998
"62","1x11",0,1,0,0,0,0
"63","1x12",0.331230236522439,0.668769763477562,0,0,0,0
"64","1x13",0,1,0,0,0,0
"65","1x14",0,1,0,0,0,0
"66","1x15",0.101278535481964,0.898721464518036,0,0,0,0
"67","1x16",0,0.734636419427583,0,0,0.265363580572417,0
"68","1x17",0.186408973285277,0.691311972518389,0.122279054196334,0,0,0
"69","1x18",0,0.856812468778963,0.143187531221037,0,0,0
"70","1x19",0,0.831281054575797,0.168718945424203,0,0,0
"71","1x20",0.10460713000138,0.470379772047319,0,0.425013097951301,0,0
"72","1x21",0.250980366314786,0.52947412486205,0,0,0.108778228461069,0.110767280362094
"73","1x22",0.197572505961814,0.373431820744513,0.19286088200602,0,0.236134791287654,0
"74","1x23",0,0.688560566148059,0.311439433851941,0,0,0
"75","1x24",0,0.743925019445615,0.256074980554385,0,0,0
"76","1x25",0,0.495316465360296,0.123611563428629,0.381071971211075,0,0
"77","1x26",0,0.538765121092886,0,0.101049804286878,0,0.360185074620236
"78","1x27",0.248536302111809,0.374666723679428,0.376796974208763,0,0,0
"79","1x28",0.236226059726991,0.416378925365397,0,0.14270853784485,0,0.204686477062762
"80","1x29",0.404542397229297,0.104695745249109,0,0.332856245656765,0,0.157905611864829
"81","1x30",0,0.472988259526298,0.201307551904598,0.1965277717583,0.129176416810804,0
"82","1x31",0,0.525747765523955,0,0.247338995002292,0,0.226913239473753
"83","1x32",0.234609878866619,0.253267974779639,0,0.512122146353742,0,0
"84","1x33",0,0.473380004812236,0.242622759720446,0.283997235467318,0,0
"85","1x34",0.236526594798671,0.322900553686285,0,0.205688414707654,0.234884436807389,0
"86","1x35",0.33993792828616,0.165250465364635,0.219475416384975,0.275336189964231,0,0
"87","1x36",0.179718617778403,0.419631469563376,0,0.200059915713227,0.200589996944994,0
"88","1x37",0.360829556210315,0.141964930333123,0,0.126252562296676,0.152512038414523,0.218440912745363
"89","1x38",0.200343423241804,0.358778902945663,0,0.440877673812534,0,0
"90","1x39",0,0.561144687889814,0,0,0.168425966153865,0.27042934595632
"91","1x40",0,0.25970672790514,0.484080758398955,0,0.256212513695905,0
"92","1x41",0,0.282898633270221,0,0.717101366729779,0,0
"93","1x42",0.320426647812161,0.20426272072591,0.475310631461928,0,0,0
"94","1x43",0,0.201291382160961,0,0.689977297012204,0,0.108731320826835
