"","cell_ID","mDCs","Macrophages","Mast","Monocytes"
"38","0x37",0.831119333011138,0.168880666988862,0,0
"39","0x38",0.207891001253856,0.599735037388758,0,0.192373961357385
"40","0x39",0.874737586961778,0,0,0.125262413038222
"41","0x40",0.407246402177038,0,0.592753597822963,0
"42","0x41",1,0,0,0
"43","0x42",0.282430055927362,0,0.717569944072638,0
"44","0x43",0.838975613360904,0,0,0.161024386639096
"45","0x44",0.2338647312098,0,0.7661352687902,0
"46","0x45",1,0,0,0
"47","0x46",0.280440143482425,0,0.719559856517575,0
"48","0x47",1,0,0,0
"49","0x48",1,0,0,0
"50","0x49",0.648488217670782,0.222329986461567,0.129181795867651,0
"51","1x0",0.166054551900236,0.386098304801763,0.203340044794491,0.24450709850351
"52","1x1",0.29791202824188,0.378862510331889,0.32322546142623,0
"53","1x2",0.827137195170026,0,0,0.172862804829974
"54","1x3",0.769897390530046,0,0.0954457906279159,0.134656818842039
"55","1x4",0.200227463268566,0.4352859312997,0.111535090579116,0.252951514852618
"56","1x5",0,0,0.85571487141305,0.144285128586951
"57","1x6",0.138177287373281,0.526983202230229,0.33483951039649,0
"58","1x7",0.203025563526346,0.432380309875274,0.36459412659838,0
"59","1x8",0.1141519109514,0.453365251680719,0.432482837367881,0
"60","1x9",0.242278994816033,0.240138997801951,0.316857821888248,0.200724185493768
"61","1x10",1,0,0,0
"62","1x11",0.628857730405074,0,0.114385363482545,0.25675690611238
"63","1x12",0.256438039509425,0.407126752830264,0.336435207660311,0
"64","1x13",0.6978341128566,0,0.124056559105873,0.178109328037527
"65","1x14",0.225937469881407,0,0.370110390439282,0.403952139679311
"66","1x15",0.255730221243615,0.148443945628105,0.488886678926479,0.106939154201801
"67","1x16",0.106630068374709,0,0.893369931625291,0
"68","1x17",0.658556088169188,0,0.218393581060051,0.123050330770761
"69","1x18",0.419996833633701,0.383070069016753,0,0.196933097349546
"70","1x19",0.882737773439626,0.00963068675458594,0.107631539805788,0
"71","1x20",0.883086682803111,0,0,0.116913317196889
"72","1x21",0,1,0,0
"73","1x22",0.301366320403113,0,0.698633679596887,0
"74","1x23",1,0,0,0
"75","1x24",0.766185289437022,0.233814710562978,0,0
"76","1x25",0.999922525498977,7.74745010229134e-05,0,0
"77","1x26",0.30020496182609,0,0,0.69979503817391
"78","1x27",0.871369555765485,0,0,0.128630444234515
"79","1x28",0.724926633129301,0.114552371066882,0,0.160520995803817
"80","1x29",0.766415084886243,0,0,0.233584915113757
"81","1x30",0.568292059477669,0,0.431707940522331,0
"82","1x31",0.749020418461641,0,0,0.250979581538359
"83","1x32",0.828611263217654,0,0,0.171388736782346
"84","1x33",1,0,0,0
"85","1x34",0.188822253865793,0,0.811177746134207,0
"86","1x35",1,0,0,0
"87","1x36",0,0.239395227411577,0.760604772588423,0
"88","1x37",0.28008725192556,0,0.71991274807444,0
"89","1x38",1,0,0,0
"90","1x39",0,0.174980354818034,0.648938249602468,0.176081395579498
"91","1x40",0.333297709339805,0,0.666702290660195,0
"92","1x41",1,0,0,0
"93","1x42",1,0,0,0
"94","1x43",1,0,0,0
"95","1x44",1,0,0,0
"96","1x45",0.754474661067746,0,0.245525338932254,0
"97","1x46",0,0.204971195989391,0.702690051997632,0.092338752012977
"98","1x47",1,0,0,0
"99","1x48",0.74789398768892,0.145304127888107,0.106801884422974,0
"100","1x49",0,0,1,0
"101","2x0",0.400975480571319,0.465601001674213,0,0.133423517754467
"102","2x1",0.781786699872374,0,0,0.218213300127626
"103","2x2",0,0.635121997442099,0.321190105235236,0.0436878973226651
"104","2x3",0.310485936661652,0.182904624167642,0.405150399882169,0.101459039288537
"105","2x4",0.267326690304756,0.300146973960899,0.432526335734345,0
"106","2x5",0.849434641389889,0,0.150565358610111,0
"107","2x6",0.446686253728427,0,0.553313746271573,0
"108","2x7",0.449621762274668,0,0.550378237725332,0
"109","2x8",0,0.507028533645173,0,0.492971466354827
"110","2x9",0.381759513998623,0,0.618240486001377,0
"111","2x10",0.347723963212255,0,0.47364973864498,0.178626298142765
"112","2x11",0.236124600652701,0,0.562194864965189,0.201680534382109
"113","2x12",0.181992845297642,0.170242559117082,0.52430783839833,0.123456757186945
"114","2x13",0.640201712423585,0,0.359798287576415,0
"115","2x14",0.131149815641338,0.265379653184806,0.500411359525144,0.103059171648713
"116","2x15",0.0784245694384012,0.49134147136019,0.430233959201409,0
"117","2x16",0.808062265977392,0.191937734022608,0,0
"118","2x17",0.639917332360704,0,0.360082667639296,0
"119","2x18",0.811473151255005,0.188526848744995,0,0
"120","2x19",0.275386922036269,0.417103508967134,0.153905457312979,0.153604111683618
"121","2x20",0.635851021024877,0.243536589765833,0.120612389209291,0
"122","2x21",0,0,1,0
"123","2x22",0.300159649649633,0.324307120471555,0.176062318229229,0.199470911649583
"124","2x23",0.787914298124428,0,0,0.212085701875572
"125","2x24",0,0,1,0
"126","2x25",0.839529373670319,0.160470626329681,0,0
"127","2x26",0.364853906428504,0,0.635146093571496,0
"128","2x27",0.777208728596812,0,0,0.222791271403188
"129","2x28",0,0,1,0
"130","2x29",1,0,0,0
"131","2x30",0,0.103984028960189,0.732521811400972,0.163494159638839
"132","2x31",0.893915978970641,0,0,0.106084021029359
"133","2x32",0.712994287374349,0,0,0.287005712625651
"134","2x33",0.148057105563865,0,0.851942894436135,0
"135","2x34",0.399193073794651,0,0.600806926205349,0
"136","2x35",1,0,0,0
"137","2x36",1,0,0,0
"138","2x37",0.398256636293703,0,0.601743363706297,0
"139","2x38",0.255801814126335,0,0.744198185873665,0
"140","2x39",1,0,0,0
"141","2x40",0.872196526702487,0,0,0.127803473297513
"142","2x41",1,0,0,0
"143","2x42",0.548134164005943,0,0.451865835994057,0
"144","2x43",1,0,0,0
"145","2x44",0.294473662402132,0,0.705526337597868,0
"146","2x45",0.879345375662325,0,0,0.120654624337675
"147","2x46",0.483989275884829,0,0.516010724115171,0
"148","2x47",0.536035120391731,0,0.463964879608269,0
"149","2x48",0.179776492353509,0,0.820223507646491,0
"150","2x49",0.254128000800891,0,0.745871999199109,0
"151","3x0",0,0.357167554856235,0.642832445143765,0
"152","3x1",0.0237765417276753,0.605412171355186,0.370811286917138,0
"153","3x2",0.214777662789794,0.42879354693614,0.356428790274067,0
"154","3x3",0.123747825291501,0,0.547966747106887,0.328285427601612
"155","3x4",0.22936882547196,0.175867971320611,0.488689375583118,0.106073827624312
