"","Ductal","Cancer","mDCs","pDCs","Macrophages","Mast","T","Monocytes"
"39x14",0.652737285108355,0.12921502450402,0.0741726252773346,0.0817687876977429,0,0.00358324406603289,0.0585230333465144,0
"39x15",0.739966487357493,0.130793918060549,0.0504094474732442,0.0469628465200567,0,0,0.0314667866767634,0.000400513911892882
"39x16",0.745424296574282,0.0353259715072383,0,0.0170161817265436,0.00304612473888638,0.0178742003553961,0.136102905446426,0.0452103196512268
"39x17",0.686247804316708,0.0167050583043771,0.00116695357338959,0.0393968117227765,0,0.0283381318122418,0.148328882462229,0.0798163578082775
"39x18",0.754209365702223,0.0859446974409882,0,0.0520516085185431,0,0.0171033385014862,0.0906909898367599,0
"39x19",0.786409626306243,0.0366801775385541,0,0.0143593443938747,0,0.0267671660566522,0.135783685704676,0
"39x20",0.738293162756576,0.152184970940462,0,0.0457725604191625,0,0.0595703988908619,0.00417890699293797,0
"39x21",0.775404236466107,0.00957230679072656,0,0.0191004156823969,0,0.0407241540190037,0.155198887041765,0
"39x22",0.8320515950367,0.0105416730462047,0,0.0155701628347208,0,0.0499342597713549,0.0911260765689824,0.000776232742037164
"39x23",0.815396732879022,0.017596151085403,0,0.00148656153665555,0,0.0336782374919462,0.131842317006974,0
"39x24",0.704822907666611,0.0969022877781994,0,0.00767455402182395,0,0.043093161444615,0.14750708908875,0
"39x25",0.690832743193654,0.149324542278038,0,0.0282703558788351,0,0.00753270257530752,0.124039656074165,0
"39x26",0.782288307576206,0.0592914152990475,0,0.093965380538072,0,0.0402319592833615,0.0242229373033126,0
"39x27",0.688138726100656,0.114225630935067,0,0.00192759961607969,0,0.0345874693945828,0.161120573953615,0
"39x28",0.848514102995781,0,0,0.0540223252319027,0,0.0244174851424627,0.0730460866298535,0
"39x29",0.870216902120961,0.00368810515761926,0,0.0665120932091778,0,0.037661721056183,0.0219211784560594,0
"39x30",0.736362568779223,0.0696574699367792,0,0.00257793609153215,0,0.0615685664676168,0.129833458724849,0
"39x31",0.667174065503644,0.0630690847799064,0,0.0129837841992572,0,0.0173342609021393,0.22747697072845,0.0119618338866033
"39x32",0.722071634744026,0.0953188466782407,0,0.064034415831325,0,0.058893845587337,0.0596812571590714,0
"39x33",0.731761329923558,0.0599096002528545,0,0.081862419568414,0,0.0190482814795541,0.107418368775619,0
"39x34",0.82725984584186,0.0505893319111168,0,0.0289173047404674,0,2.99567558190042e-05,0.0932035607507364,0
"39x35",0.876230931700717,0,0,0,0,0.0225737494288352,0.101195318870447,0
"39x36",0.79925614201219,0.0231767120525878,0,0.0520012636348257,0,0.0354117388903094,0.0901541434100871,0
"39x37",0.778597041668173,0.069058273501453,0,0.0474599655079843,0,0.0188432680343029,0.0794377525681563,0.00660369871993077
"39x38",0.839402986158913,0.0471046482377874,0,0.0697812368713744,0,0.0401712053687209,0.0035399233632046,0
"39x39",0.791650633567355,0,0,0.00707889923412139,0,0.030716771415666,0.169479762161303,0.00107393362155411
"39x40",0.747219288640245,0.125688938486014,0,0.0261570740537739,0,0.0419065368797502,0.0590281619402173,0
"39x41",0.853416277528998,0,0,0.0555153779774501,0,0.0653202430948997,0.0257481013986521,0
"39x42",0.752817525301442,0.104089981405712,0,0.034666211335656,0,0.00242972216410417,0.105996559793087,0
"39x43",0.735152720939758,0.0307985182455628,0.0720746695272863,0.0190649475558312,0.0287244196308561,0.000694949187432303,0.107017653891532,0.00647212102174125
"39x44",0.629652416359101,0.105261418323761,0,0.0851722389380035,0,0.0171836326863265,0.0351545579979445,0.127575735694863
"39x45",0.573483980048134,0.13511374617119,0.000318066013960363,0.120772564705072,0.0385005079881875,0.014377306026838,0.093967031585197,0.0234667974614207
"39x46",0.688811724295849,0.0193037170625189,0.0727214642165042,0.0762095201106496,0,0,0.0162514248422096,0.126702149472269
"39x47",0.612478262533252,0.0409998385159143,0,0.116331238026009,0.103781785355784,0.029873530918593,0.068478238391108,0.0280571062593399
"39x48",0.405764889015117,0.195158915443471,0.0261167717656609,0.1617528818468,0.0254188296394176,0.00076445070731192,0.185023261582221,0
"39x49",0.419322231427071,0.0963389607716114,0.194043270625358,0.160754465027565,0.0291127158224106,0.0139416868168834,0.0813478589367571,0.005138810572343
"40x0",0.37218449021896,0.153029014717149,7.42371087705939e-05,0.135083608102126,0.0728161444992464,0.00909788598330198,0.146452924820423,0.111261694550024
"40x1",0.486903357010266,0.166229474115092,0.0112279219624526,0.0961734213306332,0.0147551512376914,0.0993913235843131,0.125319350759552,0
"40x2",0.470981294331149,0.22808775792893,0.0891915398724901,0.0300789746255279,0.0618148439473345,0.0231553181798523,0.096690271114716,0
"40x3",0.488711517298874,0.0658279914073814,0.0823175464831289,0.0854997253010613,0,0,0.202428778021857,0.0752144414876974
"40x4",0.554678503291536,0.104143757544159,0,0.0108859911786631,0,0.163688122989462,0.0439258928888615,0.122677732107318
