	Macrophages	Mast	Monocytes	mDCs
3x13	0.14614047	0.24336103	0.3176601	0.2928384
3x14	0.03566803	0.2644391	0.28020793	0.41968492
3x15	0.1343245	0.19758664	0.2766229	0.39146593
3x16	0.10230088	0.23290393	0.34903452	0.31576064
3x17	0.09579314	0.2660673	0.33009377	0.30804583
3x18	0.16309713	0.24846852	0.3245099	0.26392445
3x19	0.14525919	0.23192677	0.29914233	0.32367173
3x20	0.1360491	0.16639318	0.34259665	0.354961
3x21	0.18712173	0.2568832	0.37493515	0.1810599
3x22	0.22129782	0.14504367	0.26986945	0.36378905
3x23	0.07412375	0.21594624	0.32480955	0.38512048
3x24	0.10098684	0.23632337	0.32464558	0.33804414
3x25	0.17586575	0.21544114	0.3530301	0.25566304
3x26	0.13957042	0.14662206	0.31342828	0.4003792
3x27	0.18829544	0.26254395	0.3737564	0.17540419
3x28	0.15859862	0.21469553	0.26529315	0.36141276
3x29	0.16650623	0.20501836	0.32196516	0.3065103
3x30	0.15743603	0.06289489	0.41183442	0.36783463
3x31	0.162336	0.10723501	0.44051066	0.28991833
3x32	0.060719334	0.076921016	0.29115522	0.5712044
3x33	0.15489972	1.7497081e-12	0.45300823	0.39209205
3x34	0.07445335	0.07038772	0.54438233	0.31077668
3x35	0.11434532	0.16970076	0.5504694	0.16548447
3x36	0.09083323	0.21685334	0.4211601	0.27115333
3x37	0.22649898	0.2333597	0.35669348	0.18344784
3x38	0.22708549	0.10068466	0.43203023	0.24019958
3x39	0.11681008	0.23930192	0.33364305	0.31024495
3x40	0.2499576	2.6423989e-12	0.5004445	0.24959797
3x41	0.11925002	0.1039122	0.395	0.38183776
3x42	0.21708207	0.15225224	0.33757827	0.29308745
3x43	0.06526892	0.18848473	0.36150366	0.38474265
3x44	0.18526033	0.20710774	0.42689615	0.18073581
3x45	0.16852707	0.1438154	0.47866672	0.20899086
3x46	0.15029198	0.18407191	0.53147537	0.1341607
3x47	0.14616036	0.20567758	0.43258417	0.21557793
3x48	0.14728643	0.17566183	0.35880196	0.31824988
3x49	0.11152479	0.20154496	0.42618483	0.26074538
4x0	0.15937433	0.24285103	0.28998533	0.30778933
4x1	0.13568363	0.20799601	0.23941658	0.41690373
4x2	0.1624074	0.26830775	0.3372947	0.23199007
4x3	0.105000556	0.23928061	0.30819678	0.3475221
4x4	0.12629479	0.22791658	0.32232538	0.32346323
4x5	0.13740543	0.29243544	0.28140008	0.28875902
4x6	0.119412154	0.24833159	0.30537593	0.32688028
4x7	0.14060324	0.21450105	0.31636545	0.32853025
4x8	0.0871246	0.23981558	0.3133274	0.35973236
4x9	0.11971784	0.2617748	0.25233275	0.36617452
4x10	0.12395077	0.17703883	0.3282932	0.37071714
4x11	0.14222303	0.26516575	0.28198007	0.3106312
4x12	0.13670917	0.20872211	0.30944294	0.3451258
4x13	0.16095881	0.23175512	0.29188854	0.31539756
4x14	0.09902288	0.186389	0.31285408	0.40173402
4x15	0.15233019	0.22436684	0.27768236	0.34562054
4x16	0.16624439	0.19609773	0.29826528	0.33939266
4x17	0.15627824	0.19299646	0.3468219	0.30390343
4x18	0.08824945	0.21564603	0.35346928	0.34263518
4x19	0.12967789	0.22435619	0.324365	0.32160088
4x20	0.17461304	0.19504811	0.26824144	0.3620974
4x21	0.112953186	0.22299726	0.32782406	0.33622554
4x22	0.17299937	0.23135549	0.2677164	0.32792872
4x23	0.05782662	0.15106481	0.27724513	0.51386344
4x24	0.09931846	0.26050514	0.28744385	0.35273254
4x25	0.14774321	0.26727504	0.34018812	0.24479365
4x26	0.043389115	0.15834738	0.3925362	0.4057273
4x27	0.05071715	0.24684815	0.38896507	0.31346962
4x28	0.019800767	0.18786128	0.36094624	0.43139172
4x29	0.06447916	0.33734998	0.32667598	0.2714949
4x30	0.16213864	0.26081717	0.33095437	0.24608977
4x31	0.23834094	0.15276542	0.39490563	0.21398808
4x32	0.21847162	4.977542e-12	0.5045987	0.27692977
4x33	0.13713011	0.21818621	0.3753049	0.26937878
4x34	0.10918923	0.19213128	0.35812297	0.3405565
4x35	0.13287371	0.18706876	0.34763017	0.33242735
4x36	0.23230372	0.07157085	0.44325495	0.25287056
4x37	0.121406384	0.22125909	0.4764891	0.18084548
4x38	0.13913085	0.24669431	0.38981715	0.22435766
4x39	0.10700747	0.12043606	0.41934094	0.35321552
4x40	0.04258011	0.18945713	0.5415688	0.22639391
4x41	0.14441755	0.25860268	0.4525955	0.14438428
4x42	0.17097157	0.0136718955	0.4480323	0.36732426
