"","Cancer","Stroma","Ductal","coordX","coordY"
"11x0",0.560937257940628,0.213274833053865,0.225787909005508,11,0
"11x1",0.593753540395954,0.259113727511131,0.147132732092915,11,1
"11x2",0.733255237470556,0.128538264638124,0.13820649789132,11,2
"11x3",0.78930243570053,0.134602544559326,0.0760950197401433,11,3
"11x4",0.720158929589151,0.123107106137021,0.156733964273828,11,4
"11x5",0.700709330458246,0.125836837928617,0.173453831613137,11,5
"11x6",0.745955339058265,0.115728554439759,0.138316106501976,11,6
"11x7",0.682911489279787,0.131767195661886,0.185321315058327,11,7
"11x8",0.727197367892429,0.126890601950797,0.145912030156774,11,8
"11x9",0.728823575079239,0.0985864433829508,0.17258998153781,11,9
"11x10",0.769825952731496,0.120621264747488,0.109552782521016,11,10
"11x11",0.698482926280778,0.122479181444773,0.179037892274449,11,11
"11x12",0.70440745098651,0.120666952001325,0.174925597012165,11,12
"11x13",0.694470461019263,0.11767849147713,0.187851047503607,11,13
"11x14",0.715489921458375,0.155073179816075,0.129436898725551,11,14
"11x15",0.715694441846254,0.133020310084136,0.15128524806961,11,15
"11x16",0.732433645830051,0.153128462437165,0.114437891732784,11,16
"11x17",0.682390338727871,0.162827822630166,0.154781838641964,11,17
"11x18",0.767565825745519,0.133390976281059,0.099043197973422,11,18
"11x19",0.621848145521577,0.249072150159939,0.129079704318484,11,19
"11x20",0.516437559031556,0.390026142706422,0.0935362982620215,11,20
"11x21",0.621169707283098,0.247933653933014,0.130896638783888,11,21
"11x22",0.552491804665772,0.301464508689837,0.146043686644391,11,22
"11x23",0.471724829254591,0.46294818134253,0.0653269894028796,11,23
"11x24",0.317532430054375,0.598157213788002,0.0843103561576229,11,24
"11x25",0.323458875283315,0.563064097543699,0.113477027172985,11,25
"11x26",0.234355021097596,0.712656482678841,0.0529884962235635,11,26
"11x27",0.191364607570575,0.702549537595755,0.106085854833669,11,27
"11x28",0.312833707750459,0.578293971574739,0.108872320674803,11,28
"11x29",0.234805671037785,0.588973708772114,0.176220620190101,11,29
"11x30",0.138000996535805,0.670799841283995,0.191199162180201,11,30
"11x31",0.219382494307892,0.663032776005554,0.117584729686554,11,31
"11x32",0.318006621875976,0.536512417709448,0.145480960414575,11,32
"11x33",0.163229895756009,0.742598247065657,0.0941718571783344,11,33
"11x34",0.104212379601779,0.83092018966519,0.0648674307330304,11,34
"11x35",0.0955587311310007,0.738734902742133,0.165706366126866,11,35
"11x36",0.196636189958355,0.677923078618973,0.125440731422672,11,36
"11x37",0.171797025869544,0.625474310098922,0.202728664031534,11,37
"11x38",0.227195918566772,0.545143559105697,0.227660522327531,11,38
"11x39",0.253592988216886,0.58860660720035,0.157800404582763,11,39
"11x40",0.0925238192185803,0.647123861607522,0.260352319173898,11,40
"11x41",0.277039719723446,0.517485582265082,0.205474698011472,11,41
"11x42",0.170445755036068,0.672027172557276,0.157527072406656,11,42
"11x43",0.255169790481402,0.522509734717697,0.222320474800901,11,43
"11x44",0.221109481029251,0.561925234438443,0.216965284532307,11,44
"11x45",0.317102176164444,0.553567434140544,0.129330389695012,11,45
"11x46",0.116524791370736,0.506989930486152,0.376485278143113,11,46
"11x47",0.231796188493999,0.48058746729,0.287616344216001,11,47
"11x48",0.233451422023749,0.481277032171607,0.285271545804644,11,48
"11x49",0.206076137553305,0.438689278470115,0.35523458397658,11,49
"12x0",0.620634288860341,0.211536043494548,0.167829667645111,12,0
"12x1",0.62603942940624,0.171949616474613,0.202010954119147,12,1
"12x2",0.691727469937756,0.120505337297506,0.187767192764737,12,2
"12x3",0.732870355088799,0.121664371837736,0.145465273073465,12,3
"12x4",0.75317763525384,0.122661971467485,0.124160393278676,12,4
"12x5",0.74264410003734,0.132311691461626,0.125044208501034,12,5
"12x6",0.640966948681731,0.103400813993201,0.255632237325068,12,6
"12x8",0.726662674997426,0.105916515573244,0.167420809429331,12,8
"12x9",0.736026573095392,0.119824563812791,0.144148863091817,12,9
"12x10",0.722384957641053,0.123981199703736,0.153633842655211,12,10
"12x11",0.73817097705719,0.107549655896853,0.154279367045957,12,11
"12x12",0.689018997304745,0.11462874450664,0.196352258188615,12,12
"12x13",0.721351578327171,0.128404850305916,0.150243571366913,12,13
"12x14",0.7783206480013,0.127470990941061,0.0942083610576396,12,14
"12x15",0.695288030161712,0.124267231812128,0.18044473802616,12,15
"12x16",0.75363139517082,0.1409567163791,0.105411888450081,12,16
"12x17",0.745201755856256,0.111123718522909,0.143674525620835,12,17
"12x18",0.68146148452471,0.135975931960623,0.182562583514667,12,18
"12x19",0.663370780069574,0.199758439226002,0.136870780704424,12,19
"12x20",0.593515585101455,0.253748390102088,0.152736024796458,12,20
"12x21",0.432994910534731,0.333990514241261,0.233014575224008,12,21
"12x22",0.429389259618051,0.386301397231086,0.184309343150863,12,22
"12x23",0.359374990553771,0.457569455573929,0.1830555538723,12,23
"12x24",0.244642537835383,0.657617078987719,0.0977403831768977,12,24
"12x25",0.138748020078159,0.781775842774058,0.0794761371477828,12,25
"12x26",0.283965759989885,0.634527919257965,0.08150632075215,12,26
"12x27",0.209591073778939,0.610135777351764,0.180273148869298,12,27
"12x28",0.0694644782456501,0.824653434815824,0.105882086938526,12,28
"12x29",0.169709227824637,0.728092633806776,0.102198138368587,12,29
"12x30",0.0735840740933286,0.880463248787792,0.0459526771188797,12,30
"12x31",0.153697007533051,0.791694770942439,0.0546082215245103,12,31
"12x32",0.190577114503991,0.762061906658289,0.0473609788377197,12,32
"12x33",0.191194802100484,0.663676982359763,0.145128215539754,12,33
"12x34",0.109791092054347,0.66006348392264,0.230145424023014,12,34
"12x35",0.0493786933143522,0.595802328104806,0.354818978580842,12,35
"12x36",0.160428261963376,0.708015186133197,0.131556551903427,12,36
"12x37",0.305337806774186,0.563458634893241,0.131203558332573,12,37
"12x38",0.208868799423502,0.633526207181884,0.157604993394614,12,38
"12x39",0.152668611387154,0.75012184612522,0.0972095424876267,12,39
"12x40",0.237690355404184,0.467411631146321,0.294898013449495,12,40
"12x41",0.169247916002451,0.678275422943703,0.152476661053846,12,41
"12x42",0.1677009828509,0.602914690109753,0.229384327039347,12,42
"12x43",0.301175864343376,0.433490846187099,0.265333289469525,12,43
"12x44",0.150688036794255,0.528269326957525,0.32104263624822,12,44
"12x45",0.248021250386215,0.504488706985234,0.247490042628551,12,45
"12x46",0.127219318315899,0.450021282306097,0.422759399378004,12,46
"12x47",0.138480086933483,0.560359689463715,0.301160223602802,12,47
"12x48",0.207070899076995,0.502399201730005,0.290529899193,12,48
"12x49",0.275086023432073,0.489105044388949,0.235808932178979,12,49
"13x0",0.630194090552457,0.141510099124019,0.228295810323524,13,0
"13x1",0.725383548412787,0.100617409735099,0.173999041852114,13,1
"13x2",0.674049922750919,0.131100329002892,0.194849748246189,13,2
"13x3",0.745156926258827,0.139363387324391,0.115479686416781,13,3
"13x4",0.712533485925818,0.100622909576171,0.186843604498012,13,4
