	Macrophages	Mast	Monocytes	mDCs
4x3	0.39237654	0.19064127	0.20700507	0.20997715
4x4	0.28515714	0.20178674	0.24043667	0.27261937
4x5	0.32926103	0.19202842	0.21439815	0.26431245
4x6	0.29260015	0.20101082	0.24043855	0.2659504
4x7	0.3483399	0.18590355	0.23122661	0.23452991
4x8	0.2827358	0.20646371	0.2681626	0.24263792
4x9	0.3411826	0.18443935	0.20116664	0.27321142
4x10	0.32684115	0.17647167	0.26012808	0.23655903
4x11	0.32946035	0.18944809	0.24752226	0.23356934
4x12	0.3324214	0.19183232	0.22698158	0.2487647
4x13	0.30667642	0.18265219	0.27783325	0.23283812
4x14	0.2922829	0.14432724	0.25993353	0.30345634
4x15	0.36718783	0.14846712	0.19367383	0.29067123
4x16	0.3030577	0.20940526	0.24846487	0.23907214
4x17	3.660146e-11	3.847823e-12	1.0	5.9827104e-12
4x18	9.083132e-12	3.455692e-12	0.64964956	0.35035044
4x19	1.6305911e-11	1.4139656e-12	0.07495175	0.92504823
4x20	5.175476e-10	1.7859162e-11	1.0	2.925819e-11
4x21	0.19972122	2.0151188e-12	0.15629156	0.64398724
4x22	9.143347e-10	2.2518148e-12	2.0845525e-11	1.0
4x23	2.4988408e-12	5.650901e-13	2.2568945e-12	1.0
4x24	0.06656113	0.44378492	0.008659724	0.48099422
4x25	0.13250576	5.386335e-13	0.01332706	0.85416716
4x26	2.0211761e-11	5.397822e-13	0.059236035	0.94076395
4x27	0.101157255	0.07172661	0.12671167	0.70040447
4x28	0.09960621	0.145979	4.910243e-12	0.7544148
4x29	0.17315213	5.913645e-13	0.012186319	0.8146615
4x30	0.14838263	0.19268672	0.15249549	0.5064351
4x31	0.13586193	5.824978e-13	3.0958378e-12	0.86413807
4x32	0.13207737	7.08663e-13	0.18789676	0.6800259
4x33	0.2803165	0.19476625	0.024929782	0.49998748
4x34	0.0007138209	8.312889e-13	0.056479134	0.9428071
4x35	0.04629855	6.4515944e-13	0.06202463	0.89167684
4x36	0.24413833	5.0179105e-13	0.027517626	0.72834396
4x37	0.23830134	0.2962514	0.109717816	0.3557295
4x38	0.1370819	0.2828689	0.035398304	0.5446509
4x39	0.038596712	4.6377995e-13	7.663457e-11	0.9614033
4x40	0.057681613	0.18863861	0.07236175	0.681318
4x41	0.13223274	0.52966493	0.027809862	0.31029248
4x42	0.31402794	4.559297e-13	0.08022739	0.60574466
4x43	0.10512125	3.1893243e-13	0.04042272	0.85445607
4x44	0.2182419	6.467016e-13	0.04151334	0.7402448
4x45	0.22550845	6.109723e-13	0.08608652	0.68840504
4x46	0.120686576	8.34374e-13	0.10516546	0.774148
4x47	0.1736991	7.9704407e-13	0.22134337	0.6049575
4x48	0.16528182	6.923701e-13	0.027760549	0.80695766
4x49	0.58403563	0.28963464	0.12632975	7.484311e-12
5x0	0.2733917	3.1358859e-12	1.8698508e-11	0.72660834
5x1	0.22474946	2.2831808e-12	0.03679618	0.73845434
5x2	0.27503598	0.18180501	0.3246073	0.2185517
5x3	0.9383494	0.016361795	0.025397582	0.019891227
5x4	0.33639774	0.17207654	0.2413554	0.25017035
5x5	0.2838126	0.1570028	0.22037429	0.33881024
5x6	0.111255236	9.636794e-13	0.020689331	0.8680554
5x7	0.38100767	0.14994965	0.24222109	0.22682159
5x8	0.3350515	0.18944623	0.2534771	0.22202522
5x9	0.378005	0.15263754	0.18103181	0.28832567
5x10	0.2422087	0.1455468	0.21952967	0.39271486
5x11	0.31926993	0.19129312	0.26072866	0.22870828
5x12	0.39364892	0.1935147	0.18337405	0.22946233
5x13	0.27605456	0.15310365	0.38122532	0.18961647
5x14	0.34748977	0.19751318	0.21728852	0.23770848
5x15	0.32929018	0.15725435	0.2917154	0.22174007
5x16	0.32127386	0.16778755	0.30810335	0.20283525
5x17	0.3429133	0.18859288	0.20164755	0.2668463
5x18	2.459925e-12	7.110495e-13	3.0129746e-12	1.0
5x19	0.013970748	1.8238304e-12	2.3269034e-11	0.98602927
5x20	0.45472267	1.721057e-12	0.5214075	0.023869818
5x21	0.038946886	2.0262563e-12	0.168183	0.79287016
5x22	0.119434156	7.7080345e-13	0.0068257414	0.8737401
5x23	1.3704828e-11	8.6049977e-13	0.01700165	0.9829984
5x24	0.1371037	0.23347135	0.028175522	0.6012494
5x25	0.07752123	3.183133e-13	0.057912536	0.86456627
5x26	0.12527336	5.0984005e-13	0.24920501	0.6255216
5x27	0.23879877	1.5227242e-12	5.718851e-12	0.7612012
5x28	0.20264171	0.14018534	0.10602316	0.55114985
5x29	0.18895808	0.1983586	0.029349193	0.58333415
5x30	0.19297098	4.4780079e-13	0.018411973	0.788617
5x31	0.38744566	7.419802e-13	0.08652282	0.5260315
5x32	0.19843844	0.2391624	4.8998115e-11	0.5623992
5x33	0.40079904	7.4204385e-13	0.041956004	0.55724496
5x34	0.13505107	0.23987962	0.024409745	0.60065955
5x35	0.1964726	0.08239903	0.056467276	0.66466105
5x36	0.3445243	6.5880667e-13	0.04742515	0.6080505
