	Cancer	Ductal	Macrophages	Mast	Monocytes	mDCs
2x7	1.0	3.205132e-12	2.9414637e-12	4.166167e-12	1.372955e-12	2.0025284e-12
2x8	0.907037	1.0582201e-11	0.034072917	9.200484e-12	0.058890004	5.3629523e-12
2x9	1.0	4.6791295e-12	3.0650623e-12	5.5740868e-12	1.7387752e-12	2.6668555e-12
2x10	1.0	1.05720615e-11	4.6376856e-12	9.047629e-12	1.9867157e-12	4.331018e-12
2x11	1.0	5.8393993e-12	2.805523e-12	3.2350247e-12	2.239772e-12	1.9349333e-12
2x12	1.0	3.973071e-12	4.5240383e-12	4.69909e-12	1.9209658e-12	2.4775032e-12
2x13	0.20219496	0.21051803	0.16464901	0.20895025	0.05078714	0.1629006
2x14	1.0	8.836428e-12	2.1381466e-12	3.8897735e-12	2.3809474e-12	1.7000715e-12
2x15	1.0	5.870601e-12	3.0729433e-11	1.0467793e-11	6.777298e-12	5.2574668e-12
2x16	0.58144	2.5557986e-11	0.14693256	0.013691932	0.07808223	0.17985332
2x17	0.6487509	1.3503942e-11	2.2726104e-11	0.08529392	1.1433966e-11	0.26595518
2x18	0.50232005	2.0556432e-11	0.07339998	0.16432428	0.05888282	0.2010729
2x19	0.49670973	0.1137118	0.14708768	0.026528064	0.022874516	0.19308822
2x20	0.5746736	1.0965213e-11	0.1566058	0.038993143	0.06586136	0.16386619
2x21	0.32513708	0.22159617	0.07267285	0.34715977	2.9206304e-11	0.033434186
2x22	0.48291507	0.19361621	0.14167152	2.4780442e-11	0.08473454	0.09706262
2x23	0.38016617	0.103444375	0.04049746	5.5548295e-11	0.085769705	0.39012238
2x24	0.44591844	0.09151429	0.08413762	0.31524968	0.06318	4.4405393e-11
2x25	0.39342433	0.0925852	0.03584728	0.17394277	0.038674425	0.265526
2x26	0.38258263	0.18046707	0.037355542	0.19777395	0.034980375	0.16684042
2x27	0.43642747	0.15435408	0.2684861	3.007238e-11	0.11252901	0.028203348
2x28	0.20502014	0.25713214	0.13989353	0.32755202	0.07040217	4.3183703e-12
2x29	0.2702743	0.24034582	0.0022013362	9.044395e-12	0.087852016	0.39932653
2x30	0.21543044	0.36054423	0.23006022	0.05190607	0.14205903	3.2673816e-12
2x31	0.25067472	0.13383867	0.10448953	0.10811576	0.06452491	0.33835647
2x32	0.20203726	0.35621357	0.14759806	1.2503686e-11	0.14752616	0.14662492
2x33	0.26451993	0.24216494	0.116206706	0.31596935	0.06113909	4.922381e-11
2x34	0.2980529	0.100386605	0.029170595	0.30843917	0.020051433	0.24389932
2x35	0.43734598	0.1346465	0.11983303	2.2106102e-11	0.09145818	0.2167162
2x36	0.28548408	0.16243342	0.15117164	2.5119356e-11	0.058147553	0.3427633
2x37	0.24953473	0.28435165	0.056347407	0.20412299	0.022585254	0.18305795
2x38	0.17000592	0.28823137	0.17153695	0.21909857	0.06877024	0.082357004
2x39	0.18149017	0.2710966	0.126795	2.4475118e-11	0.11832276	0.30229557
2x40	0.18033014	0.16038571	0.16842893	0.03273555	0.14106582	0.31705388
2x41	0.1853577	0.2753636	0.082685634	0.06885667	0.03953211	0.34820426
2x42	0.19610551	0.24063288	0.09485134	0.15811175	0.034814026	0.2754845
2x43	0.17777841	0.27174047	0.08706152	0.046098314	0.060714874	0.35660642
2x44	0.14872687	0.15986134	0.122563474	0.26755422	0.025955865	0.27533823
2x45	0.17449716	0.31429648	0.112187676	0.07986031	0.09038756	0.22877076
2x46	0.14862444	0.23450868	0.028361551	0.2778714	0.06643591	0.24419795
2x47	0.13413855	0.25654677	0.054016653	0.15538736	0.059431974	0.34047875
2x48	0.1979708	0.25672415	0.05146052	0.26041195	0.064831704	0.16860084
2x49	0.15713695	0.28553474	0.12656775	0.270005	0.062002327	0.09875319
3x0	0.63375455	0.080628715	6.805726e-11	0.2716666	0.00789009	0.0060600787
3x1	1.0	4.9427955e-11	4.8026587e-12	7.0190854e-12	3.250968e-12	3.1483512e-12
3x2	1.0	4.2581338e-12	2.390561e-12	2.8889068e-12	2.5533445e-12	1.7997777e-12
3x3	1.0	1.0387204e-11	8.411221e-12	1.1154328e-11	6.0529355e-12	4.3024026e-12
3x4	1.0	6.520353e-12	5.6757524e-12	1.2870162e-11	1.903109e-12	5.567025e-12
3x5	1.0	6.8954126e-12	2.679519e-12	3.310993e-12	4.07573e-12	2.5486449e-12
3x6	1.0	7.757943e-12	1.3349692e-11	8.504814e-12	2.6516276e-12	2.867454e-12
3x7	1.0	8.220979e-12	5.5787102e-12	4.235366e-12	3.573161e-12	2.7078851e-12
3x8	0.37905458	0.104279146	0.074364565	0.13493834	0.087337434	0.22002596
3x9	1.0	1.2225886e-11	3.449726e-12	4.029455e-12	1.8184465e-12	2.6276386e-12
3x10	1.0	1.4364222e-11	2.8635332e-12	3.913262e-12	2.0988814e-12	2.6960608e-12
3x11	1.0	5.4036103e-12	2.518968e-12	3.553792e-12	1.5728432e-12	2.3245425e-12
3x12	0.8226361	1.2914321e-11	0.17736389	1.6679479e-11	1.7064895e-11	6.3384033e-12
3x13	1.0	1.03745155e-11	2.450183e-12	2.817095e-12	1.6762967e-12	1.8741363e-12
3x14	0.42209417	0.039436538	0.061558004	0.11535639	0.0690637	0.29249123
3x15	1.0	5.4320467e-12	2.0159562e-12	2.6497019e-12	1.3473933e-12	1.888441e-12
3x16	0.6724529	1.3153429e-11	1.206313e-11	0.12274549	0.0047718147	0.20002978
3x17	1.0	4.122883e-12	2.9154765e-12	5.688162e-12	2.0828103e-12	3.099421e-12
3x18	0.7859032	1.0544344e-11	1.1848294e-11	1.3303013e-11	0.18594399	0.028152816
3x19	0.8027112	4.781062e-11	0.19728877	2.4041836e-11	2.4645513e-11	6.5598473e-12
3x20	0.53182936	0.1337357	0.1567038	8.013904e-12	0.053123023	0.12460806
3x21	0.2526528	0.19691537	0.04884232	0.35531518	0.010763888	0.13551052
3x22	0.6132405	8.738657e-12	0.178216	8.793029e-12	0.07782332	0.13072018
3x23	0.56940985	0.12142772	0.24655727	4.205407e-11	0.062605165	6.865183e-10
3x24	0.33845583	0.12501048	0.14619283	0.09402177	0.055390086	0.24092904
3x25	0.23672408	0.28578407	3.4989543e-11	0.13480802	0.03811284	0.30457097
3x26	0.32070926	0.09833084	0.09122083	1.781185e-11	0.056319553	0.43341956
3x27	0.36220077	0.27208024	0.15313034	0.117155515	0.0954331	9.7855795e-12
3x28	0.30042157	0.16887446	0.19927779	0.15535851	0.047370538	0.12869714
3x29	0.39361298	0.09623216	0.12713578	8.636644e-12	0.029169442	0.35384965
3x30	0.22607687	0.20565264	0.20317104	5.4864818e-11	0.05912134	0.30597812
3x31	0.22955382	0.18291183	0.119884446	0.09645767	0.082056	0.28913623
3x32	0.40075356	0.14506875	0.087251656	0.016065672	0.015700707	0.33515963
3x33	0.2521471	0.20688108	0.07315691	1.4039633e-11	0.07780478	0.39001018
3x34	0.19707368	0.27078044	0.05330053	0.087489545	0.1068528	0.284503
3x35	0.17024504	0.29714376	0.08767614	0.17287593	0.12210974	0.14994943
3x36	0.19567655	0.26463696	0.16784272	0.14703225	0.07554282	0.14926873
3x37	0.21926787	0.16189598	0.049518	0.1738313	0.0432501	0.35223678
3x38	0.2711738	0.21939968	0.27720743	1.8093306e-11	0.084793314	0.14742577
3x39	0.239862	0.19080158	0.06928538	0.22838748	0.059580572	0.21208298
3x40	0.1221058	0.33257154	0.17922768	0.12175176	0.04730663	0.1970365
3x41	0.2160931	0.21917006	0.09421408	0.026216777	0.034947105	0.40935886
3x42	0.15923585	0.25636923	0.25636992	7.290321e-12	0.030931879	0.29709306
3x43	0.24547082	0.16957907	0.08961866	0.25411692	0.040906265	0.20030816
3x44	0.35162213	0.17526376	0.12713164	8.2244584e-12	0.17114258	0.17483987
3x45	0.24214166	0.33072713	0.112141766	2.4214299e-11	0.16057044	0.15441895
3x46	0.329548	0.2113709	0.098810025	0.16023667	0.07749063	0.122543745
3x47	0.17752181	0.29950655	0.15569529	0.18830806	0.10676634	0.07220191
3x48	0.34651205	0.24921677	0.13239704	1.1470058e-11	0.17849538	0.09337874
3x49	0.21588014	0.23329608	0.18703127	1.5491679e-11	0.11238005	0.2514125
4x0	1.0	9.533002e-12	3.680533e-12	7.0833526e-12	2.4569316e-12	2.9146306e-12
4x1	0.5444837	4.1213376e-11	0.09824229	0.068191275	0.03166709	0.25741565
4x2	0.5578383	6.620805e-11	0.2784792	0.13610151	0.027580975	5.5938643e-11
4x3	1.0	1.460594e-11	4.6439692e-12	1.4493851e-11	1.8368122e-12	3.2409312e-12
4x4	1.0	4.731981e-12	2.371895e-12	3.1362506e-12	2.0645226e-12	2.00694e-12
4x5	1.0	9.492885e-12	3.5310851e-12	4.6096738e-12	1.772151e-12	3.204871e-12
4x6	1.0	4.383428e-12	2.496783e-12	3.697008e-12	1.374784e-12	1.9539509e-12
4x7	1.0	1.3754639e-11	3.159849e-12	6.2076646e-12	1.7098173e-12	3.0436636e-12
4x8	1.0	7.690188e-12	2.2536456e-12	3.238244e-12	1.823948e-12	2.405252e-12
4x9	1.0	4.7974294e-12	2.6638487e-12	3.4129355e-12	1.2947694e-12	2.2189468e-12
4x10	1.0	5.272778e-12	1.0880042e-11	8.127649e-12	1.7251934e-12	3.1221707e-12
4x11	1.0	6.286504e-12	2.9095385e-12	3.1619694e-12	2.0697424e-12	2.1718365e-12
4x12	1.0	7.1875648e-12	2.7346615e-12	4.207153e-12	1.5401627e-12	2.4484748e-12
4x13	1.0	6.237232e-12	2.379918e-12	2.9879911e-12	3.4354984e-12	1.8959311e-12
4x14	1.0	8.268785e-12	7.1292807e-12	7.01578e-12	4.7770967e-12	1.28873665e-11
4x15	0.9690418	4.9204876e-12	2.0770349e-11	0.030958178	1.116225e-11	4.4099733e-12
4x16	1.0	5.98642e-12	2.280721e-12	3.23798e-12	1.5111752e-12	2.0785537e-12
4x17	0.7568048	0.044783924	0.0523908	2.6966205e-12	0.14602046	7.9832954e-12
4x18	0.66723585	6.272575e-12	1.2970872e-10	0.09164761	0.14159898	0.09951755
4x19	0.46961328	0.25424445	9.6026034e-11	0.021501655	0.020539284	0.2341013
4x20	0.93765956	9.0008495e-12	1.5472573e-11	3.905034e-12	0.062340476	3.3599735e-12
4x21	0.57227606	1.736064e-11	0.12049897	0.06306616	0.101426356	0.14273246
4x22	0.54013705	3.6051263e-11	5.428746e-11	0.018196732	0.08487406	0.35679224
4x23	0.43717894	0.055788893	0.015555373	6.02792e-11	0.011385778	0.48009104
