"","Cancer","Ductal","Macrophages","Mast","mDCs","Monocytes","pDCs","T"
"15x7",0.93215851034928,8.51428223946086e-05,6.98182330104104e-05,6.98182351589428e-05,6.98182330575134e-05,6.9818233000833e-05,6.98182330104095e-05,6.9818233111497e-05
"15x8",0.937535002504816,6.98182330104111e-05,6.98182330104124e-05,6.98182330959837e-05,6.98182330185239e-05,6.98182329945443e-05,6.98182330104114e-05,0.00020096813098327
"15x9",0.921000920389831,6.98182330104121e-05,6.98182330104106e-05,6.98182323079887e-05,6.98182329977757e-05,6.98182330283008e-05,6.9818232943016e-05,6.98182330104106e-05
"15x10",0.952675467252988,6.98182330104101e-05,6.98182314138614e-05,6.98182347186231e-05,6.98182329870677e-05,6.9818233008479e-05,6.98182330104094e-05,6.98182329409262e-05
"15x11",0.506163998428175,0.000142486189817164,0.270507948767539,0.000142486190897715,0.000142486189817167,0.131756970078985,0.000142486189817165,0.00014248618892168
"15x12",0.93459918448655,0.0104238590014263,6.98182330050629e-05,6.98182338452873e-05,6.98182330197026e-05,6.98182330047051e-05,6.98182330104105e-05,6.98182330104108e-05
"15x13",0.912944398144649,7.36623238109692e-05,6.98182330104101e-05,6.98182330666217e-05,6.9818233022944e-05,6.98182330062694e-05,6.98182330104135e-05,6.98182329978657e-05
"15x14",0.86035557029321,0.0581383641640956,6.98182330104115e-05,6.9818233227972e-05,6.98182330137463e-05,6.9818233028341e-05,6.98182330104106e-05,6.98182330108128e-05
"15x15",0.165020779299571,0.000203551699738807,0.192336375300099,0.136415710772844,0.439004839959393,0.000203551699738806,0.000203551699738806,0.00834853203665003
"15x16",0.954781043950861,0.00279765252098423,6.98182330048593e-05,6.98182325706164e-05,6.98182330125105e-05,6.98182330160714e-05,0.000718883591345192,6.98182330104218e-05
"15x17",0.968195863502138,7.50620357434345e-05,6.98182330104107e-05,6.98182331097982e-05,6.98182329811742e-05,6.98182330118379e-05,6.98182330104108e-05,6.98182330110923e-05
"15x18",0.703670608125458,0.118261512949403,0.0173650740774914,9.97403330799782e-05,0.0612472717864348,0.00422712540031804,0.024461674656169,9.97403328720141e-05
"15x19",0.703195824553774,0.038715318736323,0.0394169677425994,9.97403358021092e-05,0.138639276438335,9.97403328720152e-05,9.9740332872015e-05,9.97403328720093e-05
"15x20",0.638328292839562,0.000142486189817164,0.131031968577755,0.00014248619092153,0.159937341496159,0.0198120791736996,0.00788407581414547,0.000142486189817166
"15x21",0.390839382080001,0.0865246378441168,0.228392716855021,0.000203551695167142,0.204969508822782,0.000203551699738806,0.0249886129050697,0.000257061733920047
"15x22",0.224191023248961,0.114045999263952,0.26612979630242,0.255047749600237,0.0208521211081482,0.00979072433305884,0.00840993556019107,0.000290788142484009
"15x23",0.20439109499759,0.00643452630020174,0.510781590619861,0.000203551699711903,0.150063272936905,0.0318013552534347,0.0451519265481277,0.000203551699738806
"15x24",0.00400257568592582,0.000142486189817164,0.56454525032755,0.0992067027926055,0.234648159490958,0.000142486189817164,0.000142486189817163,0.000142486189980048
"15x25",0.000203551699738804,0.000203551699738775,0.269849340550687,0.221654951918616,0.405779232167887,0.0728180613067134,0.00118655365296794,0.000203551699738808
"15x26",0.00253561312591314,0.000142486189817164,0.0706727251969769,0.452409609773349,0.398003860851324,0.0467254459750628,0.000142486189817164,0.00014248618998004
"15x27",0.000203551699738806,0.0115638594019855,0.274682547892706,0.190316431099511,0.447342628886197,0.016441598113978,0.00781188567090999,0.0028406488821213
"15x28",0.000142486189817164,0.000142486189817165,0.303211181181892,0.239399639155701,0.404732489024435,0.00814749666411157,0.000142486189817163,0.000142486188888632
"15x29",0.000142486189817164,0.000142486189817164,0.44541254571557,0.221075968143349,0.178095385589463,0.081983471325102,0.000142486189817162,0.000142486189980039
"15x30",0.000142486189817164,0.000142486189817164,0.370476092312622,0.124933486519994,0.452319959472873,0.0277889511168153,0.000142486189817164,0.00174082097908347
"15x31",0.00363573239999358,0.000203551699738806,0.32446187896575,0.194761420849179,0.386234972083738,0.00781166437019988,0.000817260733592154,0.000203551699738805
"15x32",0.000142486189817162,0.000142486189817164,0.584949187005836,0.219869422876792,0.157133397789138,0.0222013623434277,0.00494368994638116,0.00014248618981715
"15x33",0.000142486189817164,0.000142486189817164,0.289372939616518,0.135188983214715,0.417534561981496,0.0776508341931353,0.000142486189817165,0.000142486189707194
"15x34",0.000787803430009249,9.97403328720149e-05,0.547088241684663,9.97403331956642e-05,0.278744478857602,0.02081446149362,0.0369822365550996,9.97403328724118e-05
"15x35",0.00014248618981716,0.000142486189817164,0.0181414523418926,0.270712712763648,0.664741682001206,0.00014248618981717,0.000145909147048846,0.000142486189792452
"15x36",0.000290788142484009,0.00557065696983504,0.228948341884141,0.145843591181232,0.364013107447373,0.188954308726643,0.00417277740998027,0.000290788142484009
"15x37",0.000142486189817164,0.00207561678793823,0.348664327014831,0.112646180649418,0.491920096274517,0.000142486189817167,0.000142486189817164,0.000142486189980041
"15x38",0.000203551699738806,0.000203551699738806,0.213368098713781,0.222632046016893,0.29013018901363,0.195660002158937,0.000203551699738806,0.000203551699706025
"15x39",0.0962421279519908,0.0823097592240531,0.217976184116646,0.000203551699830156,0.419640723240952,0.102198132688571,0.000203551699738806,0.000203551699738806
"15x40",0.113148177479818,0.133995046444346,0.354583315516885,0.0801308675451095,0.206185306291728,0.0495385434212917,0.021405178304091,0.000290788142484009
"15x41",0.0343925863612035,0.178151521824638,0.234614717469046,0.14304896223638,0.326666175982948,0.000290788142484007,0.0251283419497205,0.000290788142484009
"15x42",0.272595611535484,0.0423079700447763,0.305251126977475,0.000290788146682447,0.156441293251607,0.137999449136997,0.0247964961410732,0.000290788142484011
"15x43",0.134519604024348,0.25050802811122,0.0402808479515053,0.174435112735749,0.337910404484999,0.00029078814248401,0.000290788142484007,0.000290788142484009
"15x44",0.150649686411848,0.383628259434195,0.187205912470981,9.97403353724503e-05,0.245194010032166,9.9740332872015e-05,9.97403328720157e-05,9.97403328720155e-05
"15x45",0.18446258322493,0.140938941947217,0.397366106003029,0.000142486190520651,0.221867694442441,0.0242963313483425,0.000142486189817164,0.000142486189817164
"15x46",0.268433857498415,0.207184150762287,0.158271926535866,0.112941491854991,0.186883066568436,0.00029078814248401,0.000290788142484009,0.00394185909002738
"15x47",0.0988872868332122,0.232254362583979,0.10693099892508,0.167921273194436,0.350513037052059,0.00441444701451692,0.00151859366098272,0.000290788142484009
"15x48",0.0528229264195758,0.255087614664799,0.0153287929246088,0.000142486199631415,0.474973732614691,0.1139548613666,0.000142486189817164,0.000142486189817166
"15x49",0.268757597368716,0.182368661353421,0.0975472955346971,0.149933520714447,0.261946535813987,0.00273591298304903,0.000290788142484008,0.000290788142484009
"16x0",0.893839874961834,8.90796523364719e-05,0.0147468741746761,6.98182335902167e-05,0.0114471377192497,0.0396976831395565,6.981823301041e-05,6.98182330104104e-05
"16x1",0.848049835014587,8.529721360695e-05,6.98182330104406e-05,0.0922009538268451,6.98182330118629e-05,6.98182324911231e-05,6.98182330104105e-05,6.98182316402998e-05
"16x2",0.854249979652815,0.0482078960305432,0.039493104348024,6.9818233346801e-05,0.00955572350012757,6.98182330138086e-05,6.98182330104108e-05,6.98182330104102e-05
"16x3",0.746510645554133,0.0913862730683936,0.086118789119791,9.97403329826349e-05,0.0101223981237086,9.97403328720146e-05,0.0165364199670337,9.97403328720146e-05
"16x4",0.934280224910965,0.0259663604311354,6.98182330104113e-05,6.98182347276991e-05,6.9818233019225e-05,6.98182328420284e-05,6.98182330104105e-05,6.98182330037654e-05
"16x5",0.953755536149605,6.98182330104099e-05,6.98182330104116e-05,6.9818233124888e-05,6.98182330291967e-05,0.00015331933031946,6.98182330104097e-05,6.98182330104098e-05
"16x6",0.962457429054658,0.00010086945083281,6.98182330104102e-05,6.98182332848325e-05,6.98182330123949e-05,6.98182330275951e-05,6.98182330788177e-05,6.98182330104099e-05
"16x7",0.943402752915839,0.000112727679316507,6.98182330104099e-05,6.98182321877776e-05,6.98182330181722e-05,6.98182330104126e-05,6.98182330104088e-05,6.98182332828913e-05
"16x8",0.907600552543843,0.0152548648508117,6.98182330104111e-05,6.98182336588345e-05,6.98182329922962e-05,6.98182330107741e-05,6.98182330104102e-05,6.98182325328006e-05
"16x9",0.951595402340743,6.98182330104104e-05,6.98182330104107e-05,6.98182333493967e-05,6.98182330053448e-05,6.98182330032788e-05,0.000991806150654437,6.98182330104102e-05
"16x10",0.86051131785954,0.033853304679035,6.98182330104108e-05,6.98182324796604e-05,6.98182330138521e-05,6.98182330183681e-05,6.98182330104105e-05,6.98182329437399e-05
"16x11",0.571542208264884,0.00931804967057598,0.138402545319432,0.160367512983,0.0429720123903848,0.000203551699738806,0.0156832682407165,0.000203551699738805
"16x12",0.909390097383026,0.00259705215821618,6.98182330104101e-05,6.98182334815198e-05,6.98182329956768e-05,6.98182330104098e-05,0.00125478165576491,6.98182330104119e-05
