"","Ductal","Cancer","mDCs","Macrophages","Mast","Monocytes"
"1x26",0.131141153192585,0.628537768465225,0,0.0566578735981941,0.044452407462477,0.139210797281519
"1x27",0.204880559432862,0.449152101318746,0.202140335622069,0.0810678535158119,0.059893681935339,0.00286546817517231
"1x28",0.229213967683534,0.530305364921792,0.0744182577072617,0.0623701508419129,0.0410045833797803,0.0626876754657194
"1x29",0.489837643873406,0.139431128279569,0,0.236720683293763,0.0693112144735078,0.0646993300797537
"1x30",0.177469064039674,0.445958958712663,0.246759822245239,0,0.0890486457633539,0.0407635092390698
"1x31",0.129347057697128,0.539597668781064,0.157371158767534,0.0650598346014112,0.0191825653924807,0.089441714760382
"1x32",0.292227185647578,0.340908543789923,0.110801741091454,0.227151741764813,0.0289107877062313,0
"1x33",0.103298869789464,0.528231603501014,0.251298962303262,0.0785288624959978,0.038641701910262,0
"1x34",0.231772206274048,0.407772308734217,0.165917204029872,0.0373716508900241,0.148519549848685,0.00864708022315456
"1x35",0.185076496267333,0.4023596898378,0.193891313573559,0.130259451551702,0.0764939008213196,0.011919147948286
"1x36",0.23095279352916,0.513407788935919,0.0414018131052977,0.0768386132834898,0.109957817650852,0.0274411734952807
"1x37",0.293761590762931,0.36096608632619,0.123813585073048,0.0142956929612017,0.11131632583477,0.0958467190418588
"1x38",0.233869966902841,0.408816874132578,0.131306672822435,0.125068323081404,0.089698155472763,0.0112400075879789
"1x39",0.0990360886429476,0.626611740092355,0.0604936020648296,0,0.117008441903161,0.096850127296707
"1x40",0.113027642493907,0.376245641316489,0.282776314946752,0.00682802718377516,0.186616899132272,0.0345054749268045
"1x41",0.139317811194682,0.334816413219943,0.0117627775751865,0.477177200477246,0.0163562581456795,0.0205695393872626
"1x42",0.243240479537443,0.344595066494352,0.362658314901371,0,0.0469502729132278,0.00255586615360627
"1x43",0.126188301807204,0.381196675363884,0.129310390759281,0.230431762913223,0.0664392203762676,0.0664336487801405
"1x44",0.26207106238505,0.256449301636713,0.330698062902113,0.0641917885042455,0.0849787636158495,0.00161102095602844
"1x45",0.165173378652821,0.431113941422435,0.325887791038849,0,0.0487016452763365,0.0291232436095579
"1x46",0.225233518861072,0.495774323536421,0,0.0554203684550282,0.120053823882607,0.103517965264871
"1x47",0.277366663279109,0.313047323319744,0.173274623704324,0.12705417494014,0.0534092747828594,0.0558479399738246
"1x48",0.364484467084819,0.429636586096231,0.121586030391599,0.0423089791315711,0.0368511765615202,0.00513276073426023
"1x49",0.147586532988813,0.519895674432201,0.212271351908172,0.0140376503028091,0.0997073477187343,0.00650144264927024
"2x0",0.0961784379399323,0.780989829794307,0.0202404256518366,0.0583860085802115,0.0368819898473668,0.00732330818634586
