"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes"
"0x43",0.467401029057907,0.180220140818483,0.0963845059418126,0.0655290138627211,0.137562000196912,0.0529033101221645
"0x44",0.214692653537305,0.42030600380759,0.0976627170986249,0.0490759735450939,0.196722613066937,0.0215400389444487
"0x45",0.476713320267558,0.147729680763607,0.0987584439426645,0.101548561800619,0.15029859602249,0.0249513972030619
"0x46",0.376751334160485,0.244637116270504,0.0583153199937575,0.0495492201905077,0.235440630493192,0.0353063788915533
"0x47",0.230214042390272,0.342831791358418,0.189062481711711,0.00416697948186089,0.184408894856813,0.049315810200926
"0x48",0.355747237041011,0.236786202635862,0.151236982777365,0.0377672661074564,0.149569911189322,0.0688924002489835
"0x49",0.422280554808937,0.292895515031611,0.0983573400909068,0.0754151716405132,0.0849893875198739,0.0260620309081583
"1x0",0.857561886376234,0.0650215200707321,0,0.0321757481475559,0.0452408454054776,0
"1x1",0.700746173988614,0.224807867788875,0.0117850488515813,0.0100921012430883,0.052568808127841,0
"1x2",0.777793574618503,0.0444493064706632,0.0417961951066521,0.065379371445706,0.0705815523584756,0
"1x3",0.70134146559552,0.072815544901,0.125722692508025,0.0157674487488744,0.0665282239193278,0.0178246243272526
"1x4",0.886081172841759,0.110357371337938,0.0034246675236354,0.00013678829666682,0,0
"1x5",0.906382604597832,0,0,0,0.0847071272591836,0.00891026814298435
"1x6",0.878754045936548,0.0393991661561757,0,0,0.0818467879072766,0
"1x7",0.884942117201477,0.0347986904270157,0,0,0.0802591923715079,0
"1x8",0.788448930086454,0.138909726210797,0,0,0.0726413437027487,0
"1x9",0.961284637173477,0.000879400936247323,0,0,0.0366052301901722,0.00123073170010338
"1x10",0.410479141183381,0,0.306701170391263,0.0793709882968781,0.13418797757605,0.0692607225524268
"1x11",0.806140675844529,0.142665275092556,0.010999593751585,0,0.0350027634183469,0.00519169189298262
"1x12",0.640386142589869,0.275979595127269,0.0111360282549723,0,0.0656198466094182,0.00687838741847182
"1x13",0.850222281145031,0.019511338691315,0.0249678351520859,0,0.0758639578817705,0.029434587129798
"1x14",0.879641940741438,0.0118809205656642,0,0,0.0718372907733003,0.0366398479195974
"1x15",0.828983906790375,0.128158763323604,0,0.0406292906052702,0.00222803928075034,0
"1x16",0.659463997888338,0.0447121809583632,0,0,0.258271788301362,0.0375520328519373
"1x17",0.900615374611548,0.00581863738302212,0.00525032974727421,0.0247241756537419,0.0635914826044138,0
"1x18",0.794438944230546,0.0404381832793782,0.00996867480002941,0.0217745779069818,0.128151281681416,0.00522833810164876
"1x19",0.824997349629325,0.014954893873965,0.0706994438406432,0.0281461602313088,0.052873005842854,0.00832914658190421
"1x20",0.634635000468631,0.0766215553002897,0.161740458639061,0.00741219731629573,0.0872766866411834,0.0323141016345385
"1x21",0.615351831188759,0.254854879710603,0,0,0.0797517165096357,0.0500415725910016
"1x22",0.563100139261338,0.155001249762132,0.0432667853790583,0,0.216281297067708,0.0223505285297635
"1x23",0.679566146376721,0,0.149505514989733,0.0322735384782684,0.111757947116533,0.0268968530387443
"1x24",0.739218456965576,0.00330292766963123,0.12166285179014,0.024742575705608,0.0976192855531526,0.0134539023158926
"1x25",0.632435921329777,0,0.105097073358378,0.0753716502502773,0.163047624792832,0.0240477302687358
"1x26",0.717928763631121,0.0236050081172062,0.0017009627226299,0.0113803656119403,0.100562534235384,0.144822365681719
"1x27",0.433946227855523,0.174443536059889,0.183822132198601,0,0.147888481276953,0.059899622609034
"1x28",0.532375526150462,0.221343200121847,0.0792429945813191,0.0793259855712845,0.05451384610892,0.0331984474661674
"1x29",0.180691492337494,0.487691628606802,0.0328895497401339,0.0861375166498884,0.120811720712545,0.0917780919531364
"1x30",0.437062205881267,0.124510873270944,0.209856139616277,0.0716072222470019,0.139019347466988,0.0179442115175226
"1x31",0.57892005104613,0.0439355475050124,0.114281906332134,0.0245792880995183,0.139634302120354,0.0986489048968505
"1x32",0.345059837093355,0.253417804639134,0.182020390710513,0.0440461016632736,0.129987904716365,0.0454679611773589
"1x33",0.506834771228576,0.083028398502066,0.273998230990938,0,0.10761484766987,0.0285237516085487
"1x34",0.420554278481773,0.184956327288429,0.0932878454851396,0.0110578594972765,0.244964543278618,0.0451791459687636
"1x35",0.414607627820938,0.145405016762995,0.200515079479685,0.0613265695161332,0.15559798620335,0.0225477202168982
"1x36",0.596958250630607,0.114114765411317,0,0.112005633004278,0.166970810536415,0.00995054041738372
"1x37",0.357676679275012,0.274529947782684,0.0452636236231589,0.066407477897754,0.169419292528578,0.0867029788928132
"1x38",0.449632329807266,0.188044758994536,0.178061287755022,0.0110928909317702,0.135351423675684,0.0378173088357223
"1x39",0.690222272537415,0.0263996521866819,0,0.0499188541199545,0.173803962148312,0.0596552590076363
"1x40",0.34603863397078,0.0876942354848208,0.22147964351039,0.0588632334265877,0.251394890959842,0.0345293626475797
"1x41",0.301695662558013,0.108570212015555,0.327387590551411,0.0971473112835214,0.122659049189732,0.0425401744017684
"1x42",0.330846839269297,0.227225112522821,0.280553850961503,0,0.113815953109114,0.0475582441372651
"1x43",0.35343475670014,0.065359845453309,0.264447054133054,0.0440692933570767,0.194303590442346,0.0783854599140737
"1x44",0.239867140099885,0.256396410418621,0.32275542868664,0.013933504588371,0.14876437916741,0.0182831370390731
"1x45",0.444347712732366,0.163937877447441,0.241679017589853,0.0100063783180484,0.0541683543879066,0.0858606595243851
"1x46",0.480430190654213,0.217084879241927,0,0.0512352953005932,0.169552949596092,0.0816966852071742
"1x47",0.356018379580561,0.230180402436031,0.188209641843363,0.111273104986665,0.0764786005653587,0.0378398705880215
"1x48",0.395960530142711,0.386975457097412,0.0989302718441292,0.0320275322108646,0.0852172828059545,0.000888925898928238
"1x49",0.528144636112781,0.112818230197201,0.123393612317296,0.0245296618308311,0.182771013087974,0.0283428464539167
